Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,44.99,63.57,4.72,10.86,7.57,12.52,13.31,0.57,53.18,0.89,1.83,0.12,NA,NA,0.10,26.86,75.90,2.82,89.95,0.00,0.00,69.30,763.19,0.06
2022-01-02 00:00:00,61.71,84.25,5.30,11.52,7.74,14.60,16.31,0.68,52.94,1.11,3.13,0.11,NA,NA,0.10,26.53,77.62,1.83,94.03,0.00,0.00,68.05,761.88,0.04
2022-01-03 00:00:00,68.38,89.30,8.73,14.25,11.15,14.59,15.02,0.65,45.73,1.26,7.05,0.11,NA,NA,0.10,26.10,77.68,1.51,114.01,0.00,0.00,65.07,760.97,0.03
2022-01-04 00:00:00,74.72,105.00,5.80,15.85,10.72,14.50,18.12,0.61,58.62,1.28,8.44,0.26,NA,NA,0.18,25.48,76.57,1.79,90.31,0.00,0.00,67.65,761.26,0.03
2022-01-05 00:00:00,53.57,79.68,5.12,16.25,10.71,12.79,12.81,0.61,53.90,1.23,5.50,0.27,NA,NA,0.15,25.08,77.20,1.59,138.77,0.00,0.00,66.64,761.17,0.03
2022-01-06 00:00:00,43.84,64.03,6.30,14.28,10.07,11.57,13.86,0.59,47.47,1.22,7.61,0.20,NA,NA,0.10,25.30,77.90,1.97,126.39,0.00,0.00,69.30,760.20,0.03
2022-01-07 00:00:00,35.13,54.26,5.41,11.90,9.01,12.24,13.95,0.50,47.01,0.90,3.89,0.14,NA,NA,0.10,25.79,77.02,3.06,99.14,0.00,0.00,67.58,760.31,0.04
2022-01-08 00:00:00,40.91,62.01,5.99,10.79,7.62,12.67,11.02,0.62,51.11,0.86,1.58,0.10,NA,NA,0.10,25.73,79.12,2.47,96.74,0.00,0.00,56.31,760.75,0.04
2022-01-09 00:00:00,52.80,73.10,3.23,11.90,7.90,14.73,11.29,0.61,50.32,1.00,1.87,0.16,NA,NA,0.10,25.69,80.76,2.09,107.40,0.00,0.00,52.26,758.77,0.02
2022-01-10 00:00:00,25.97,38.51,1.97,12.27,8.09,12.52,10.68,0.56,35.39,0.64,1.20,0.17,NA,NA,0.10,25.84,80.28,2.75,114.81,0.00,0.00,60.38,758.95,0.02
