Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2018-01-01 00:00:00,,,,,,,,,,,,0.31,,,,,,,,0.0,0.0,,,-0.03
2018-01-02 00:00:00,,,,,,,,,,,,0.98,,,0.13,,,,,0.0,0.0,,,0.02
2018-01-03 00:00:00,,,,,,,,,,,,1.24,,,0.21,,,,,0.0,0.0,,,-0.02
2018-01-04 00:00:00,,,,,,,,,,,,1.79,,,0.37,,,,,0.0,0.0,,,-0.04
2018-01-05 00:00:00,77.84,145.7,2.16,45.78,,25.1,10.77,0.91,93.81,1.07,5.19,1.8,,,0.36,27.01,52.93,2.22,168.0,0.0,0.0,339.05,754.14,-0.01
2018-01-06 00:00:00,77.98,129.1,2.28,31.38,,30.73,6.18,0.86,88.3,0.7,2.47,1.07,,,0.2,25.44,66.21,2.34,211.93,0.0,0.0,351.5,754.52,-0.02
2018-01-07 00:00:00,96.9,155.38,2.09,30.44,,34.05,8.44,1.18,99.33,1.04,2.68,1.08,,,0.22,26.01,67.47,2.15,169.23,0.0,0.0,353.0,755.72,-0.0
2018-01-08 00:00:00,87.47,144.3,2.16,28.79,,28.72,13.95,1.12,108.0,0.7,2.25,0.85,,,0.13,26.16,69.03,2.64,118.83,0.0,0.0,346.85,756.9,0.03
2018-01-09 00:00:00,71.12,130.68,1.99,28.22,,21.95,14.43,1.07,117.51,0.68,2.14,0.84,,,0.12,26.9,61.98,2.87,120.95,0.0,0.0,354.79,758.68,0.03
2018-01-10 00:00:00,83.19,147.24,2.58,30.28,,27.17,9.07,1.27,112.52,0.82,2.44,1.01,,,0.13,27.59,67.33,2.46,145.3,0.0,0.0,355.35,759.22,0.01
2018-01-11 00:00:00,96.68,168.42,2.43,32.84,,37.26,7.71,1.43,104.54,0.93,2.84,1.23,,,0.29,28.61,71.73,2.01,182.7,0.0,0.0,352.17,758.1,-0.01
2018-01-12 00:00:00,112.05,173.43,2.96,33.88,,49.83,1.58,1.65,81.67,0.97,3.2,1.43,,,0.22,29.51,80.9,1.98,183.1,0.0,0.0,352.8,756.8,0.01
2018-01-13 00:00:00,109.02,171.46,3.14,38.63,,57.95,8.2,1.67,64.65,1.16,3.31,1.62,,,0.3,30.62,80.65,2.13,201.63,0.0,0.0,340.6,756.63,0.0
2018-01-14 00:00:00,159.41,217.72,3.37,41.89,,57.55,16.72,2.14,69.4,1.23,3.46,1.43,,,0.21,32.01,78.11,2.03,150.11,0.0,0.0,344.67,757.24,0.01
2018-01-15 00:00:00,116.08,167.25,2.25,30.1,,56.25,15.32,1.44,73.18,0.82,2.64,1.02,,,0.15,32.57,75.38,2.21,163.08,0.0,0.0,349.86,756.97,0.0
2018-01-16 00:00:00,79.53,120.67,2.27,24.9,,37.54,11.79,1.2,76.36,0.5,1.6,0.58,,,0.1,33.88,74.57,2.23,188.79,0.0,0.0,247.49,755.74,-0.01
2018-01-17 00:00:00,70.58,115.85,2.14,27.58,22.56,28.47,12.96,1.03,78.04,0.53,1.87,0.79,,,0.12,31.69,69.82,2.26,174.17,0.0,0.0,190.43,756.17,0.0
2018-01-18 00:00:00,66.24,113.17,2.45,29.38,17.67,26.61,13.19,1.13,75.76,0.49,1.94,0.86,,,0.14,28.86,70.19,2.33,198.72,0.0,0.0,197.02,756.48,-0.01
