Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2020-01-01 00:00:00,51.19,80.57,1.81,17.78,10.93,9.10,8.48,0.95,70.82,1.21,4.21,0.54,NA,NA,0.13,24.93,68.80,4.08,105.18,0.00,0.00,202.76,759.33,0.08
2020-01-02 00:00:00,40.09,66.39,1.65,17.90,10.88,8.47,11.34,0.89,80.93,1.13,5.20,0.55,NA,NA,0.17,24.35,69.17,4.01,92.13,0.00,0.00,185.06,760.00,0.09
2020-01-03 00:00:00,38.71,67.37,1.70,17.89,10.90,8.03,9.36,0.88,67.32,1.28,4.49,0.61,NA,NA,0.17,25.09,70.44,3.18,119.19,0.00,0.40,181.74,757.82,0.06
2020-01-04 00:00:00,22.43,39.46,1.88,17.37,10.77,8.79,6.42,0.82,54.31,1.14,4.89,0.63,NA,NA,0.17,24.69,76.55,2.65,119.11,0.04,3.40,175.61,756.21,0.06
2020-01-05 00:00:00,27.00,50.66,1.95,19.96,12.20,10.31,9.87,0.85,46.00,1.33,6.80,0.66,NA,NA,0.17,24.49,75.61,2.85,114.41,0.00,0.00,163.93,757.00,0.05
2020-01-06 00:00:00,45.22,73.04,1.89,17.67,10.93,12.82,10.56,0.83,65.37,1.03,4.16,0.59,NA,NA,0.15,24.53,68.71,4.03,102.21,0.00,0.00,187.27,759.56,0.08
2020-01-07 00:00:00,58.71,86.19,1.73,16.47,10.17,11.43,12.26,0.84,82.66,1.09,3.76,0.55,NA,NA,0.15,24.00,67.91,4.06,99.26,0.00,0.00,186.96,758.95,0.09
2020-01-08 00:00:00,61.95,94.65,1.70,18.92,11.44,5.93,10.49,0.75,79.72,1.26,5.33,0.81,NA,NA,0.22,24.08,69.09,2.99,103.42,0.00,0.00,189.47,757.78,0.09
2020-01-09 00:00:00,54.26,99.72,2.59,28.92,17.48,5.28,7.74,0.79,54.96,1.58,5.76,1.07,NA,NA,0.25,24.12,71.69,1.79,194.29,0.00,0.20,159.89,757.19,0.00
2020-01-10 00:00:00,62.61,109.33,2.35,26.03,15.76,13.80,10.06,0.75,54.80,1.69,6.44,1.01,NA,NA,0.24,24.17,74.03,2.16,132.80,0.00,0.00,182.02,757.85,0.03
2020-01-11 00:00:00,64.61,104.74,2.00,19.93,12.24,15.67,8.47,0.73,61.12,1.27,4.35,0.66,NA,NA,0.19,23.63,71.96,2.38,168.29,0.00,0.00,183.03,758.83,0.01
2020-01-12 00:00:00,88.58,135.54,2.01,20.99,12.79,13.88,9.37,0.83,74.48,1.64,4.95,0.65,NA,NA,0.18,22.97,71.08,2.39,158.07,0.00,0.00,188.08,757.62,0.02
2020-01-13 00:00:00,79.81,125.12,1.82,22.46,13.43,15.18,9.93,0.76,79.01,1.80,5.38,0.89,NA,NA,0.25,23.04,69.65,2.14,182.04,0.00,0.00,193.66,755.84,0.01
2020-01-14 00:00:00,104.78,155.97,2.12,26.83,15.99,19.92,12.15,1.17,76.90,2.45,9.70,1.70,NA,NA,0.44,23.37,70.06,2.10,160.25,0.00,0.00,170.75,756.06,0.02
2020-01-15 00:00:00,82.77,117.09,1.99,18.70,11.57,21.01,10.33,0.83,67.58,1.57,5.61,0.76,NA,NA,0.17,22.93,69.29,2.51,127.63,0.00,0.00,190.48,757.26,0.04
2020-01-16 00:00:00,58.80,87.13,1.78,16.17,10.05,14.89,8.63,0.68,65.96,0.99,3.68,0.48,NA,NA,0.15,22.76,70.37,2.55,137.00,0.00,0.00,183.30,757.18,0.04
