Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2020-01-01 00:00:00,16.93,26.50,18.34,17.56,24.33,18.39,6.69,0.60,19.84,0.47,1.84,0.16,NA,NA,NA,19.12,87.30,1.38,220.37,0.00,0.00,8.36,NA,-0.08
2020-01-02 00:00:00,17.18,13.50,15.15,19.11,22.48,19.02,4.93,0.47,19.08,0.42,1.36,0.06,NA,NA,NA,20.19,84.43,0.87,173.07,0.00,0.00,11.07,NA,-0.04
2020-01-03 00:00:00,18.68,NA,13.99,20.04,22.02,18.67,4.74,0.40,15.02,0.40,1.18,0.03,NA,NA,NA,20.51,82.41,0.63,111.57,0.00,0.00,28.35,NA,-0.01
2020-01-04 00:00:00,18.75,56.28,10.79,17.03,17.32,18.79,4.08,0.43,17.65,0.44,1.14,0.04,NA,NA,NA,20.86,82.57,0.70,129.07,0.00,0.00,33.83,NA,-0.01
2020-01-05 00:00:00,18.39,38.64,23.93,24.28,32.36,18.79,5.11,0.59,15.02,0.49,1.33,0.07,NA,NA,NA,19.32,87.97,0.79,136.88,0.02,2.00,4.28,NA,-0.02
2020-01-06 00:00:00,11.48,29.94,25.38,18.11,30.27,17.94,4.07,0.33,16.28,0.43,1.20,0.06,NA,NA,NA,18.72,88.40,1.29,230.70,0.07,6.50,9.84,NA,-0.08
2020-01-07 00:00:00,17.98,40.34,16.42,18.35,23.10,18.33,4.64,0.39,22.15,0.45,1.08,0.05,NA,NA,NA,19.01,87.60,1.38,233.67,0.09,9.00,11.31,NA,-0.08
2020-01-08 00:00:00,27.28,53.40,17.19,22.99,26.21,19.43,4.15,0.36,23.50,0.51,1.11,0.06,NA,NA,NA,19.14,83.84,1.19,224.34,0.00,0.00,48.75,743.00,-0.04
2020-01-09 00:00:00,30.75,54.93,22.55,34.83,36.86,17.82,1.45,0.27,27.50,0.51,1.36,0.09,NA,NA,NA,19.27,71.88,0.78,194.55,0.00,0.00,54.34,NA,-0.03
2020-01-10 00:00:00,29.83,50.50,21.38,26.68,31.58,18.68,2.11,0.17,21.81,0.46,1.35,0.10,NA,NA,NA,18.13,82.52,1.47,264.40,0.00,0.00,45.70,NA,-0.05
2020-01-11 00:00:00,31.33,55.39,14.51,23.31,24.19,18.95,3.04,0.31,25.57,0.47,1.11,0.07,NA,NA,NA,18.52,83.55,1.61,244.77,0.00,0.00,46.74,NA,-0.08
2020-01-12 00:00:00,57.06,88.16,25.01,37.92,40.50,20.67,4.20,0.53,22.50,0.77,1.25,0.11,NA,NA,NA,18.51,85.34,1.53,275.84,0.00,0.00,15.91,NA,-0.03
2020-01-13 00:00:00,63.90,98.66,43.33,52.11,62.94,20.18,6.03,0.53,20.19,0.85,1.43,0.13,NA,NA,NA,18.81,78.48,0.75,170.57,0.00,0.00,44.59,NA,-0.02
2020-01-14 00:00:00,91.05,122.55,29.14,49.73,50.14,21.58,6.40,0.62,29.22,1.48,1.49,0.94,NA,NA,NA,18.26,72.82,1.11,177.78,0.00,0.00,63.33,NA,-0.04
2020-01-15 00:00:00,30.07,47.26,16.32,29.23,28.81,18.69,2.34,0.21,26.95,0.46,0.91,0.04,NA,NA,NA,17.63,80.01,0.93,150.34,0.00,0.00,60.90,NA,-0.07
2020-01-16 00:00:00,23.59,38.47,18.82,31.42,32.02,18.01,3.55,0.31,24.99,0.41,0.94,0.04,NA,NA,NA,18.88,75.59,0.67,132.22,0.00,0.00,69.58,NA,-0.03
2020-01-17 00:00:00,22.00,39.32,12.99,25.90,24.33,17.60,5.38,0.21,21.74,0.39,0.93,0.06,NA,NA,NA,19.48,77.52,0.99,152.50,0.00,0.00,68.75,NA,-0.04
2020-01-18 00:00:00,18.39,35.20,20.10,19.22,26.55,17.23,5.02,0.29,16.42,0.40,0.95,0.04,NA,NA,NA,18.90,86.59,1.56,184.60,0.00,0.00,10.03,NA,-0.10
2020-01-19 00:00:00,21.92,39.53,26.81,24.31,34.72,17.75,5.42,0.42,17.60,0.44,1.02,0.06,NA,NA,NA,19.41,81.51,1.36,196.81,0.00,0.00,53.07,NA,-0.08
2020-01-20 00:00:00,27.30,47.75,25.35,31.94,37.60,17.80,6.11,0.30,25.08,0.47,1.08,0.06,NA,NA,NA,19.55,72.79,1.14,149.55,0.00,0.00,65.77,NA,-0.06
2020-01-21 00:00:00,26.35,47.14,19.24,28.88,31.00,17.93,4.89,0.31,26.09,0.38,1.35,0.04,NA,NA,NA,18.54,77.41,1.63,193.95,0.00,0.00,66.83,NA,-0.08
2020-01-22 00:00:00,26.20,48.59,10.57,19.48,18.95,18.54,4.85,0.27,27.65,0.41,0.87,0.01,NA,NA,NA,18.58,84.44,1.96,241.55,0.00,0.00,34.90,NA,-0.08
2020-01-23 00:00:00,40.40,63.57,18.86,29.25,30.90,19.52,4.54,0.47,23.73,0.50,1.06,0.05,NA,NA,NA,18.90,81.09,1.26,229.24,0.00,0.00,64.81,NA,-0.05
2020-01-24 00:00:00,37.21,62.52,26.81,39.18,42.63,18.62,10.97,0.34,27.94,0.50,1.22,0.07,NA,NA,NA,19.39,62.04,1.31,227.71,0.00,0.00,72.67,NA,-0.04
2020-01-25 00:00:00,29.11,47.84,34.33,47.02,52.92,17.97,5.22,0.18,24.45,0.51,1.47,0.09,NA,NA,NA,19.32,53.68,1.17,185.57,0.00,0.00,71.72,NA,-0.05
2020-01-26 00:00:00,39.52,63.09,50.21,60.60,73.06,18.86,6.53,0.40,26.68,0.49,1.21,0.09,NA,NA,NA,20.26,55.08,0.79,131.76,0.00,0.00,77.90,NA,-0.03
2020-01-27 00:00:00,49.66,79.72,29.16,49.94,50.27,20.60,7.65,0.28,34.76,0.51,1.00,0.05,NA,NA,NA,20.41,63.77,0.81,138.10,0.00,0.00,83.36,NA,-0.04
2020-01-28 00:00:00,46.02,72.24,5.29,23.42,14.93,21.52,9.35,0.35,35.73,0.41,0.65,0.02,NA,NA,NA,20.39,71.42,0.79,174.09,0.00,0.00,60.15,NA,0.01
2020-01-29 00:00:00,37.14,62.26,7.41,24.72,17.17,20.40,6.54,0.31,28.93,0.40,0.74,0.03,NA,NA,NA,20.79,73.70,0.88,158.64,0.00,0.00,64.73,NA,0.02
2020-01-30 00:00:00,31.28,61.84,9.02,32.47,22.70,19.51,5.65,0.24,29.77,0.45,0.95,0.05,NA,NA,NA,21.31,65.72,0.69,155.92,0.00,0.00,66.41,NA,0.01
2020-01-31 00:00:00,31.27,59.83,7.66,26.77,20.16,20.21,4.78,0.21,29.80,0.40,0.90,0.04,NA,NA,NA,20.70,71.55,0.63,149.78,0.00,0.00,66.84,NA,-0.01
2020-02-01 00:00:00,32.71,65.59,22.38,32.12,35.28,20.76,4.22,0.36,23.41,0.39,0.85,1.05,NA,NA,NA,20.04,78.91,0.62,150.17,0.00,0.00,39.09,NA,-0.01
2020-02-02 00:00:00,38.97,66.42,27.82,33.64,40.51,27.64,7.36,0.38,24.71,0.52,2.19,0.07,NA,NA,NA,19.40,77.85,0.66,149.20,0.00,0.00,38.71,NA,-0.06
2020-02-03 00:00:00,27.06,44.15,28.45,28.40,38.24,14.95,5.33,0.73,21.30,0.05,0.06,0.03,NA,NA,NA,19.46,71.32,0.77,181.51,0.00,0.00,74.53,NA,-0.06
2020-02-04 00:00:00,29.16,53.26,24.06,27.08,33.97,13.38,5.72,1.44,19.59,0.03,0.10,0.02,NA,NA,NA,19.41,80.15,0.63,210.40,0.00,0.00,45.25,NA,-0.06
2020-02-05 00:00:00,32.82,58.36,19.95,34.89,34.79,11.51,8.50,1.50,25.31,0.04,0.06,0.01,NA,NA,NA,20.19,70.16,0.53,115.36,0.00,0.00,73.11,NA,-0.04
2020-02-06 00:00:00,21.95,48.85,9.27,26.16,21.45,10.19,4.68,1.46,26.64,0.04,0.02,0.00,NA,NA,NA,19.87,70.89,0.50,143.56,0.00,0.00,62.34,NA,0.00
2020-02-07 00:00:00,21.33,50.98,7.56,20.51,17.06,10.21,5.14,0.71,27.09,0.02,0.04,0.01,NA,NA,NA,20.11,75.21,0.67,156.69,0.00,0.00,54.61,NA,-0.00
2020-02-08 00:00:00,24.42,52.04,9.79,25.06,19.51,10.71,4.81,0.27,24.69,0.04,0.03,0.00,NA,NA,NA,20.01,76.47,0.64,131.23,0.00,0.00,42.64,NA,-0.01
2020-02-09 00:00:00,23.66,46.43,11.93,21.30,21.04,9.87,5.18,0.29,25.35,0.00,0.01,0.00,NA,NA,NA,19.66,81.44,1.27,178.97,0.00,0.00,34.50,NA,-0.08
2020-02-10 00:00:00,27.16,47.61,10.00,20.51,19.05,9.57,4.22,0.45,35.72,0.00,0.05,0.00,NA,NA,NA,19.22,80.25,1.63,215.88,0.00,0.00,44.93,NA,-0.10
2020-02-11 00:00:00,26.69,43.21,8.16,18.75,16.61,9.94,5.15,0.28,35.94,0.00,0.03,0.00,NA,NA,NA,19.23,82.47,1.99,224.65,0.00,0.00,45.21,NA,-0.10
2020-02-12 00:00:00,28.54,52.26,14.02,28.98,26.81,10.68,6.37,0.20,33.10,0.00,0.08,0.00,NA,NA,NA,19.60,80.28,1.52,224.78,0.00,0.00,67.29,NA,-0.09
2020-02-13 00:00:00,36.81,61.06,32.35,47.72,51.68,10.66,6.61,0.25,26.80,0.01,0.05,0.00,NA,NA,NA,19.68,68.57,1.13,169.24,0.00,0.00,72.25,NA,-0.06
2020-02-14 00:00:00,44.55,76.26,51.22,68.59,78.13,10.58,5.53,0.23,25.37,0.08,0.10,0.00,NA,NA,NA,20.70,56.45,0.89,163.81,0.00,0.00,127.87,NA,-0.03
2020-02-15 00:00:00,37.65,67.80,50.01,71.79,78.85,10.36,8.18,0.23,28.55,0.10,0.14,0.01,NA,NA,NA,21.16,50.29,0.95,164.38,0.00,0.00,73.00,NA,-0.03
2020-02-16 00:00:00,24.31,47.27,32.31,59.31,57.82,9.31,6.13,0.14,29.38,0.02,0.12,0.01,NA,NA,NA,20.65,48.68,1.07,145.64,0.00,0.00,75.84,NA,-0.09
2020-02-17 00:00:00,29.66,52.05,31.03,54.84,54.39,9.75,6.84,0.36,35.68,0.03,0.05,0.00,NA,NA,NA,20.05,55.00,0.92,142.88,0.00,0.00,73.17,NA,-0.07
