Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,40.28,107.46,2.87,9.01,12.07,3.95,41.63,0.91,141.51,0.00,NA,NA,NA,NA,NA,17.50,72.91,0.37,177.53,0.00,0.01,157.31,995.88,NA
2022-01-02 00:00:00,26.52,91.45,4.60,8.44,13.95,4.92,41.84,0.56,118.98,0.00,NA,NA,NA,NA,NA,17.53,72.19,0.42,181.35,0.00,0.00,175.07,994.25,NA
2022-01-03 00:00:00,33.22,117.32,6.43,11.30,18.73,7.13,41.76,0.56,109.06,0.00,NA,NA,NA,NA,NA,16.88,74.14,0.38,169.26,0.00,0.00,147.22,992.86,NA
2022-01-04 00:00:00,20.67,61.49,5.54,8.81,15.58,5.40,41.30,0.36,122.94,0.00,NA,NA,NA,NA,NA,18.15,68.04,0.51,172.99,0.00,0.00,200.22,994.21,NA
2022-01-05 00:00:00,37.97,136.25,7.79,13.12,22.58,8.66,43.19,0.66,107.88,0.00,NA,NA,NA,NA,NA,19.30,64.56,0.39,184.57,0.00,0.00,153.82,992.60,NA
2022-01-06 00:00:00,27.32,80.42,5.27,8.87,15.26,5.43,42.67,0.43,90.49,0.00,NA,NA,NA,NA,NA,17.61,69.46,0.43,156.09,0.00,0.00,188.14,993.14,NA
2022-01-07 00:00:00,54.97,172.72,8.77,17.58,26.86,10.98,42.17,1.14,107.87,0.00,NA,NA,NA,NA,NA,21.80,62.56,0.38,177.89,0.00,0.00,179.55,993.17,NA
2022-01-08 00:00:00,39.18,129.92,9.50,15.34,26.43,10.40,41.21,0.91,106.15,0.00,NA,NA,NA,NA,NA,18.41,72.76,0.41,167.36,0.00,0.00,171.03,993.17,NA
2022-01-09 00:00:00,33.17,125.06,9.33,13.35,21.84,9.84,41.54,0.65,115.34,0.00,NA,NA,NA,NA,NA,18.42,73.43,0.40,158.52,0.00,0.00,168.43,991.21,NA
2022-01-10 00:00:00,35.30,129.90,8.05,13.52,21.99,8.68,41.62,0.61,109.59,0.00,NA,NA,NA,NA,NA,18.62,74.40,0.37,184.03,0.00,0.00,130.82,991.74,NA
2022-01-11 00:00:00,39.52,118.59,5.89,13.18,19.68,7.28,42.08,0.60,87.35,0.00,NA,NA,NA,NA,NA,19.28,75.97,0.36,174.05,0.00,0.00,132.07,992.16,NA
2022-01-12 00:00:00,25.18,49.11,1.73,9.58,10.71,9.87,41.12,0.41,48.86,0.00,NA,NA,NA,NA,NA,15.73,88.04,0.55,200.88,0.01,0.34,41.43,985.17,NA
2022-01-13 00:00:00,37.05,63.32,0.84,8.79,8.92,2.67,41.08,0.56,5.44,0.00,NA,NA,NA,NA,NA,14.53,95.52,0.44,156.99,0.01,0.08,NA,992.83,NA
2022-01-14 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-15 00:00:00,26.53,54.00,1.59,5.69,7.35,1.40,41.58,0.61,4.84,0.00,NA,NA,NA,NA,NA,12.19,96.53,0.42,229.73,0.00,0.00,NA,993.20,NA
2022-01-16 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-17 00:00:00,24.47,107.56,6.29,11.28,18.31,6.68,43.21,0.52,11.08,0.00,NA,NA,NA,NA,NA,19.53,66.96,0.45,174.85,0.00,0.00,219.08,994.62,NA
2022-01-18 00:00:00,19.45,52.25,3.50,7.24,11.36,3.45,42.96,0.33,9.27,0.00,NA,NA,NA,NA,NA,13.92,76.92,0.42,171.68,0.00,0.00,179.61,994.41,NA
2022-01-19 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-20 00:00:00,41.68,81.18,1.69,12.32,13.41,4.62,44.48,0.33,12.87,0.00,NA,NA,NA,NA,NA,21.56,51.49,0.44,134.73,0.00,0.00,143.51,987.93,NA
2022-01-21 00:00:00,38.66,82.41,3.87,12.52,16.62,5.91,42.51,0.63,7.48,0.00,NA,NA,NA,NA,NA,16.26,86.81,0.40,205.78,0.00,0.05,55.68,988.55,NA
