Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,128.28,,4.08,3.98,6.8,20.68,8.57,0.51,4.6,0.1,,,,0.05,0.31,,,,,0.0,0.0,0.0,,
2024-01-02,112.69,150.01,1.05,4.8,4.27,20.83,8.72,0.42,7.0,0.08,,,,0.04,0.25,,,,,0.0,0.0,0.0,,
2024-01-03,103.65,157.54,1.92,5.01,5.28,20.83,8.89,0.43,6.54,0.09,,,,0.05,0.26,,,,,0.0,0.0,0.0,,
2024-01-04,104.0,168.33,10.18,6.07,14.41,20.71,8.85,0.44,5.6,0.09,,,,0.05,0.26,,,,,0.0,0.0,0.0,,
2024-01-05,85.7,132.86,6.86,4.6,10.05,20.68,8.73,0.41,5.7,0.08,,,,0.04,0.25,,,,,0.0,0.0,0.0,,
2024-01-06,97.52,138.59,4.52,4.38,7.51,20.71,8.73,0.43,5.61,0.09,,,,0.05,0.26,,,,,0.0,0.0,0.0,,
2024-01-07,116.81,165.53,9.09,5.54,12.95,20.75,8.79,0.45,5.9,0.09,,,,0.05,0.27,,,,,0.0,0.0,0.0,,
2024-01-08,105.52,152.71,3.41,6.97,8.11,21.0,8.76,0.38,5.91,0.08,,,,0.04,0.23,,,,,0.0,0.0,0.0,,
2024-01-09,165.7,235.21,2.45,7.68,7.61,21.11,9.06,0.54,5.7,0.11,,,,0.06,0.32,,,,,0.0,0.0,0.0,,
2024-01-10,138.19,177.31,1.19,5.51,4.87,20.92,9.17,0.58,5.98,0.12,,,,0.06,0.35,,,,,0.0,0.0,0.0,,
2024-01-11,154.87,202.89,1.56,6.58,5.95,21.01,10.25,0.51,8.95,0.1,,,,0.05,0.31,,,,,0.0,0.0,0.0,,
