Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2021-01-01 00:00:00,160.49,254.45,NA,NA,NA,NA,0.25,1.77,5.19,7.93,NA,NA,NA,20.48,115.73,27.62,NA,0.49,119.97,NA,0.00,86.21,NA,NA
2021-01-02 00:00:00,170.64,261.61,5.40,16.20,21.61,5.87,0.34,1.38,8.95,6.27,NA,NA,NA,11.63,62.35,31.76,NA,0.64,133.95,NA,0.00,130.32,NA,NA
2021-01-03 00:00:00,151.31,229.80,3.56,9.23,12.79,7.09,0.20,1.14,7.27,4.56,NA,NA,NA,10.53,53.08,29.03,NA,0.56,128.48,NA,0.00,103.32,NA,NA
2021-01-04 00:00:00,147.60,231.43,4.02,11.38,15.40,7.05,0.21,1.24,7.67,4.86,NA,NA,NA,12.28,54.97,27.90,NA,0.51,138.57,NA,0.00,98.32,NA,NA
2021-01-05 00:00:00,169.92,264.15,5.34,10.79,16.13,12.78,0.22,1.33,7.89,5.00,NA,NA,NA,14.29,65.98,29.25,NA,0.60,125.97,NA,0.00,106.97,NA,NA
2021-01-06 00:00:00,165.36,247.52,4.68,9.63,14.32,12.72,0.18,1.26,9.21,4.64,NA,NA,NA,11.64,59.53,29.38,NA,0.67,125.50,NA,0.00,97.18,NA,NA
2021-01-07 00:00:00,126.21,191.17,6.08,7.41,13.49,10.73,0.21,1.20,8.86,4.10,NA,NA,NA,11.25,59.66,30.20,NA,0.58,122.74,NA,0.00,121.54,NA,NA
2021-01-08 00:00:00,87.87,128.52,12.62,5.68,18.30,7.94,0.17,1.19,8.55,3.77,NA,NA,NA,9.85,58.57,29.31,NA,0.53,117.07,NA,0.00,91.20,NA,NA
2021-01-09 00:00:00,117.60,172.50,9.86,6.63,16.49,9.91,0.19,1.26,12.09,4.12,NA,NA,NA,11.60,62.06,30.54,NA,0.55,116.43,NA,0.00,104.04,NA,NA
2021-01-10 00:00:00,120.66,174.35,5.46,6.87,12.33,11.04,0.17,1.24,14.33,4.16,NA,NA,NA,13.10,66.50,31.84,NA,0.57,120.05,NA,0.00,107.86,NA,NA
2021-01-11 00:00:00,121.97,204.75,9.10,7.94,17.03,5.67,0.18,1.42,16.18,4.85,NA,NA,NA,13.48,73.88,31.70,NA,0.57,121.04,NA,0.00,91.69,NA,NA
2021-01-12 00:00:00,103.81,168.99,6.96,8.47,15.14,5.64,0.39,1.36,20.82,5.45,NA,NA,NA,15.35,83.28,32.55,NA,0.60,123.13,NA,0.00,115.22,NA,NA
2021-01-13 00:00:00,86.22,147.61,5.27,8.01,13.29,3.96,0.18,1.01,35.08,3.69,NA,NA,NA,10.45,60.38,31.79,NA,0.59,135.92,NA,0.00,86.78,NA,NA
2021-01-14 00:00:00,79.58,142.71,5.22,10.19,15.41,4.75,0.20,0.96,25.55,3.70,NA,NA,NA,9.33,53.41,30.33,NA,0.63,142.83,NA,0.00,100.98,NA,NA
2021-01-15 00:00:00,108.52,189.10,9.34,13.64,22.97,1.49,0.15,1.22,13.48,4.78,NA,NA,NA,12.09,62.15,28.79,NA,0.60,146.30,NA,0.00,104.74,NA,NA
2021-01-16 00:00:00,106.02,199.04,7.52,13.02,19.75,4.37,0.32,1.08,9.64,3.33,NA,NA,NA,8.54,49.82,30.75,NA,0.64,134.74,NA,0.00,138.27,NA,NA
2021-01-17 00:00:00,138.65,223.55,12.76,11.58,24.34,2.22,0.23,1.33,15.85,5.05,NA,NA,NA,12.58,66.71,29.17,NA,0.53,125.84,NA,0.00,110.77,NA,NA
2021-01-18 00:00:00,94.50,168.26,8.19,12.91,21.10,1.95,0.19,1.33,7.84,3.95,NA,NA,NA,10.48,56.18,26.98,NA,0.51,126.15,NA,0.00,112.02,NA,NA
2021-01-19 00:00:00,95.35,181.10,10.59,11.22,21.81,1.00,0.19,1.62,4.70,4.06,NA,NA,NA,11.58,62.58,NA,NA,0.48,124.58,NA,0.00,106.78,NA,NA
2021-01-20 00:00:00,94.16,179.38,12.12,13.03,25.14,2.80,0.17,1.46,10.58,3.96,NA,NA,NA,10.18,57.28,NA,NA,0.58,133.49,NA,0.00,110.18,NA,NA
2021-01-21 00:00:00,136.57,227.35,22.34,10.95,32.58,1.31,0.67,1.96,7.96,5.78,NA,NA,NA,13.39,77.44,30.91,NA,0.52,130.35,NA,0.00,99.30,NA,NA
2021-01-22 00:00:00,163.81,246.72,6.64,18.45,25.09,1.09,0.21,1.95,22.77,5.72,NA,NA,NA,13.10,72.65,28.42,NA,0.54,135.22,NA,0.00,102.86,NA,NA
2021-01-23 00:00:00,182.10,281.52,15.86,14.64,30.51,1.26,NA,2.44,23.95,3.90,NA,NA,NA,3.15,14.50,29.22,NA,0.49,129.64,NA,0.00,106.36,NA,NA
2021-01-24 00:00:00,114.98,202.64,18.69,10.29,28.09,1.72,NA,1.86,82.31,3.69,NA,NA,NA,4.23,21.52,29.53,NA,0.60,135.33,NA,0.00,111.19,NA,NA
2021-01-25 00:00:00,100.57,250.23,5.65,11.66,17.32,2.33,NA,1.48,84.72,2.77,NA,NA,NA,3.08,15.61,26.62,NA,0.59,132.60,NA,0.00,111.47,NA,NA
2021-01-26 00:00:00,NA,231.96,7.23,10.26,17.48,3.36,NA,1.55,113.32,2.76,NA,NA,NA,3.14,15.45,27.09,NA,0.57,140.39,NA,0.00,99.66,NA,NA
2021-01-27 00:00:00,114.29,214.19,6.31,15.64,21.95,2.79,NA,1.61,114.84,2.94,NA,NA,NA,2.78,14.85,26.85,NA,0.58,133.23,NA,0.00,92.49,NA,NA
2021-01-28 00:00:00,130.81,224.22,7.52,16.69,24.21,2.79,NA,1.92,61.31,4.22,NA,NA,NA,3.25,15.57,25.68,NA,0.54,123.70,NA,0.00,60.65,NA,NA
2021-01-29 00:00:00,113.98,249.95,12.99,16.04,29.03,1.80,1.40,2.14,36.98,3.62,NA,NA,NA,2.97,14.62,29.73,NA,0.50,139.03,NA,0.00,104.53,NA,NA
2021-01-30 00:00:00,125.89,237.54,30.59,12.12,41.24,1.81,0.90,2.46,6.39,5.30,NA,NA,NA,6.63,27.04,27.74,NA,0.58,125.57,NA,0.00,101.12,NA,NA
2021-01-31 00:00:00,109.54,221.19,7.53,14.42,21.94,0.30,NA,2.46,6.49,5.52,NA,NA,NA,5.98,27.64,27.98,NA,0.54,129.39,NA,0.00,116.70,NA,NA
2021-02-01 00:00:00,106.73,225.23,6.62,15.25,21.86,1.38,NA,2.37,5.92,5.09,NA,NA,NA,4.83,27.51,29.24,NA,0.58,113.82,NA,0.00,117.61,NA,NA
2021-02-02 00:00:00,90.90,212.94,8.63,15.80,24.42,0.94,NA,2.20,5.74,3.84,NA,NA,NA,3.98,24.63,31.09,NA,0.56,131.43,NA,0.00,132.34,NA,NA
2021-02-03 00:00:00,106.36,231.34,11.30,13.12,24.42,1.92,NA,2.91,5.09,4.77,NA,NA,NA,4.55,24.89,26.10,NA,0.52,128.89,NA,0.00,169.32,NA,NA
2021-02-04 00:00:00,106.55,225.48,6.82,16.88,23.71,2.25,NA,1.70,14.31,4.05,NA,NA,NA,3.74,20.90,32.06,NA,0.64,135.24,NA,0.00,153.82,NA,NA
2021-02-05 00:00:00,98.23,172.16,2.38,14.73,17.11,1.73,25.98,1.58,8.81,2.94,NA,NA,NA,2.83,15.68,28.48,NA,0.48,136.80,NA,0.00,80.09,NA,NA
2021-02-06 00:00:00,75.08,167.65,5.87,13.56,19.43,2.23,29.70,1.69,7.71,2.72,NA,NA,NA,2.97,17.30,28.33,NA,0.54,128.82,NA,0.00,101.79,NA,NA
2021-02-07 00:00:00,71.78,152.43,7.18,11.10,18.28,2.21,NA,2.06,4.14,3.37,NA,NA,NA,4.14,24.29,29.16,NA,0.53,132.75,NA,0.00,149.68,NA,NA
2021-02-08 00:00:00,65.28,151.08,6.82,9.75,19.70,3.68,NA,1.77,5.38,3.16,NA,NA,NA,3.79,22.25,29.24,NA,0.56,132.55,NA,0.00,140.12,NA,NA
2021-02-09 00:00:00,84.97,210.27,6.89,15.88,20.74,2.13,NA,1.83,6.43,3.28,NA,NA,NA,3.83,21.02,28.65,NA,0.55,143.75,NA,0.00,126.66,NA,NA
2021-02-10 00:00:00,112.27,233.85,11.01,13.65,24.66,1.18,NA,2.52,5.55,4.92,NA,NA,NA,5.60,29.68,26.45,NA,0.51,127.50,NA,0.00,42.13,NA,NA
2021-02-11 00:00:00,144.77,271.54,10.26,15.27,25.53,1.09,NA,3.04,6.11,5.44,NA,NA,NA,5.40,28.65,27.73,NA,0.52,132.29,NA,0.00,83.64,NA,NA
2021-02-12 00:00:00,131.68,246.26,11.10,15.72,26.82,2.15,18.09,3.39,16.61,5.84,NA,NA,NA,5.70,30.51,29.93,NA,0.54,142.50,NA,0.00,102.36,NA,NA
2021-02-13 00:00:00,122.62,221.27,4.18,13.65,17.83,3.62,NA,0.42,9.41,3.63,NA,NA,NA,3.38,17.09,28.83,NA,0.58,134.06,NA,0.00,110.44,NA,NA
2021-02-14 00:00:00,115.17,207.09,4.11,11.53,15.64,3.48,NA,0.37,3.80,3.55,NA,NA,NA,3.10,15.50,29.15,NA,0.54,129.61,NA,0.00,110.87,NA,NA
