Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2018-01-01 00:00:00,96.80,155.90,13.28,40.00,29.21,24.70,16.71,1.71,44.62,12.57,38.26,NA,NA,7.78,25.15,NA,63.16,0.41,174.84,NA,NA,48.65,NA,NA
2018-01-02 00:00:00,96.68,150.75,13.87,38.11,28.05,24.36,18.26,1.59,43.36,11.06,35.67,NA,NA,7.39,23.53,NA,63.08,0.48,174.16,NA,NA,54.08,NA,NA
2018-01-03 00:00:00,70.67,111.47,15.39,41.27,33.01,25.96,9.53,1.77,34.72,10.40,36.53,NA,NA,7.70,23.64,NA,59.51,1.93,174.50,NA,NA,4.78,NA,NA
2018-01-04 00:00:00,79.32,133.72,23.37,41.50,38.18,28.67,31.78,1.97,36.26,12.95,41.50,NA,NA,9.02,27.83,NA,55.03,1.44,187.52,NA,NA,53.08,NA,NA
2018-01-05 00:00:00,93.90,151.72,15.46,41.11,32.07,24.74,11.20,1.71,40.51,12.60,38.85,NA,NA,9.64,25.87,NA,63.29,0.51,193.49,NA,NA,57.45,NA,NA
2018-01-06 00:00:00,85.82,143.25,21.08,41.22,37.88,28.83,15.81,1.87,33.29,11.22,34.63,NA,NA,7.95,23.69,NA,63.37,0.72,197.67,NA,NA,58.00,NA,NA
2018-01-07 00:00:00,87.94,139.40,13.54,36.99,27.30,22.85,16.44,1.36,39.63,10.20,28.47,NA,NA,5.69,17.98,NA,64.12,0.47,180.33,NA,NA,54.02,NA,NA
2018-01-08 00:00:00,81.61,138.57,20.63,37.30,34.94,27.07,33.29,1.63,35.36,11.91,39.38,NA,NA,8.97,27.62,NA,60.08,0.60,151.55,NA,NA,53.37,NA,NA
2018-01-09 00:00:00,68.13,126.04,26.55,37.24,38.81,30.19,29.26,1.75,37.25,11.48,38.33,NA,NA,8.26,26.15,NA,59.11,0.54,157.95,NA,NA,56.87,NA,NA
2018-01-10 00:00:00,69.46,124.71,14.41,33.05,27.01,21.77,12.74,1.35,40.73,10.42,36.32,NA,NA,8.36,25.31,NA,57.42,0.87,179.96,NA,NA,59.53,NA,NA
2018-01-11 00:00:00,77.80,116.43,19.76,34.85,33.09,25.26,16.09,1.77,37.36,13.78,35.13,NA,NA,8.09,25.06,NA,54.06,1.01,197.01,NA,NA,58.56,NA,NA
2018-01-12 00:00:00,61.11,113.10,24.78,36.28,37.14,27.41,17.48,1.77,36.39,10.02,35.34,NA,NA,7.82,23.96,NA,53.42,0.94,190.80,NA,NA,60.34,NA,NA
2018-01-13 00:00:00,67.44,118.75,17.12,32.53,27.95,21.82,8.03,1.51,39.56,9.48,30.35,NA,NA,6.25,19.76,NA,52.62,0.91,184.35,NA,NA,67.17,NA,NA
2018-01-14 00:00:00,83.06,143.23,15.89,36.83,29.64,24.49,22.88,1.47,27.66,9.90,28.67,NA,NA,5.79,18.31,NA,62.35,0.82,178.79,NA,NA,49.26,NA,NA
2018-01-15 00:00:00,73.85,120.86,9.24,32.21,21.37,20.35,17.08,1.00,30.52,8.22,25.72,NA,NA,5.12,17.20,NA,63.09,0.97,157.71,NA,NA,42.64,NA,NA
2018-01-16 00:00:00,55.49,98.64,15.79,29.86,25.45,20.62,11.10,1.35,30.74,8.19,28.78,NA,NA,5.81,18.80,NA,54.81,2.55,185.67,NA,NA,71.17,NA,NA
2018-01-17 00:00:00,57.51,106.77,14.14,34.99,27.57,21.26,13.99,1.28,37.67,8.92,33.44,NA,NA,6.83,22.14,NA,52.37,1.06,196.73,NA,NA,70.68,NA,NA
2018-01-18 00:00:00,45.77,90.31,22.84,33.22,33.41,24.84,29.03,1.49,31.23,8.33,30.94,NA,NA,6.46,20.39,NA,46.90,1.05,192.03,NA,NA,76.22,NA,NA
2018-01-19 00:00:00,62.35,116.92,33.90,40.75,46.51,33.01,33.27,1.84,28.63,11.76,43.95,NA,NA,9.65,30.34,NA,54.96,0.52,170.07,NA,NA,66.95,NA,NA
2018-01-20 00:00:00,57.22,104.26,22.31,36.29,34.78,24.56,32.87,1.56,31.04,9.54,35.30,NA,NA,7.21,23.30,NA,56.62,0.89,177.23,NA,NA,79.78,NA,NA
2018-01-21 00:00:00,73.07,108.92,17.59,36.81,31.18,23.68,30.23,1.41,34.29,9.16,29.25,NA,NA,5.80,18.54,NA,60.25,0.54,183.21,NA,NA,81.05,NA,NA
2018-01-22 00:00:00,72.99,126.89,26.95,42.23,41.35,30.14,25.65,2.05,35.38,13.49,49.83,NA,NA,21.54,37.89,NA,60.63,1.28,178.52,NA,NA,83.32,NA,NA
2018-01-23 00:00:00,76.62,131.20,21.85,45.16,40.84,29.81,15.83,1.99,30.31,13.80,50.62,NA,NA,15.09,35.33,NA,61.64,1.28,217.13,NA,NA,85.16,NA,NA
2018-01-24 00:00:00,48.91,81.49,2.05,20.44,8.78,9.49,8.50,0.41,41.05,3.65,12.72,NA,NA,2.79,8.06,NA,50.19,1.32,217.35,NA,NA,84.42,NA,NA
2018-01-25 00:00:00,53.28,102.33,21.89,35.05,34.62,25.33,16.29,1.66,33.31,9.11,33.48,NA,NA,7.90,23.11,NA,47.63,0.52,196.56,NA,NA,92.25,NA,NA
2018-01-26 00:00:00,60.14,103.74,6.79,27.66,15.06,10.80,30.07,1.47,34.31,8.31,25.53,NA,NA,5.78,17.30,NA,50.13,0.61,182.97,NA,NA,88.57,NA,NA
2018-01-27 00:00:00,63.17,112.69,NA,NA,NA,NA,18.48,1.41,37.40,9.56,30.67,NA,NA,6.86,19.98,NA,50.10,0.62,191.20,NA,NA,92.74,NA,NA
2018-01-28 00:00:00,73.51,123.72,NA,NA,NA,NA,22.35,1.19,38.04,9.40,27.07,NA,NA,6.34,17.09,NA,52.46,0.58,161.10,NA,NA,86.45,NA,NA
2018-01-29 00:00:00,73.24,130.21,33.20,42.36,49.17,34.88,18.42,1.70,35.05,10.97,39.39,NA,NA,9.55,27.04,NA,50.86,1.17,188.08,NA,NA,89.94,NA,NA
2018-01-30 00:00:00,60.92,111.66,15.30,40.34,31.35,23.20,27.61,1.55,32.65,10.72,37.65,NA,NA,8.76,25.63,NA,53.54,0.90,195.32,NA,NA,94.76,NA,NA
2018-01-31 00:00:00,47.83,91.42,14.62,27.62,23.59,17.84,9.72,0.99,32.02,7.72,28.25,NA,NA,6.10,19.09,NA,43.57,0.55,209.54,NA,NA,103.73,NA,NA
2018-02-01 00:00:00,39.44,83.22,25.32,31.18,34.49,23.88,17.25,1.60,28.29,3.66,11.97,NA,NA,2.45,7.43,NA,42.73,0.52,175.55,NA,NA,101.04,NA,NA
2018-02-02 00:00:00,55.51,107.78,17.22,38.95,32.24,22.75,11.74,1.66,34.16,7.21,28.70,NA,NA,7.27,19.83,NA,46.62,0.54,190.70,NA,NA,106.55,NA,NA
2018-02-03 00:00:00,67.95,123.21,26.50,47.64,44.51,30.92,23.71,1.95,31.35,12.99,46.59,NA,NA,10.37,30.30,NA,49.65,0.53,210.26,NA,NA,106.87,NA,NA
2018-02-04 00:00:00,66.04,114.04,8.91,39.26,25.62,19.73,18.54,1.26,39.97,8.13,26.52,NA,NA,5.18,16.13,NA,52.72,0.49,187.33,NA,NA,101.59,NA,NA
2018-02-05 00:00:00,80.47,137.78,16.29,42.03,32.40,25.79,17.42,1.80,37.81,11.10,39.68,NA,NA,8.14,24.46,NA,58.96,0.54,194.11,NA,NA,100.78,NA,NA
2018-02-06 00:00:00,87.15,141.94,16.46,43.78,33.55,27.94,15.45,1.75,37.31,13.45,50.47,NA,NA,10.96,30.89,NA,57.36,0.56,194.90,NA,NA,88.27,NA,NA
2018-02-07 00:00:00,80.18,143.33,10.97,47.19,31.72,26.68,22.49,1.41,26.29,10.58,37.06,NA,NA,7.57,22.39,NA,59.66,0.50,191.35,NA,NA,58.01,NA,NA
2018-02-08 00:00:00,73.81,124.11,18.84,40.71,34.31,29.63,7.25,1.82,28.91,11.41,38.36,NA,NA,8.17,24.40,NA,61.17,0.69,227.18,NA,NA,114.98,NA,NA
2018-02-09 00:00:00,46.31,93.12,4.66,28.52,15.18,14.87,8.24,0.79,32.68,6.30,20.57,NA,NA,3.77,12.50,NA,46.63,0.79,206.42,NA,NA,95.99,NA,NA
2018-02-10 00:00:00,59.90,111.76,16.72,38.99,36.14,21.28,11.94,1.48,31.43,15.36,34.37,NA,NA,13.66,24.87,NA,54.58,1.05,147.35,NA,NA,52.69,NA,NA
2018-02-11 00:00:00,65.01,102.01,3.54,32.62,16.45,14.26,13.83,0.67,33.00,6.03,13.01,NA,NA,2.24,7.67,NA,70.80,0.77,136.28,NA,NA,34.93,NA,NA
2018-02-12 00:00:00,42.59,60.47,2.43,23.91,10.09,16.02,8.70,0.71,35.74,4.01,9.75,NA,NA,1.28,5.38,NA,82.66,0.83,136.36,NA,NA,84.59,NA,NA
2018-02-13 00:00:00,54.25,71.36,2.52,19.68,8.37,16.45,6.24,0.63,46.86,3.31,7.95,NA,NA,0.93,3.83,NA,78.19,6.47,153.76,NA,NA,111.57,NA,NA
2018-02-14 00:00:00,41.54,58.25,9.83,26.36,18.92,16.92,17.83,0.97,35.38,5.75,19.54,NA,NA,4.20,12.33,NA,76.40,6.99,128.22,NA,NA,101.43,NA,NA
2018-02-15 00:00:00,41.86,67.92,22.07,31.67,31.98,17.23,12.72,1.19,40.42,7.12,26.89,NA,NA,5.65,17.43,NA,57.12,4.83,179.16,NA,NA,136.01,NA,NA
2018-02-16 00:00:00,44.30,86.21,26.26,38.30,39.15,19.97,30.44,1.37,35.26,8.38,30.69,NA,NA,6.68,19.92,NA,55.40,6.27,183.19,NA,NA,138.02,NA,NA
2018-02-17 00:00:00,57.33,103.79,28.36,39.82,42.86,20.45,17.22,1.48,39.02,9.51,34.49,NA,NA,6.92,21.26,NA,55.12,6.81,200.23,NA,NA,136.47,NA,NA
2018-02-18 00:00:00,56.45,103.99,15.80,38.22,31.40,15.53,12.63,1.13,40.34,7.22,24.45,NA,NA,4.44,14.11,NA,54.52,4.01,189.88,NA,NA,134.44,NA,NA
2018-02-19 00:00:00,66.70,117.96,11.20,40.31,28.56,15.10,16.42,1.15,44.71,7.04,25.12,NA,NA,4.57,14.53,NA,54.09,2.13,194.22,NA,NA,120.45,NA,NA
2018-02-20 00:00:00,66.74,125.01,13.56,41.70,28.68,15.76,20.85,1.32,48.91,8.19,32.97,NA,NA,5.72,17.87,NA,50.90,4.96,164.31,NA,NA,124.30,NA,NA
2018-02-21 00:00:00,47.26,89.76,26.14,42.09,41.08,18.93,25.05,1.53,40.51,8.19,35.09,NA,NA,7.28,22.25,NA,47.02,5.50,189.46,NA,NA,138.85,NA,NA
2018-02-22 00:00:00,62.98,144.12,18.40,46.61,37.27,17.13,15.46,1.47,42.81,9.88,36.08,NA,NA,7.39,22.09,NA,50.09,4.28,206.21,NA,NA,122.30,NA,NA
2018-02-23 00:00:00,61.43,116.01,9.81,47.64,31.40,15.40,14.86,1.43,39.51,8.66,33.30,NA,NA,6.26,20.12,NA,49.97,3.13,195.96,NA,NA,133.50,NA,NA
2018-02-24 00:00:00,77.30,130.95,24.35,48.87,43.34,21.37,20.43,1.66,45.06,9.69,39.47,NA,NA,7.07,21.60,NA,53.57,1.19,206.92,NA,NA,133.07,NA,NA
2018-02-25 00:00:00,85.45,128.29,20.44,47.26,40.35,19.87,11.14,1.61,41.77,9.86,37.18,NA,NA,7.34,21.87,NA,53.82,1.16,207.34,NA,NA,127.43,NA,NA
2018-02-26 00:00:00,76.45,130.70,11.60,38.46,26.12,15.69,19.73,1.09,44.56,8.19,28.39,NA,NA,5.62,17.21,NA,50.02,1.52,179.26,NA,NA,120.15,NA,NA
2018-02-27 00:00:00,52.23,94.53,17.89,33.40,29.78,15.61,24.07,1.40,44.15,7.24,26.01,NA,NA,5.24,16.34,NA,39.98,1.72,148.98,NA,NA,136.53,NA,NA
2018-02-28 00:00:00,48.58,93.76,25.67,40.93,39.19,18.79,19.54,1.71,38.71,8.06,31.03,NA,NA,6.39,19.31,NA,44.69,1.66,183.09,NA,NA,146.76,NA,NA
2018-03-01 00:00:00,62.83,106.82,13.25,43.15,30.96,15.94,14.36,1.70,40.30,9.23,30.15,NA,NA,5.99,18.54,NA,45.27,2.10,178.86,NA,NA,141.77,NA,NA
2018-03-02 00:00:00,112.73,151.66,3.80,32.28,16.54,11.19,14.11,1.35,47.14,10.71,22.97,NA,NA,4.30,11.47,NA,45.47,2.18,185.41,NA,NA,118.90,NA,NA
2018-03-03 00:00:00,64.49,99.81,12.08,38.93,28.74,14.91,31.94,1.66,44.79,7.62,27.04,NA,NA,5.08,15.99,NA,43.52,0.77,201.88,NA,NA,134.30,NA,NA
2018-03-04 00:00:00,59.50,101.57,17.55,34.86,29.93,16.21,21.71,1.24,45.12,6.98,22.90,NA,NA,4.54,14.09,NA,40.31,0.89,173.07,NA,NA,122.73,NA,NA
2018-03-05 00:00:00,43.50,91.81,2.06,21.22,8.86,5.90,10.30,0.38,31.52,2.01,5.75,NA,NA,0.47,2.89,NA,46.20,0.44,226.95,NA,NA,0.00,NA,NA
2018-03-06 00:00:00,62.17,112.31,8.15,33.73,20.66,12.06,25.19,1.01,54.57,6.14,21.27,NA,NA,3.87,12.40,NA,42.53,0.98,136.98,NA,NA,129.78,NA,NA
2018-03-07 00:00:00,56.45,105.22,6.47,35.80,21.61,12.25,22.09,1.45,48.46,7.38,24.63,NA,NA,5.08,14.40,NA,42.94,0.80,148.74,NA,NA,123.80,NA,NA
2018-03-08 00:00:00,43.45,85.40,1.82,21.20,8.55,7.44,13.91,0.62,9.20,3.17,10.04,NA,NA,1.32,5.73,NA,38.45,0.95,136.53,NA,NA,73.75,NA,NA
2018-03-09 00:00:00,57.92,102.41,22.53,48.38,42.93,20.23,16.54,1.88,41.86,9.81,35.38,NA,NA,7.72,22.10,NA,44.54,1.23,154.49,NA,NA,72.20,NA,NA
2018-03-10 00:00:00,99.12,152.92,8.01,50.98,32.84,16.24,16.63,1.46,13.32,10.75,34.99,NA,NA,8.17,21.96,NA,47.53,1.10,189.53,NA,NA,93.15,NA,NA
2018-03-11 00:00:00,75.24,114.46,11.96,43.89,30.16,16.09,17.29,1.29,1.59,7.14,25.21,NA,NA,4.48,14.55,NA,48.53,0.98,198.37,NA,NA,81.57,NA,NA
2018-03-12 00:00:00,83.04,133.33,22.30,60.93,49.35,25.27,7.98,2.06,7.06,11.41,47.99,NA,NA,10.33,29.28,NA,50.46,2.28,217.54,NA,NA,133.39,NA,NA
2018-03-13 00:00:00,71.56,128.46,22.57,58.50,46.78,23.74,8.95,1.77,38.06,10.25,47.23,NA,NA,9.41,26.92,NA,45.26,0.90,201.44,NA,NA,149.49,NA,NA
2018-03-14 00:00:00,70.72,127.85,15.95,55.19,38.47,20.18,12.98,1.59,43.82,9.29,37.28,NA,NA,7.60,23.74,NA,40.17,0.77,214.45,NA,NA,136.46,NA,NA
2018-03-15 00:00:00,55.71,87.27,2.07,22.70,9.48,6.91,13.49,0.55,63.21,2.92,9.63,NA,NA,1.13,5.44,NA,33.31,0.62,200.73,NA,NA,96.98,NA,NA
2018-03-16 00:00:00,51.38,77.84,2.00,25.59,10.80,13.33,10.15,0.72,49.82,3.84,16.32,NA,NA,2.77,9.72,NA,68.73,1.11,191.74,NA,NA,47.07,NA,NA
2018-03-17 00:00:00,60.84,90.29,6.22,35.78,21.12,20.57,13.96,1.07,42.10,4.66,17.39,NA,NA,3.17,10.58,NA,66.60,1.57,206.60,NA,NA,166.18,NA,NA
2018-03-18 00:00:00,72.93,135.87,13.56,47.87,33.36,22.95,16.25,1.51,42.87,8.19,26.61,NA,NA,5.24,16.02,NA,54.48,1.52,199.44,NA,NA,139.86,NA,NA
2018-03-19 00:00:00,74.00,134.61,15.91,52.29,37.37,20.21,14.52,1.67,46.28,9.38,34.04,NA,NA,7.14,21.16,NA,42.95,2.33,170.49,NA,NA,150.43,NA,NA
2018-03-20 00:00:00,87.21,142.65,5.23,51.05,31.79,19.14,18.30,1.67,41.36,9.73,34.65,NA,NA,6.67,20.91,NA,40.96,3.09,193.97,NA,NA,109.46,NA,NA
2018-03-21 00:00:00,68.65,103.31,7.83,34.36,22.46,13.73,13.15,1.04,42.01,5.67,20.02,NA,NA,3.61,12.58,NA,41.35,1.04,223.32,NA,NA,91.07,NA,NA
2018-03-22 00:00:00,39.66,80.57,6.58,29.67,19.19,10.25,11.86,0.83,35.37,3.29,13.80,NA,NA,2.24,7.75,NA,28.73,0.55,219.34,NA,NA,161.74,NA,NA
2018-03-23 00:00:00,46.50,95.68,16.92,54.08,42.96,18.31,6.85,1.67,25.06,7.67,30.89,NA,NA,5.77,19.38,NA,25.43,0.53,226.86,NA,NA,92.63,NA,NA
2018-03-24 00:00:00,42.89,96.71,6.74,30.51,18.85,9.62,11.74,0.87,47.12,3.92,13.12,NA,NA,2.04,7.35,NA,29.06,0.58,193.50,NA,NA,157.98,NA,NA
2018-03-25 00:00:00,40.42,84.29,4.47,31.37,19.15,8.45,11.27,0.75,45.78,3.87,12.74,NA,NA,2.16,7.32,NA,28.70,0.52,208.67,NA,NA,159.86,NA,NA
2018-03-26 00:00:00,46.71,91.82,6.76,35.76,21.76,9.72,10.35,1.08,45.40,5.53,19.40,NA,NA,3.37,11.53,NA,27.08,0.45,198.61,NA,NA,172.02,NA,NA
2018-03-27 00:00:00,56.07,108.02,18.82,54.49,39.67,18.46,15.83,1.63,40.98,8.87,32.83,NA,NA,6.24,19.68,NA,30.50,0.67,221.59,NA,NA,168.35,NA,NA
2018-03-28 00:00:00,76.39,131.84,4.76,40.45,22.91,11.60,15.29,1.04,54.77,7.22,24.92,NA,NA,4.20,14.08,NA,28.88,0.82,201.19,NA,NA,148.16,NA,NA
2018-03-29 00:00:00,65.57,114.67,10.31,46.85,31.09,14.81,19.71,1.20,44.27,7.31,24.72,NA,NA,4.69,13.99,NA,26.99,1.25,187.32,NA,NA,144.98,NA,NA
2018-03-30 00:00:00,78.11,134.58,9.44,50.65,31.59,15.66,34.54,1.52,42.52,8.10,26.63,NA,NA,5.09,15.16,NA,25.62,0.79,194.10,NA,NA,164.20,NA,NA
2018-03-31 00:00:00,88.47,165.49,20.65,62.46,47.61,22.43,27.21,1.76,40.10,9.25,33.27,NA,NA,6.41,19.11,NA,28.93,1.23,184.66,NA,NA,145.06,NA,NA
2018-04-01 00:00:00,72.27,125.79,6.83,33.58,20.75,25.54,9.15,0.90,41.10,5.48,19.10,NA,NA,3.47,10.91,NA,36.50,2.02,209.07,NA,NA,152.57,NA,NA
2018-04-02 00:00:00,67.51,117.57,13.06,46.33,33.38,24.02,17.13,1.31,50.32,7.93,29.22,NA,NA,6.02,18.11,NA,37.98,0.93,165.53,NA,NA,171.04,NA,NA
2018-04-03 00:00:00,71.86,145.00,13.04,57.95,37.67,23.82,15.21,1.75,38.96,10.78,39.21,NA,NA,8.20,24.09,NA,37.19,0.93,208.69,NA,NA,154.78,NA,NA
2018-04-04 00:00:00,42.42,148.93,6.42,50.11,30.41,18.55,21.91,1.47,44.06,9.73,33.64,NA,NA,6.44,19.48,NA,36.68,0.96,204.55,NA,NA,155.26,NA,NA
2018-04-05 00:00:00,33.12,112.87,6.77,42.50,24.19,17.38,14.47,1.11,42.89,6.23,24.70,NA,NA,4.32,14.82,NA,39.30,1.11,169.57,NA,NA,154.81,NA,NA
2018-04-06 00:00:00,39.93,121.76,19.49,52.67,40.11,24.00,23.52,1.48,41.17,8.53,35.76,NA,NA,7.19,20.66,NA,39.28,0.72,191.74,NA,NA,129.47,NA,NA
2018-04-07 00:00:00,28.11,105.78,3.07,27.18,14.26,10.42,14.23,0.78,54.99,3.74,18.01,NA,NA,2.50,8.58,NA,31.92,1.10,204.27,NA,NA,134.36,NA,NA
2018-04-08 00:00:00,57.78,62.44,2.99,24.04,12.44,11.02,16.73,0.64,57.25,2.45,8.55,NA,NA,1.20,4.17,NA,42.65,1.89,177.42,NA,NA,131.89,NA,NA
2018-04-09 00:00:00,33.28,64.81,4.38,31.50,16.84,12.27,13.88,0.74,44.95,3.88,15.11,NA,NA,2.16,8.23,NA,44.57,2.26,186.45,NA,NA,171.33,NA,NA
2018-04-10 00:00:00,28.59,75.66,0.96,18.65,10.41,8.94,6.64,0.68,46.51,3.46,13.79,NA,NA,1.81,7.67,NA,50.59,1.89,171.85,NA,NA,157.89,NA,NA
2018-04-11 00:00:00,28.81,70.18,6.49,37.27,22.40,24.51,9.93,1.11,36.26,4.84,21.16,NA,NA,3.37,12.06,NA,55.54,2.39,187.97,NA,NA,185.69,NA,NA
2018-04-12 00:00:00,28.39,72.69,10.12,45.85,28.86,24.41,31.84,1.17,52.43,5.39,23.83,NA,NA,4.35,13.35,NA,41.47,3.73,149.73,NA,NA,198.19,NA,NA
2018-04-13 00:00:00,29.88,86.56,6.50,40.18,24.64,20.85,10.18,1.04,39.65,7.05,30.68,NA,NA,5.04,15.91,NA,46.45,2.83,165.10,NA,NA,129.88,NA,NA
2018-04-14 00:00:00,24.49,53.62,1.48,19.68,8.15,13.31,9.98,0.51,55.27,1.77,7.03,NA,NA,0.55,3.27,NA,50.38,3.78,157.78,NA,NA,173.76,NA,NA
2018-04-15 00:00:00,21.04,46.80,1.64,16.60,6.56,13.62,6.41,0.58,47.45,1.28,5.02,NA,NA,0.38,2.26,NA,61.33,5.19,167.44,NA,NA,187.43,NA,NA
2018-04-16 00:00:00,26.30,65.94,12.25,40.86,28.35,24.54,5.42,1.63,34.29,7.40,31.57,NA,NA,5.40,17.86,NA,58.14,1.85,199.81,NA,NA,174.83,NA,NA
2018-04-17 00:00:00,40.16,123.12,15.67,55.32,39.20,28.85,13.49,1.67,39.19,12.19,56.02,NA,NA,10.78,31.88,NA,44.99,3.02,215.77,NA,NA,184.43,NA,NA
2018-04-18 00:00:00,26.82,78.53,2.59,31.56,15.20,12.77,31.86,0.74,37.46,2.66,16.02,NA,NA,1.61,5.96,NA,32.20,2.72,219.34,NA,NA,179.20,NA,NA
2018-04-19 00:00:00,40.84,27.68,20.88,57.88,44.81,23.79,25.56,1.95,45.66,9.20,39.81,NA,NA,7.39,22.41,NA,28.08,2.16,194.31,NA,NA,182.00,NA,NA
2018-04-20 00:00:00,35.70,17.70,4.55,29.38,16.52,10.67,11.78,0.78,40.98,4.21,17.13,NA,NA,2.20,9.14,NA,25.63,1.05,242.27,NA,NA,171.30,NA,NA
2018-04-21 00:00:00,23.62,15.74,2.88,19.89,8.26,6.39,6.56,0.49,35.02,2.17,9.85,NA,NA,1.09,4.94,NA,25.22,2.18,246.89,NA,NA,183.10,NA,NA
2018-04-22 00:00:00,36.75,23.65,7.22,31.31,18.92,10.71,8.59,1.05,43.25,3.88,14.90,NA,NA,2.03,7.34,NA,28.50,2.18,192.18,NA,NA,174.28,NA,NA
2018-04-23 00:00:00,54.88,18.87,9.96,47.16,28.94,16.16,44.15,1.50,46.09,6.67,25.76,NA,NA,4.17,13.70,NA,30.86,2.24,172.69,NA,NA,173.37,NA,NA
2018-04-24 00:00:00,67.26,16.29,9.77,44.88,29.75,14.46,19.27,1.20,42.28,7.07,28.48,NA,NA,4.67,15.56,NA,25.55,1.18,176.67,NA,NA,176.36,NA,NA
2018-04-25 00:00:00,51.52,15.95,15.30,60.18,41.56,21.17,19.80,1.49,37.90,10.09,41.26,NA,NA,7.72,24.10,NA,36.73,3.31,172.27,NA,NA,184.75,NA,NA
