Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2018-01-01 00:00:00,,132.02,,,48.0,,36.19,1.42,,,,,,,,,54.95,0.22,71.14,,0.0,153.65,,
2018-01-02 00:00:00,,127.05,,,47.52,,35.93,1.41,,,,,,,,,55.67,0.23,125.11,,0.0,143.89,,
2018-01-03 00:00:00,,141.18,,,49.06,,37.47,1.41,,,,,,,,,63.54,0.26,145.34,,0.0,139.42,,
2018-01-04 00:00:00,,119.29,,,53.52,,41.77,1.63,,,,,,,,,67.24,0.21,88.8,,0.0,163.54,,
2018-01-05 00:00:00,,129.28,,,52.61,,41.03,1.73,,,,,,,,,61.08,0.25,76.86,,0.0,130.5,,
2018-01-06 00:00:00,,92.53,,,48.31,,36.85,1.76,,,,,,,,,44.65,0.31,68.07,,0.0,143.7,,
2018-01-07 00:00:00,,86.11,,,47.09,,35.5,1.76,,,,,,,,,40.95,0.33,61.73,,0.0,144.77,,
2018-01-08 00:00:00,,114.88,,,50.87,,39.3,1.81,,,,,,,,,55.72,0.23,100.81,,0.0,132.61,,
2018-01-09 00:00:00,,149.08,,,55.27,,43.69,1.82,,,,,,,,,58.49,0.31,122.89,,0.0,133.14,,
2018-01-10 00:00:00,,163.12,,,57.23,,45.64,1.83,,,,,,,,,52.79,0.3,77.41,,0.0,131.93,,
2018-01-11 00:00:00,,134.23,,,55.51,,43.93,1.82,,,,,,,,,45.19,0.25,111.06,,0.0,133.87,,
2018-01-12 00:00:00,,129.56,,,58.26,,46.29,1.88,,,,,,,,,50.37,0.26,97.68,,0.0,94.83,,
2018-01-13 00:00:00,,123.58,,,58.14,,45.95,1.86,,,,,,,,,53.39,0.2,112.5,,0.0,120.28,,
2018-01-14 00:00:00,,134.45,,,60.54,,48.95,1.86,,,,,,,,,59.84,0.28,125.4,,0.0,119.17,,
2018-01-15 00:00:00,,145.15,,,61.2,,49.61,1.78,,,,,,,,,57.97,0.28,87.11,,0.0,117.22,,
2018-01-16 00:00:00,,126.61,,,62.7,,51.12,1.71,,,,,,,,,49.13,0.3,104.32,,0.0,123.4,,
2018-01-17 00:00:00,,102.18,,,61.69,,50.11,1.79,,,,,,,,,47.25,0.27,96.91,,0.0,165.83,,
2018-01-18 00:00:00,,73.96,,,53.09,,41.5,1.84,,,,,,,,,40.4,0.53,65.91,,0.0,178.84,,
2018-01-19 00:00:00,,75.5,,,53.13,,41.54,1.78,,,,,,,,,39.71,0.35,72.23,,0.0,158.01,,
2018-01-20 00:00:00,,98.92,,,52.55,,40.96,1.65,,,,,,,,,40.33,0.24,123.56,,0.0,166.85,,
2018-01-21 00:00:00,,102.25,,,55.51,,43.92,1.63,,,,,,,,,47.07,0.24,125.97,,0.0,161.73,,
2018-01-22 00:00:00,,118.5,,,56.42,,44.83,1.57,,,,,,,,,52.61,0.21,133.56,,0.0,156.95,,
2018-01-23 00:00:00,,103.59,,,55.34,,43.75,1.5,,,,,,,,,60.39,0.34,68.19,,0.0,165.35,,
