Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2020-01-01 00:00:00,NA,40.56,NA,NA,33.14,NA,42.24,1.65,NA,NA,NA,NA,NA,NA,NA,NA,80.28,NA,146.33,NA,0.00,31.37,NA,NA
2020-01-02 00:00:00,NA,40.56,NA,NA,33.26,NA,42.90,1.75,NA,NA,NA,NA,NA,NA,NA,NA,81.28,NA,123.58,NA,0.00,31.50,NA,NA
2020-01-03 00:00:00,NA,40.56,NA,NA,33.24,NA,42.79,1.93,NA,NA,NA,NA,NA,NA,NA,NA,81.14,NA,130.13,NA,0.00,31.48,NA,NA
2020-01-04 00:00:00,NA,40.56,NA,NA,33.17,NA,42.38,2.01,NA,NA,NA,NA,NA,NA,NA,NA,80.46,NA,134.65,NA,0.00,31.40,NA,NA
2020-01-05 00:00:00,NA,40.56,NA,NA,33.42,NA,43.71,1.85,NA,NA,NA,NA,NA,NA,NA,NA,82.61,NA,157.38,NA,0.00,31.66,NA,NA
2020-01-06 00:00:00,NA,40.56,NA,NA,33.62,NA,44.79,1.76,NA,NA,NA,NA,NA,NA,NA,NA,84.20,NA,144.06,NA,0.00,31.85,NA,NA
2020-01-07 00:00:00,NA,40.56,NA,NA,33.64,NA,44.89,1.73,NA,NA,NA,NA,NA,NA,NA,NA,84.38,NA,188.44,NA,0.00,31.88,NA,NA
2020-01-08 00:00:00,NA,40.56,NA,NA,33.53,NA,44.30,1.71,NA,NA,NA,NA,NA,NA,NA,NA,83.53,NA,191.79,NA,0.00,31.77,NA,NA
2020-01-09 00:00:00,NA,40.56,NA,NA,33.33,NA,43.27,2.02,NA,NA,NA,NA,NA,NA,NA,NA,81.91,NA,142.14,NA,0.00,31.57,NA,NA
2020-01-10 00:00:00,NA,40.56,NA,NA,33.51,NA,44.21,2.17,NA,NA,NA,NA,NA,NA,NA,NA,83.40,NA,151.19,NA,0.00,31.76,NA,NA
2020-01-11 00:00:00,NA,40.56,NA,NA,33.71,NA,45.24,1.75,NA,NA,NA,NA,NA,NA,NA,NA,85.01,NA,168.46,NA,0.00,31.95,NA,NA
2020-01-12 00:00:00,NA,40.56,NA,NA,33.62,NA,44.77,1.65,NA,NA,NA,NA,NA,NA,NA,NA,84.19,NA,174.11,NA,0.00,31.85,NA,NA
2020-01-13 00:00:00,NA,40.56,NA,NA,33.54,NA,44.34,1.71,NA,NA,NA,NA,NA,NA,NA,NA,83.56,NA,154.31,NA,0.00,31.78,NA,NA
2020-01-14 00:00:00,NA,40.56,NA,NA,33.13,NA,42.21,1.96,NA,NA,NA,NA,NA,NA,NA,NA,80.15,NA,126.10,NA,0.00,31.36,NA,NA
2020-01-15 00:00:00,NA,40.56,NA,NA,33.25,NA,42.83,1.90,NA,NA,NA,NA,NA,NA,NA,NA,81.21,NA,119.53,NA,0.00,31.49,NA,NA
2020-01-16 00:00:00,NA,40.56,NA,NA,32.95,NA,41.23,2.11,NA,NA,NA,NA,NA,NA,NA,NA,78.61,NA,124.61,NA,0.00,31.17,NA,NA
2020-01-17 00:00:00,NA,40.56,NA,NA,32.86,NA,40.80,2.17,NA,NA,NA,NA,NA,NA,NA,NA,77.96,NA,149.89,NA,0.00,31.09,NA,NA
2020-01-18 00:00:00,NA,40.56,NA,NA,33.22,NA,42.65,2.20,NA,NA,NA,NA,NA,NA,NA,NA,80.92,NA,143.31,NA,0.00,31.45,NA,NA
2020-01-19 00:00:00,NA,40.56,NA,NA,33.50,NA,44.15,1.96,NA,NA,NA,NA,NA,NA,NA,NA,83.25,NA,122.40,NA,0.00,31.74,NA,NA
2020-01-20 00:00:00,NA,40.56,NA,NA,33.60,NA,44.70,1.82,NA,NA,NA,NA,NA,NA,NA,NA,84.20,NA,140.08,NA,0.00,31.85,NA,NA
2020-01-21 00:00:00,NA,40.56,NA,NA,33.54,NA,44.35,1.60,NA,NA,NA,NA,NA,NA,NA,NA,83.59,NA,134.09,NA,0.00,31.78,NA,NA
2020-01-22 00:00:00,NA,40.56,NA,NA,33.61,NA,44.71,1.67,NA,NA,NA,NA,NA,NA,NA,NA,84.14,NA,140.31,NA,0.00,31.85,NA,NA
2020-01-23 00:00:00,NA,40.56,NA,NA,33.86,NA,46.03,2.51,NA,NA,NA,NA,NA,NA,NA,NA,86.26,NA,153.50,NA,0.00,32.11,NA,NA
2020-01-24 00:00:00,NA,40.56,NA,NA,33.64,NA,44.86,1.90,NA,NA,NA,NA,NA,NA,NA,NA,84.39,NA,133.50,NA,0.00,31.88,NA,NA
2020-01-25 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2020-01-26 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2020-01-27 00:00:00,NA,40.56,NA,NA,34.13,NA,47.47,2.68,NA,NA,NA,NA,NA,NA,NA,NA,88.51,NA,22.38,NA,0.00,32.38,NA,NA
2020-01-28 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2020-01-29 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2020-01-30 00:00:00,NA,40.56,NA,NA,33.41,NA,43.68,1.85,NA,NA,NA,NA,NA,NA,NA,NA,82.51,NA,123.02,NA,0.00,31.65,NA,NA
