Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,20.39,34.78,2.78,6.15,8.9,9.01,62.24,0.12,,0.17,,,,0.14,,15.74,75.73,0.49,176.08,0.0,0.0,0.0,,
2024-01-02,10.75,18.43,2.79,6.19,8.95,9.01,61.67,0.12,,0.17,,,,0.14,,12.95,84.72,0.49,170.19,0.0,0.0,0.0,,
2024-01-03,29.1,61.17,2.84,6.12,8.96,9.01,62.44,0.12,1.18,0.17,,,,0.14,,18.33,63.6,0.5,178.65,0.0,0.0,0.0,,
2024-01-04,23.81,46.73,2.84,6.16,9.0,9.03,62.51,0.12,,0.16,,,,0.14,,14.64,75.95,0.54,172.92,0.0,0.0,0.0,,
2024-01-05,27.37,60.13,2.83,6.13,8.95,9.05,62.01,0.12,1.07,0.16,,,,0.14,,14.4,74.1,0.55,184.15,0.0,0.0,0.0,,
2024-01-06,21.64,42.9,2.82,6.15,8.96,9.04,62.19,0.12,,0.16,,,,0.14,,14.53,70.62,0.55,184.03,0.0,0.0,0.0,,
2024-01-07,24.6,43.64,2.85,6.12,8.97,9.02,62.32,0.12,,0.16,,,,0.14,,14.66,69.86,0.48,172.84,0.0,0.0,0.0,,
2024-01-08,25.33,48.96,2.84,6.12,8.96,9.04,62.37,0.12,,0.16,,,,0.14,,14.56,72.8,0.5,165.77,0.0,0.0,0.0,,
2024-01-09,29.56,68.79,2.83,6.12,8.95,9.05,62.44,0.12,,0.17,,,,0.14,,14.24,71.72,0.47,181.55,0.0,0.0,0.0,,
2024-01-10,27.7,55.2,2.84,6.1,8.95,9.03,62.94,0.12,,0.17,,,,0.14,,14.03,73.14,0.49,176.69,0.0,0.0,0.0,,
2024-01-11,22.96,43.6,2.84,6.12,8.96,9.02,63.44,0.12,,0.17,,,,0.14,,13.71,72.35,0.55,177.92,0.0,0.0,0.0,,
2024-01-12,22.93,43.66,2.82,6.14,8.96,9.04,65.45,0.12,23.09,0.17,,,,0.14,,14.1,71.31,0.56,177.88,0.0,0.0,0.0,,
2024-01-13,27.66,50.62,2.83,6.1,8.94,9.04,63.87,0.12,,0.16,,,,0.14,,14.24,72.07,0.54,198.26,0.0,0.0,0.0,,
2024-01-14,27.78,64.31,2.83,6.14,8.97,9.03,62.99,0.12,,0.17,,,,0.14,,14.62,72.15,0.58,193.15,0.0,0.0,0.0,,
2024-01-15,19.47,44.33,2.86,6.11,8.97,9.04,63.12,0.12,17.92,0.17,,,,0.14,,15.36,71.66,0.55,186.61,0.0,0.0,0.0,,
