Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,6.65,38.56,1.36,0.29,1.94,5.20,3.06,0.31,5.11,1.37,NA,NA,NA,0.06,0.11,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-02 00:00:00,3.34,27.54,3.32,0.51,2.65,6.64,3.23,0.22,5.51,7.84,NA,NA,NA,1.66,2.07,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-03 00:00:00,2.00,19.79,1.45,0.46,2.03,5.94,3.81,0.21,5.35,5.38,NA,NA,NA,1.33,1.35,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-04 00:00:00,1.68,16.88,1.52,0.53,2.23,5.28,4.15,0.24,3.78,5.20,NA,NA,NA,2.28,2.18,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-05 00:00:00,NA,12.34,1.51,0.67,2.34,4.63,3.86,0.26,3.88,2.31,NA,NA,NA,2.12,1.80,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-06 00:00:00,0.97,11.66,1.49,1.00,2.52,5.17,4.06,0.23,4.51,2.16,NA,NA,NA,1.32,1.56,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-07 00:00:00,0.97,20.05,1.63,1.37,3.09,5.34,3.98,0.31,4.06,4.62,NA,NA,NA,2.43,2.62,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-08 00:00:00,2.00,16.05,1.54,0.63,2.37,5.51,4.15,0.30,3.38,3.35,NA,NA,NA,1.92,2.24,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-09 00:00:00,5.14,18.42,1.40,0.27,1.88,4.90,4.41,0.24,3.83,4.66,NA,NA,NA,1.64,1.48,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-10 00:00:00,3.06,29.92,1.44,0.87,2.56,4.07,3.97,0.31,4.45,3.85,NA,NA,NA,1.24,1.53,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-11 00:00:00,2.71,32.87,1.46,0.60,2.30,4.29,4.16,0.33,4.13,5.38,NA,NA,NA,2.22,2.56,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-12 00:00:00,4.54,32.30,1.44,0.59,2.38,2.94,3.15,0.28,5.00,3.72,NA,NA,NA,1.47,1.48,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-13 00:00:00,1.97,18.10,1.40,1.00,2.55,4.20,4.06,0.24,7.92,2.65,NA,NA,NA,0.72,0.71,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-14 00:00:00,2.89,28.25,1.54,0.94,2.73,6.86,4.49,0.32,5.00,1.29,NA,NA,NA,0.29,0.30,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-15 00:00:00,2.54,25.88,1.44,0.52,2.16,7.53,4.44,0.26,4.81,2.31,NA,NA,NA,0.56,0.63,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-16 00:00:00,2.99,25.15,1.40,0.30,1.93,6.10,5.11,0.24,5.11,0.48,NA,NA,NA,0.34,0.45,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-17 00:00:00,1.60,26.45,1.62,1.17,2.88,4.48,4.27,0.31,4.27,0.66,NA,NA,NA,0.21,0.41,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-18 00:00:00,1.60,23.96,1.55,0.72,2.48,2.86,4.20,0.27,3.94,0.60,NA,NA,NA,0.30,0.42,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-19 00:00:00,1.40,22.00,1.41,0.53,2.22,2.92,4.43,0.24,5.03,1.06,NA,NA,NA,0.27,0.30,NA,NA,NA,NA,NA,0.00,NA,NA,NA
