Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2021-01-01 00:00:00,20.97,36.79,2.15,2.70,5.18,2.03,16.56,0.35,10.06,0.86,NA,NA,NA,0.24,0.68,NA,NA,NA,NA,0.00,0.00,NA,NA,NA
2021-01-02 00:00:00,20.99,44.24,2.15,2.70,5.19,2.02,16.57,0.34,9.75,0.72,NA,NA,NA,0.22,0.66,NA,NA,NA,NA,0.00,0.00,NA,NA,NA
2021-01-03 00:00:00,24.24,42.87,2.13,2.70,5.17,2.03,16.58,0.35,10.03,0.71,NA,NA,NA,0.18,0.54,NA,NA,NA,NA,0.00,0.00,NA,NA,NA
2021-01-04 00:00:00,30.15,62.35,2.15,2.71,5.19,2.02,16.94,0.45,8.87,1.05,NA,NA,NA,0.24,0.75,NA,NA,NA,NA,0.00,0.00,NA,NA,NA
2021-01-05 00:00:00,33.11,69.36,2.14,2.70,5.17,2.06,17.08,0.44,9.62,1.03,NA,NA,NA,0.27,0.81,NA,NA,NA,NA,0.00,0.00,NA,NA,NA
2021-01-06 00:00:00,32.80,69.75,2.12,2.69,5.14,2.00,16.92,0.41,10.59,0.94,NA,NA,NA,0.25,0.74,NA,NA,NA,NA,0.00,0.00,NA,NA,NA
2021-01-07 00:00:00,43.64,86.95,2.11,2.76,5.19,2.03,17.46,0.51,13.15,1.26,NA,NA,NA,0.29,0.90,16.16,67.03,1.23,99.86,0.00,0.00,211.64,850.57,NA
2021-01-08 00:00:00,49.72,92.11,2.12,2.72,5.17,2.03,17.16,0.51,10.97,1.33,NA,NA,NA,0.33,0.94,14.30,74.02,1.28,162.06,0.00,0.00,171.64,850.62,NA
2021-01-09 00:00:00,54.84,103.96,2.14,2.71,5.18,2.01,16.94,0.45,10.44,1.10,NA,NA,NA,0.27,0.73,14.09,69.37,1.26,192.28,0.00,0.00,205.74,849.95,NA
2021-01-10 00:00:00,65.81,106.99,2.13,2.69,5.15,2.02,17.06,0.50,11.12,1.26,NA,NA,NA,0.21,0.62,13.88,63.37,0.94,195.99,0.00,0.00,200.01,849.82,NA
2021-01-11 00:00:00,108.50,201.38,2.12,2.74,5.19,2.01,17.40,0.65,12.97,1.79,NA,NA,NA,0.30,0.84,13.05,78.23,1.05,168.96,0.00,0.00,150.39,851.39,NA
2021-01-12 00:00:00,88.64,218.67,2.14,2.71,5.18,2.03,17.46,0.64,8.60,1.57,NA,NA,NA,0.31,0.94,12.15,77.74,1.01,215.48,0.00,0.00,132.67,851.23,NA
2021-01-13 00:00:00,66.20,194.81,5.07,2.68,7.08,3.41,16.84,0.56,7.70,1.22,NA,NA,NA,0.25,0.77,11.28,70.73,1.02,186.57,0.00,0.00,194.10,851.14,NA
2021-01-14 00:00:00,72.03,159.43,2.15,2.69,5.17,2.04,17.11,0.58,8.51,1.33,NA,NA,NA,0.26,0.82,11.31,73.45,0.90,192.11,0.00,0.00,157.53,851.22,NA
2021-01-15 00:00:00,73.55,161.22,2.16,2.69,5.18,2.02,17.27,0.62,10.69,1.40,NA,NA,NA,0.26,0.82,12.05,72.61,1.06,196.74,0.00,0.00,167.95,849.49,NA
2021-01-16 00:00:00,82.25,148.37,2.16,2.65,5.15,2.02,17.24,0.64,9.81,1.53,NA,NA,NA,0.27,0.82,10.84,80.93,1.06,179.38,0.00,0.00,94.00,849.07,NA
2021-01-17 00:00:00,52.35,96.39,2.16,2.66,5.16,2.02,17.14,0.49,9.28,1.10,NA,NA,NA,0.19,0.59,12.75,69.27,1.46,163.69,0.00,0.00,169.98,852.30,NA
