Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,61.78,82.08,2.05,13.95,9.08,10.67,5.34,1.06,51.41,0.85,5.48,,,,,27.31,77.09,1.95,77.39,0.0,0.0,100.2,760.08,
2024-01-02,48.28,70.73,2.52,14.87,9.96,9.55,3.64,1.04,45.99,0.88,7.72,,,,,27.2,78.32,1.65,76.75,0.0,0.0,68.49,759.29,
2024-01-03,46.87,74.36,3.26,16.56,11.54,10.02,3.91,1.02,39.47,0.98,7.76,,,,,27.39,79.04,1.72,72.56,0.0,0.0,115.66,758.62,
2024-01-04,30.83,51.0,3.8,15.2,11.18,9.06,3.52,1.08,35.87,1.12,9.95,,,,,28.32,80.13,1.83,91.58,0.0,0.0,87.35,758.78,
2024-01-05,42.05,61.46,3.0,14.71,10.27,9.89,3.95,1.05,39.61,0.98,7.95,,,,,27.62,82.47,1.48,77.33,0.0,0.0,50.42,758.98,
2024-01-06,18.9,29.65,3.68,14.46,10.69,7.38,4.41,1.06,22.96,1.0,8.28,,,,,26.34,91.19,1.47,62.69,0.02,0.02,31.06,759.01,
2024-01-07,5.68,10.29,1.6,7.0,5.04,5.8,4.88,0.85,30.66,0.65,5.9,,,,,24.99,95.94,1.34,71.67,0.63,0.35,2.43,759.63,
2024-01-08,13.69,14.96,4.72,15.18,11.91,6.35,3.98,1.1,20.75,0.86,8.26,,,,,25.49,96.09,0.95,43.11,1.11,1.11,24.52,760.05,
2024-01-09,34.0,51.91,2.76,12.59,8.94,8.44,3.68,1.08,36.47,0.91,8.02,,,,,27.51,88.0,1.79,72.91,0.01,0.01,73.32,760.11,
2024-01-10,36.63,58.88,3.37,13.63,9.99,8.73,3.78,1.08,31.92,0.89,7.53,,,,,27.5,84.29,1.61,69.33,0.0,0.0,97.14,760.01,
2024-01-11,43.35,68.07,3.55,14.37,10.53,9.3,4.46,1.08,31.6,0.96,8.69,,,,,27.41,81.89,1.68,69.8,0.0,0.0,108.96,760.59,
