Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2019-01-01 00:00:00,44.46,260.57,3.90,7.99,11.89,27.45,9.02,1.70,5.76,2.42,NA,NA,NA,60.60,9.91,NA,85.67,0.48,216.56,0.00,0.00,227.26,NA,NA
2019-01-02 00:00:00,45.76,249.18,3.92,8.01,11.93,27.47,10.24,1.59,8.92,2.52,NA,NA,NA,62.60,10.24,NA,81.75,0.41,174.28,0.00,0.00,197.11,NA,NA
2019-01-03 00:00:00,38.68,184.84,3.83,8.03,11.82,27.44,7.06,1.18,5.78,2.51,NA,NA,NA,62.60,10.25,NA,89.65,0.82,245.76,0.00,0.00,187.40,NA,NA
2019-01-04 00:00:00,30.60,90.99,3.87,8.05,11.92,27.46,12.05,1.04,6.39,2.51,NA,NA,NA,62.62,10.26,NA,84.55,0.56,205.35,0.00,0.00,194.82,NA,NA
2019-01-05 00:00:00,31.94,64.46,3.94,8.04,11.98,27.47,9.27,1.06,7.04,2.53,NA,NA,NA,62.65,10.28,NA,79.97,0.67,120.07,0.00,0.00,188.62,NA,NA
2019-01-06 00:00:00,16.90,64.38,3.94,8.06,11.99,27.46,7.24,0.64,8.05,2.45,NA,NA,NA,60.88,10.03,NA,89.97,0.46,202.00,0.04,3.00,154.57,NA,NA
2019-01-07 00:00:00,21.44,126.86,3.90,8.03,11.93,27.45,10.21,0.63,6.36,2.53,NA,NA,NA,62.69,10.31,NA,81.99,0.58,250.45,0.00,0.00,201.29,NA,NA
2019-01-08 00:00:00,18.15,73.29,3.97,8.00,11.97,27.47,9.76,0.68,9.55,2.47,NA,NA,NA,61.40,10.08,NA,78.66,1.00,253.88,0.00,0.00,214.34,NA,NA
2019-01-09 00:00:00,21.45,62.51,3.81,8.06,11.88,27.45,12.85,0.78,10.89,2.52,NA,NA,NA,62.66,10.29,NA,73.59,1.10,252.91,0.00,0.00,195.89,NA,NA
2019-01-10 00:00:00,24.60,178.81,3.88,8.11,11.98,27.43,10.71,1.14,8.41,2.52,NA,NA,NA,62.65,10.29,NA,81.00,0.52,226.33,0.00,0.00,188.63,NA,NA
2019-01-11 00:00:00,42.70,244.33,3.85,8.08,11.92,27.46,10.51,1.38,5.68,2.52,NA,NA,NA,62.66,10.29,NA,82.10,0.38,181.39,0.00,0.00,198.65,NA,NA
2019-01-12 00:00:00,41.60,205.10,12.82,24.71,23.73,31.89,10.97,0.98,6.06,2.52,NA,NA,NA,62.66,10.28,NA,75.12,0.42,192.28,0.00,0.00,198.96,NA,NA
2019-01-13 00:00:00,22.76,89.90,9.19,18.53,22.22,26.74,4.60,0.67,3.90,2.52,NA,NA,NA,62.67,10.30,NA,74.64,0.58,228.17,0.00,0.00,189.33,NA,NA
2019-01-14 00:00:00,17.21,46.20,11.61,19.32,25.80,27.68,4.95,0.52,4.07,2.52,NA,NA,NA,62.65,10.29,NA,67.07,1.27,254.55,0.00,0.00,192.77,NA,NA
2019-01-15 00:00:00,22.60,50.22,10.57,15.84,20.57,29.40,6.84,0.71,7.88,2.52,NA,NA,NA,62.65,10.30,NA,71.31,1.05,247.65,0.00,0.00,186.65,NA,NA
2019-01-16 00:00:00,37.06,50.03,6.51,14.75,13.53,25.93,8.35,1.31,13.72,2.52,NA,NA,NA,62.67,10.29,NA,79.46,0.40,164.55,0.00,0.00,210.02,NA,NA
2019-01-17 00:00:00,47.02,54.83,9.42,20.51,21.81,25.72,8.83,1.07,15.02,8.43,NA,NA,NA,36.61,10.30,NA,79.22,0.36,251.53,0.00,0.00,185.39,NA,NA
2019-01-18 00:00:00,62.46,113.07,11.74,21.13,27.47,26.57,5.72,0.87,11.09,9.95,NA,NA,NA,29.89,10.29,NA,80.93,0.56,232.90,0.00,0.00,191.46,NA,NA
2019-01-19 00:00:00,31.03,83.84,17.30,25.88,34.69,26.83,3.57,1.11,7.51,2.47,NA,NA,NA,61.38,10.09,NA,79.64,0.47,231.98,0.00,0.00,193.02,NA,NA
2019-01-20 00:00:00,36.23,95.97,35.59,38.63,61.12,28.27,4.04,1.39,7.11,2.52,NA,NA,NA,62.67,10.29,NA,88.53,0.19,155.97,0.00,0.00,158.48,NA,NA
2019-01-21 00:00:00,39.38,98.76,36.77,41.32,65.60,28.89,6.30,0.87,17.89,2.52,NA,NA,NA,62.67,10.30,NA,81.90,0.69,155.59,0.10,9.00,179.14,NA,NA
2019-01-22 00:00:00,5.84,59.78,23.87,36.42,51.47,28.47,1.37,0.38,22.26,2.48,NA,NA,NA,61.63,10.13,NA,92.66,0.92,119.18,0.22,20.50,162.83,NA,NA
2019-01-23 00:00:00,15.30,60.12,25.56,35.54,51.16,28.64,2.85,0.65,14.17,2.52,NA,NA,NA,62.66,10.31,NA,82.72,0.46,244.71,0.00,0.00,212.73,NA,NA
2019-01-24 00:00:00,19.71,60.76,29.49,42.34,59.50,28.92,3.31,0.45,17.33,2.51,NA,NA,NA,62.67,10.30,NA,78.40,0.76,253.64,0.00,0.00,202.15,NA,NA
2019-01-25 00:00:00,17.21,66.43,22.75,37.07,50.92,28.81,5.50,0.52,19.24,2.47,NA,NA,NA,61.35,10.08,NA,74.45,0.57,214.58,0.00,0.00,200.20,NA,NA
2019-01-26 00:00:00,19.38,59.49,13.20,27.43,36.53,27.89,5.70,0.50,21.83,2.47,NA,NA,NA,61.40,10.09,NA,70.28,0.84,251.04,0.00,0.00,216.86,NA,NA
2019-01-27 00:00:00,17.21,67.26,29.56,42.04,58.89,28.76,4.49,0.50,24.20,2.46,NA,NA,NA,61.33,10.07,NA,64.02,1.08,251.99,0.00,0.00,221.47,NA,NA
2019-01-28 00:00:00,16.26,68.55,16.99,29.30,41.84,28.24,3.87,0.49,21.97,2.42,NA,NA,NA,60.10,9.88,NA,63.36,1.09,253.75,0.00,0.00,229.97,NA,NA
2019-01-29 00:00:00,17.84,62.98,28.04,52.86,66.52,26.66,2.17,0.54,20.13,2.52,NA,NA,NA,62.68,10.27,NA,76.04,0.60,239.29,0.00,0.00,126.44,NA,NA
2019-01-30 00:00:00,31.71,64.65,24.44,39.79,51.77,28.13,4.02,1.31,9.19,2.52,NA,NA,NA,62.66,10.29,NA,81.67,0.44,211.20,0.00,0.00,162.20,NA,NA
2019-01-31 00:00:00,37.50,69.25,31.45,42.60,60.29,29.16,5.07,0.99,11.33,2.52,NA,NA,NA,62.66,10.30,NA,79.81,0.65,157.31,0.00,0.00,193.27,NA,NA
