Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2021-01-01 00:00:00,59.34,122.19,2.64,22.85,25.49,32.66,6.13,0.61,64.15,1.11,1.33,NA,NA,1.42,NA,NA,46.72,0.53,160.35,0.00,0.00,NA,723.21,NA
2021-01-02 00:00:00,82.04,167.69,7.43,34.93,43.64,39.57,3.61,1.13,47.29,1.11,1.34,NA,NA,1.41,NA,NA,66.31,0.36,165.21,0.00,0.00,NA,722.03,NA
2021-01-03 00:00:00,81.10,160.07,8.53,32.80,41.32,45.09,4.51,1.10,39.35,1.13,1.35,NA,NA,1.41,NA,NA,73.18,0.53,173.59,0.00,0.00,NA,720.95,NA
2021-01-04 00:00:00,64.67,117.02,2.76,15.83,18.58,43.13,3.64,0.73,60.61,1.13,1.34,NA,NA,1.43,NA,NA,78.80,1.05,107.38,0.23,22.00,NA,721.84,NA
2021-01-05 00:00:00,50.55,102.65,2.95,19.03,21.97,29.10,5.66,0.74,50.60,1.11,1.34,NA,NA,1.42,NA,NA,75.64,1.12,153.81,0.00,0.00,NA,721.93,NA
2021-01-06 00:00:00,46.19,95.55,1.98,14.31,16.29,19.64,6.35,0.72,53.21,1.11,1.35,NA,NA,1.42,NA,NA,74.43,0.81,268.66,0.00,0.00,NA,723.22,NA
2021-01-07 00:00:00,38.10,83.86,4.55,21.30,25.85,26.92,7.24,0.88,39.70,1.11,1.35,NA,NA,1.40,NA,NA,82.48,0.53,114.24,0.00,0.20,NA,722.65,NA
2021-01-08 00:00:00,43.50,97.97,4.18,20.58,24.75,34.74,7.99,0.75,22.38,1.11,1.39,NA,NA,1.47,NA,NA,95.68,0.47,119.99,0.00,0.20,NA,721.66,NA
2021-01-09 00:00:00,47.82,96.52,3.14,16.35,19.49,30.45,7.64,0.82,27.10,1.11,1.34,NA,NA,1.42,NA,NA,94.56,0.84,69.43,0.00,0.20,NA,722.99,NA
2021-01-10 00:00:00,45.78,75.48,2.82,19.02,21.83,28.50,8.12,0.64,55.63,1.10,1.33,NA,NA,1.40,NA,NA,64.71,0.58,117.10,0.00,0.00,NA,723.33,NA
2021-01-11 00:00:00,31.54,57.35,3.19,24.09,27.26,25.07,8.33,0.58,55.57,1.12,1.35,NA,NA,1.43,NA,NA,41.04,0.56,102.22,0.00,0.00,NA,724.16,NA
2021-01-12 00:00:00,34.49,71.31,13.46,32.34,46.12,27.30,7.66,0.13,34.46,1.11,1.34,NA,NA,1.43,NA,NA,44.57,0.35,73.03,0.00,0.00,NA,724.38,NA
2021-01-13 00:00:00,44.34,87.39,21.42,36.18,57.60,29.20,7.97,0.97,33.77,1.10,1.33,NA,NA,1.42,NA,NA,43.32,0.33,95.49,0.00,0.00,NA,723.38,NA
2021-01-14 00:00:00,42.15,80.21,15.12,37.69,52.80,32.57,9.89,1.11,34.69,1.12,1.36,NA,NA,1.41,NA,NA,42.53,0.33,100.11,0.00,0.00,NA,722.83,NA
2021-01-15 00:00:00,43.32,81.52,11.00,39.08,50.08,33.70,10.25,0.92,40.01,1.11,1.35,NA,NA,1.41,NA,NA,49.21,0.38,123.28,0.00,0.00,NA,721.61,NA
2021-01-16 00:00:00,42.30,85.42,10.55,41.49,52.04,34.84,8.79,1.00,39.11,1.13,1.34,NA,NA,1.42,NA,NA,53.12,0.25,123.37,0.00,0.00,NA,720.89,NA
2021-01-17 00:00:00,42.45,84.09,4.68,29.67,34.35,34.28,8.63,0.66,55.76,1.11,1.32,NA,NA,1.42,NA,NA,55.62,0.59,124.15,0.00,0.00,NA,720.87,NA
2021-01-18 00:00:00,70.50,137.00,4.00,31.12,35.12,31.76,9.36,1.27,53.17,1.11,1.33,NA,NA,1.43,NA,NA,70.06,0.58,109.60,0.00,0.00,NA,722.06,NA
2021-01-19 00:00:00,58.01,126.77,9.30,34.05,43.35,30.41,9.03,1.16,47.97,1.13,1.36,NA,NA,1.44,NA,NA,66.23,0.43,121.66,0.00,0.00,NA,722.09,NA
2021-01-20 00:00:00,39.72,101.42,11.76,34.24,45.99,26.89,7.67,1.11,44.34,1.12,1.36,NA,NA,1.41,NA,NA,51.76,0.39,171.19,0.00,0.00,NA,722.87,NA
2021-01-21 00:00:00,32.37,93.86,19.63,35.48,55.10,26.99,8.30,1.09,37.92,1.11,1.33,NA,NA,1.42,NA,NA,36.01,0.44,166.58,0.00,0.00,NA,722.30,NA
2021-01-22 00:00:00,35.79,91.67,9.65,39.17,48.82,30.56,9.24,0.90,41.44,1.11,1.34,NA,NA,1.44,NA,NA,38.62,0.44,128.47,0.00,0.00,NA,721.44,NA
2021-01-23 00:00:00,41.04,109.95,3.30,22.83,26.13,33.17,8.04,0.68,54.49,1.09,1.31,NA,NA,1.40,NA,NA,46.13,1.04,216.16,0.00,0.00,NA,720.69,NA
2021-01-24 00:00:00,60.90,113.93,1.70,13.92,15.61,25.76,7.75,0.60,75.98,1.14,1.43,NA,NA,1.50,NA,NA,28.99,0.97,133.02,0.00,0.00,NA,723.61,NA
2021-01-25 00:00:00,47.57,182.90,2.62,24.96,27.58,27.26,7.84,0.77,57.76,1.10,1.34,NA,NA,1.42,NA,NA,45.70,0.52,151.01,0.00,0.00,NA,724.78,NA
2021-01-26 00:00:00,45.32,119.74,5.31,29.72,35.03,27.06,8.23,0.79,52.29,1.12,1.33,NA,NA,1.41,NA,NA,42.63,0.36,114.95,0.00,0.00,NA,724.45,NA
2021-01-27 00:00:00,54.54,123.95,12.46,37.74,50.18,25.80,7.90,0.97,46.67,1.13,1.37,NA,NA,1.44,NA,NA,44.39,0.33,113.09,0.00,0.00,NA,724.27,NA
2021-01-28 00:00:00,57.93,113.07,19.46,43.16,62.62,22.20,7.83,1.12,31.90,1.12,1.33,NA,NA,1.42,NA,NA,45.89,0.33,119.80,0.00,0.00,NA,724.56,NA
2021-01-29 00:00:00,58.86,123.83,19.99,41.30,61.29,18.37,8.86,1.16,41.56,1.12,1.34,NA,NA,1.41,NA,NA,34.33,0.33,127.66,0.00,0.00,NA,725.26,NA
2021-01-30 00:00:00,53.66,114.14,24.67,45.23,69.90,17.08,9.44,1.07,39.28,0.64,41.75,NA,NA,1.68,NA,NA,30.48,0.33,150.78,0.00,0.00,NA,724.38,NA
2021-01-31 00:00:00,57.09,104.45,8.88,44.52,53.39,24.46,10.95,0.83,36.52,0.07,12.12,NA,NA,0.73,NA,NA,27.99,0.36,150.18,0.00,0.00,NA,724.10,NA
2021-02-01 00:00:00,44.91,126.59,18.57,52.71,71.27,23.17,14.69,1.40,36.88,0.10,6.83,NA,NA,1.59,NA,NA,31.59,0.41,128.95,0.00,0.00,NA,725.45,NA
2021-02-02 00:00:00,39.43,127.96,17.46,46.97,64.43,26.75,10.77,1.32,35.55,0.12,4.73,NA,NA,1.07,NA,NA,33.75,0.56,147.28,0.00,0.00,NA,724.36,NA
2021-02-03 00:00:00,48.84,112.13,19.00,46.28,65.27,26.49,10.56,1.21,33.16,0.11,3.66,NA,NA,0.91,NA,NA,33.09,0.46,179.40,0.00,0.00,NA,722.94,NA
2021-02-04 00:00:00,55.33,113.65,9.92,31.97,41.89,22.47,9.42,0.70,50.41,0.08,2.84,NA,NA,0.41,NA,NA,32.28,0.95,202.12,0.00,0.00,NA,722.97,NA
2021-02-05 00:00:00,52.74,94.07,2.38,22.17,24.53,24.93,8.34,0.72,57.17,0.08,2.10,NA,NA,0.15,NA,NA,47.25,0.66,157.13,0.00,0.00,NA,724.50,NA
2021-02-06 00:00:00,33.10,68.03,3.13,24.56,27.68,19.15,9.03,0.57,51.96,0.09,1.84,NA,NA,0.10,NA,NA,35.04,0.60,94.32,0.00,0.00,NA,725.52,NA
2021-02-07 00:00:00,47.16,102.66,17.22,38.28,55.50,18.99,9.97,1.04,38.79,0.21,1.64,NA,NA,0.46,NA,NA,36.90,0.31,98.47,0.00,0.00,NA,725.36,NA
2021-02-08 00:00:00,56.67,91.61,23.07,32.37,70.87,20.19,9.43,1.35,36.36,0.20,1.51,NA,NA,1.31,NA,NA,35.71,0.26,140.70,0.00,0.00,NA,725.07,NA
2021-02-09 00:00:00,52.55,119.74,20.60,65.17,77.00,20.29,7.20,1.15,31.27,0.18,1.34,NA,NA,0.94,NA,NA,32.32,0.50,151.73,0.00,0.00,NA,722.90,NA
2021-02-10 00:00:00,34.80,86.19,23.09,43.27,66.36,16.30,7.95,1.06,35.61,0.23,1.22,NA,NA,0.78,NA,NA,26.15,0.47,170.20,0.00,0.00,NA,721.85,NA
2021-02-11 00:00:00,54.06,104.59,11.81,38.30,50.10,18.52,8.04,0.99,48.18,0.23,1.04,NA,NA,0.50,NA,NA,26.11,0.36,192.43,0.00,0.00,NA,722.14,NA
2021-02-12 00:00:00,59.50,112.09,9.95,41.27,51.21,21.14,7.76,0.97,50.02,0.16,0.89,NA,NA,0.58,NA,NA,31.30,0.38,172.87,0.00,0.00,NA,722.70,NA
2021-02-13 00:00:00,53.66,125.34,3.45,39.13,42.58,21.88,8.17,0.78,53.02,0.11,0.74,NA,NA,0.46,NA,NA,33.10,0.43,145.21,0.00,0.00,NA,722.80,NA
2021-02-14 00:00:00,56.42,94.10,10.62,36.95,47.56,20.65,8.05,0.97,56.53,0.13,0.73,NA,NA,0.62,NA,NA,31.19,0.37,172.66,0.00,0.00,NA,722.44,NA
2021-02-15 00:00:00,63.19,133.45,25.58,53.48,79.07,17.12,9.92,1.37,33.60,0.17,0.78,NA,NA,1.25,NA,NA,33.23,0.43,142.80,0.00,0.00,NA,721.24,NA
2021-02-16 00:00:00,54.72,114.82,16.05,43.14,59.18,20.24,7.80,1.03,40.66,0.14,0.63,NA,NA,0.55,NA,NA,29.84,0.50,166.30,0.00,0.00,NA,720.86,NA
2021-02-17 00:00:00,54.18,154.67,12.60,33.62,46.23,21.99,7.09,0.94,44.70,0.20,0.59,NA,NA,0.47,NA,NA,26.22,0.44,165.67,0.00,0.00,NA,722.26,NA
2021-02-18 00:00:00,48.86,127.98,7.19,35.17,42.34,21.75,8.45,0.83,49.29,0.17,0.52,NA,NA,0.33,NA,NA,27.97,0.45,149.47,0.00,0.00,NA,724.02,NA
2021-02-19 00:00:00,44.91,94.36,7.35,37.48,44.79,21.62,7.41,0.78,53.51,0.13,0.46,NA,NA,0.35,NA,NA,29.92,0.47,129.83,0.00,0.00,NA,726.08,NA
2021-02-20 00:00:00,34.74,91.70,4.39,37.93,42.31,16.92,6.49,0.90,46.61,0.19,1.75,NA,NA,0.86,NA,NA,27.92,0.36,106.33,0.00,0.00,NA,726.07,NA
2021-02-21 00:00:00,40.51,101.64,16.08,43.55,59.64,15.94,7.15,1.08,47.02,0.19,0.86,NA,NA,0.35,NA,NA,26.61,0.30,144.71,0.00,0.00,NA,725.28,NA
2021-02-22 00:00:00,52.21,108.64,12.91,46.87,59.77,17.22,7.89,1.10,45.50,0.18,0.94,NA,NA,0.41,NA,NA,28.87,0.38,136.77,0.00,0.00,NA,724.12,NA
2021-02-23 00:00:00,42.36,101.71,15.79,47.04,62.83,15.22,7.17,1.09,38.79,0.15,0.99,NA,NA,0.58,NA,NA,27.33,0.63,131.19,0.00,0.00,NA,722.56,NA
2021-02-24 00:00:00,55.22,121.41,19.44,44.33,63.79,16.97,6.68,1.20,36.91,0.13,0.94,NA,NA,0.48,NA,NA,29.47,0.45,150.38,0.00,0.00,NA,721.12,NA
2021-02-25 00:00:00,29.35,74.35,12.91,25.52,38.43,19.44,6.98,0.80,46.13,0.06,1.84,NA,NA,0.33,NA,NA,26.97,1.01,225.91,0.00,0.00,NA,720.78,NA
2021-02-26 00:00:00,35.18,89.12,5.81,28.89,34.68,16.38,6.91,0.55,39.34,0.06,2.28,NA,NA,0.32,NA,NA,26.37,1.18,226.40,0.00,0.00,NA,719.28,NA
2021-02-27 00:00:00,48.81,104.96,3.62,21.63,25.25,17.06,7.55,0.66,50.19,3.46,5.76,NA,NA,1.03,NA,NA,24.45,1.26,256.14,0.00,0.00,NA,718.73,NA
2021-02-28 00:00:00,47.90,105.84,2.45,21.61,24.05,10.32,1.49,0.52,46.36,5.22,5.07,NA,NA,0.17,NA,NA,15.79,0.73,163.35,0.00,0.00,NA,720.22,NA
2021-03-01 00:00:00,41.16,86.57,1.25,18.13,19.37,12.15,4.40,0.50,60.84,6.82,5.05,NA,NA,0.15,NA,NA,16.49,0.66,139.02,0.00,0.00,NA,722.70,NA
2021-03-02 00:00:00,47.14,87.45,10.65,27.32,37.96,11.14,6.47,0.74,55.58,14.84,10.01,NA,NA,0.76,NA,NA,17.04,0.52,159.57,0.00,0.00,NA,723.98,NA
2021-03-03 00:00:00,53.60,110.63,11.67,38.57,50.22,10.61,8.02,0.93,44.29,7.69,15.96,NA,NA,1.95,NA,NA,17.51,0.44,130.61,0.00,0.00,NA,722.18,NA
2021-03-04 00:00:00,57.03,142.64,16.80,37.39,54.18,11.64,7.33,0.94,33.36,1.65,16.97,NA,NA,2.52,NA,NA,19.18,0.59,148.22,0.00,0.00,NA,721.46,NA
2021-03-05 00:00:00,38.07,85.12,9.92,21.87,31.67,20.52,7.02,0.66,60.12,0.82,7.67,NA,NA,0.56,NA,NA,11.47,1.15,199.54,0.00,0.00,NA,722.09,NA
2021-03-06 00:00:00,38.21,112.03,5.84,31.84,37.68,14.34,8.57,0.65,38.68,2.74,12.41,NA,NA,0.96,NA,NA,17.97,0.87,173.65,0.00,0.00,NA,721.15,NA
2021-03-07 00:00:00,33.68,85.20,1.69,14.81,16.49,15.95,8.19,0.43,56.91,3.02,3.83,NA,NA,0.15,NA,NA,12.15,1.60,221.36,0.00,0.00,NA,719.33,NA
2021-03-08 00:00:00,36.08,121.00,2.92,24.00,26.92,20.24,8.10,0.56,43.65,2.51,3.87,NA,NA,0.18,NA,NA,24.67,1.39,231.55,0.00,0.00,NA,720.24,NA
2021-03-09 00:00:00,33.42,101.91,2.82,28.70,31.50,15.08,8.48,0.64,43.76,4.32,6.54,NA,NA,0.48,NA,NA,23.14,0.87,185.67,0.00,0.00,NA,721.15,NA
2021-03-10 00:00:00,41.42,127.74,12.45,40.20,52.65,15.66,8.95,1.01,39.28,7.90,9.16,NA,NA,1.13,NA,NA,27.68,0.42,186.95,0.00,0.00,NA,721.61,NA
2021-03-11 00:00:00,34.63,97.91,1.71,20.00,21.69,16.92,8.44,0.40,64.28,4.44,5.63,NA,NA,0.28,NA,NA,23.94,0.78,131.07,0.00,0.20,NA,721.60,NA
2021-03-12 00:00:00,33.10,71.74,2.96,26.58,29.22,21.29,9.11,0.59,47.69,2.97,3.65,NA,NA,0.34,NA,NA,31.90,0.75,177.62,0.00,0.00,NA,722.43,NA
2021-03-13 00:00:00,26.03,59.35,3.28,24.40,27.70,21.71,7.72,0.62,58.90,2.88,4.48,NA,NA,0.37,NA,NA,31.96,0.67,186.52,0.00,0.00,NA,723.62,NA
2021-03-14 00:00:00,35.66,98.01,10.81,33.50,44.29,15.96,10.52,0.63,46.98,7.96,8.59,NA,NA,0.67,NA,NA,25.18,0.58,151.90,0.00,0.00,NA,721.82,NA
2021-03-15 00:00:00,36.06,98.78,10.56,29.64,40.09,13.56,7.35,0.64,46.90,6.69,8.46,NA,NA,0.80,NA,NA,23.36,0.49,160.05,0.00,0.00,NA,721.23,NA
2021-03-16 00:00:00,43.45,144.90,14.06,32.74,46.79,13.36,9.00,0.72,41.08,6.98,9.23,NA,NA,1.08,NA,NA,24.01,0.49,146.73,0.00,0.00,NA,721.46,NA
2021-03-17 00:00:00,48.93,149.16,13.13,34.21,46.65,18.05,9.65,0.89,32.72,7.06,12.60,NA,NA,1.27,NA,NA,19.89,0.62,160.81,0.00,0.00,NA,720.29,NA
2021-03-18 00:00:00,52.71,139.46,6.28,24.97,31.21,34.91,8.66,0.58,60.36,4.16,5.41,NA,NA,0.55,NA,NA,24.09,0.90,103.97,0.00,0.00,NA,720.01,NA
2021-03-19 00:00:00,22.93,61.91,1.41,17.00,18.38,18.60,4.99,0.58,76.68,2.93,4.19,NA,NA,1.93,NA,NA,26.75,0.78,132.27,0.00,0.00,NA,720.79,NA
2021-03-20 00:00:00,47.62,88.70,5.23,28.78,33.96,12.32,5.74,0.77,46.06,5.05,5.98,NA,NA,0.48,NA,NA,22.52,0.48,178.17,0.00,0.00,NA,720.17,NA
2021-03-21 00:00:00,62.36,118.79,9.57,40.36,49.93,12.82,7.65,0.92,39.07,6.13,8.44,NA,NA,0.86,NA,NA,21.51,0.53,161.32,0.00,0.00,NA,719.22,NA
2021-03-22 00:00:00,205.54,277.16,3.29,21.69,24.88,25.70,9.38,0.52,45.05,4.02,3.34,NA,NA,0.57,NA,NA,29.25,0.89,186.32,0.02,2.20,NA,721.19,NA
2021-03-23 00:00:00,43.24,79.61,3.08,19.42,22.23,32.08,13.05,0.64,29.99,6.78,1.47,NA,NA,0.39,NA,NA,35.50,0.78,189.47,0.01,1.40,NA,722.20,NA
2021-03-24 00:00:00,38.64,81.14,3.30,72.69,75.94,32.62,11.37,0.47,51.60,2.14,2.21,NA,NA,0.17,NA,NA,29.86,0.99,152.99,0.00,0.00,NA,723.49,NA
2021-03-25 00:00:00,34.03,85.16,10.25,76.52,86.78,30.69,8.57,0.66,49.37,3.86,4.40,NA,NA,0.35,NA,NA,28.48,0.76,116.21,0.00,0.00,NA,723.72,NA
2021-03-26 00:00:00,33.77,97.31,13.75,37.69,51.44,17.87,8.20,0.80,39.10,6.34,7.13,NA,NA,0.83,NA,NA,28.19,0.64,156.75,0.00,0.00,NA,722.37,NA
2021-03-27 00:00:00,46.53,132.78,18.11,50.28,68.39,19.52,8.68,0.93,32.24,6.65,11.80,NA,NA,1.30,NA,NA,24.20,0.70,142.07,0.00,0.00,NA,720.54,NA
2021-03-28 00:00:00,50.70,110.96,9.67,38.85,48.59,20.42,9.43,0.93,49.20,7.73,8.23,NA,NA,0.90,NA,NA,12.57,0.82,173.96,0.00,0.00,NA,718.97,NA
2021-03-29 00:00:00,37.75,91.43,1.31,19.37,20.65,21.20,11.44,0.26,63.08,1.73,2.46,NA,NA,0.07,NA,NA,5.44,1.89,230.53,0.00,0.00,NA,717.77,NA
2021-03-30 00:00:00,153.14,379.67,1.54,17.43,18.93,22.12,7.23,0.19,56.73,1.05,1.74,NA,NA,0.02,NA,NA,18.28,2.30,240.03,0.00,0.00,NA,716.22,NA
2021-03-31 00:00:00,130.00,186.22,1.33,18.48,19.78,15.55,5.90,0.33,77.14,4.82,4.45,NA,NA,4.33,NA,NA,21.98,1.49,234.04,0.00,0.00,NA,715.95,NA
2021-04-01 00:00:00,34.98,88.34,8.15,33.17,41.31,14.27,4.84,0.67,58.25,16.66,10.66,NA,NA,0.80,NA,NA,26.66,0.75,163.70,0.00,0.00,NA,716.90,NA
2021-04-02 00:00:00,35.47,91.96,2.23,27.47,29.66,16.29,6.42,0.58,71.91,9.61,7.10,NA,NA,0.27,NA,NA,26.52,0.62,125.32,0.00,0.00,NA,717.87,NA
2021-04-03 00:00:00,37.62,88.63,5.44,33.97,39.45,14.52,6.43,0.72,66.47,8.31,10.65,NA,NA,0.88,NA,NA,28.04,0.78,136.10,0.00,0.00,NA,719.52,NA
2021-04-04 00:00:00,38.94,96.50,13.17,40.72,53.86,16.86,8.06,0.88,50.32,7.42,16.38,NA,NA,1.75,NA,NA,33.06,0.52,116.62,0.00,0.00,NA,720.33,NA
