Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,129.58,275.73,7.15,16.2,22.65,44.37,2.77,1.29,12.6,8.95,0.19,,,46.93,0.35,,73.75,0.89,222.81,0.0,0.0,32.96,753.45,
2024-01-02,102.35,219.57,21.53,20.6,41.61,54.02,7.75,1.21,10.45,6.5,0.13,,,51.32,0.3,,71.5,0.87,272.02,0.0,0.0,37.91,752.8,
2024-01-03,96.99,236.84,48.08,27.4,75.44,93.67,4.5,1.33,6.05,10.61,0.46,,,60.68,0.45,,84.02,0.98,195.78,0.0,0.0,23.04,752.43,
2024-01-04,110.4,239.14,50.29,25.58,75.88,97.69,2.91,0.41,6.46,9.2,0.27,,,66.37,0.69,,84.92,1.2,287.9,0.0,0.0,17.81,752.87,
2024-01-05,102.11,203.14,22.52,22.4,44.64,66.5,4.24,0.8,6.87,6.69,0.29,,,36.73,0.34,,81.52,0.79,221.29,0.0,0.0,17.41,752.68,
2024-01-06,94.9,189.22,23.55,22.71,46.25,54.19,3.71,0.98,6.38,8.61,0.43,,,73.68,0.54,,73.22,0.94,267.61,0.0,0.0,21.05,754.29,
2024-01-07,86.51,175.77,40.36,25.89,66.25,81.7,5.17,1.05,6.35,8.68,0.23,,,62.88,0.47,,72.0,0.9,259.42,0.0,0.0,26.14,754.83,
2024-01-08,152.27,288.14,29.44,20.5,49.6,72.07,3.54,1.06,6.98,18.33,0.89,,,46.49,0.26,,85.07,0.5,160.15,0.0,0.0,22.31,754.7,
2024-01-09,80.96,147.27,28.45,25.77,54.23,68.64,6.3,1.52,6.18,8.55,0.41,,,63.48,0.79,,80.99,1.36,275.0,0.0,0.0,24.92,754.82,
2024-01-10,96.43,198.18,40.85,27.92,68.74,84.83,4.03,0.48,6.31,8.15,0.23,,,87.03,1.2,,78.73,1.62,288.45,0.0,0.0,47.22,753.54,
2024-01-11,125.86,223.95,42.45,30.02,72.39,103.29,6.57,1.53,6.4,7.03,7.14,,,42.2,1.76,,75.75,1.17,282.35,0.0,0.0,45.07,753.79,
2024-01-12,111.09,206.32,19.68,24.03,43.34,59.61,7.96,1.26,6.68,3.92,17.08,,,1.71,1.84,,58.44,0.88,222.65,0.0,0.0,66.39,752.62,
2024-01-13,178.79,367.62,27.65,25.2,52.9,86.78,3.83,1.35,20.11,7.8,20.63,,,3.63,6.74,,70.92,0.56,149.15,0.0,0.0,45.52,751.71,
2024-01-14,164.38,302.03,30.93,21.42,52.35,88.88,6.52,2.57,9.8,8.44,25.89,,,1.6,3.21,,76.77,0.71,244.41,0.0,0.0,61.44,752.18,
2024-01-15,107.59,199.27,17.64,28.43,46.01,73.32,5.09,0.87,6.51,4.71,4.33,,,12.87,0.03,,65.89,0.85,212.67,0.0,0.0,60.35,751.52,
2024-01-16,195.46,320.04,9.35,24.08,32.95,60.36,8.33,2.21,7.82,6.61,0.18,,,14.37,0.03,,78.2,0.71,113.94,0.0,0.0,51.35,749.46,
2024-01-17,120.06,189.94,6.37,18.27,23.26,67.78,7.63,1.53,7.3,3.92,0.01,,,12.68,,,81.87,0.71,122.78,0.0,0.0,43.36,749.83,
2024-01-18,80.02,125.05,7.54,11.09,13.08,56.89,9.43,1.92,6.0,3.42,0.02,,,0.27,,,84.19,0.63,120.16,0.0,0.0,34.83,751.7,
2024-01-19,91.43,146.34,4.12,13.0,13.46,47.06,9.77,1.02,6.3,3.41,0.04,,,0.53,,,85.89,0.66,122.31,0.0,0.0,24.84,753.4,
2024-01-20,130.85,207.83,14.67,11.05,25.23,69.75,6.2,1.49,6.93,3.87,0.1,,,24.99,0.04,,80.33,0.61,123.8,0.0,0.0,29.95,753.78,
2024-01-21,134.56,230.74,27.55,15.85,43.31,65.91,10.09,2.11,6.24,5.26,0.14,,,35.47,0.12,,82.6,1.16,281.92,0.0,0.0,37.37,753.23,
2024-01-22,146.66,235.83,6.18,13.42,18.21,42.95,6.09,0.82,6.49,5.55,0.07,,,9.73,0.07,,84.92,0.68,149.59,0.0,0.0,26.06,754.08,
2024-01-23,114.94,214.51,7.5,18.83,24.87,41.81,11.96,1.77,6.99,5.28,0.13,,,9.85,0.02,,79.72,0.69,181.7,0.0,0.0,40.38,752.91,
2024-01-24,181.09,301.66,21.5,23.46,44.94,64.02,11.54,1.35,6.21,6.45,0.28,,,13.96,1.02,,85.23,0.78,231.39,0.0,0.0,19.39,753.16,
2024-01-25,146.62,203.4,15.84,19.53,35.01,53.04,8.67,1.42,6.47,6.5,0.31,,,13.78,3.08,,80.13,0.62,154.61,0.0,0.0,38.5,755.04,
2024-01-26,150.28,219.64,15.58,16.78,32.07,62.73,13.28,2.21,7.06,8.75,0.17,,,12.67,3.6,,73.47,0.52,153.94,0.0,0.0,51.04,755.74,
2024-01-27,118.17,181.54,37.11,27.28,64.33,79.98,13.64,1.63,7.68,5.51,0.11,,,24.62,2.08,,51.94,0.98,211.92,0.0,0.0,62.39,754.21,
2024-01-28,169.29,254.13,19.68,18.11,37.49,70.44,9.42,0.62,3.07,7.45,0.28,,,15.94,4.17,,60.62,0.57,131.55,0.0,0.0,23.7,752.9,
2024-01-29,156.9,236.28,9.78,17.91,27.24,54.03,7.2,0.74,6.4,4.93,0.16,,,22.14,1.96,,78.4,0.91,207.09,0.0,0.0,40.36,752.64,
2024-01-30,122.23,197.15,24.35,20.88,45.22,67.27,11.49,2.27,6.39,5.84,0.14,,,17.51,1.24,,80.22,0.83,237.39,0.0,0.0,40.1,751.85,
2024-01-31,154.41,243.79,20.34,19.76,39.82,67.24,10.83,1.58,6.94,7.49,0.35,,,17.22,1.94,,83.05,0.88,110.02,0.0,0.0,37.95,750.53,
2024-02-01,56.44,78.56,8.43,11.4,19.65,61.58,11.54,1.52,2.72,1.92,0.0,,,2.23,0.09,,85.45,0.97,115.91,0.0,0.0,23.33,750.6,
2024-02-02,86.74,132.79,33.2,17.35,50.43,83.16,8.57,0.43,6.35,3.64,0.14,,,23.45,1.17,,85.63,0.92,231.48,0.0,0.0,37.2,754.31,
2024-02-03,90.58,154.88,22.3,16.8,39.07,61.03,10.32,1.57,6.39,3.12,0.14,,,14.96,3.74,,54.7,0.74,227.56,0.0,0.0,61.51,752.75,
2024-02-04,79.79,122.51,12.51,9.75,22.1,64.64,11.29,1.18,6.39,2.54,0.07,,,6.78,0.99,,75.21,0.68,140.81,0.0,0.0,31.11,751.32,
2024-02-05,63.94,103.91,8.32,13.7,21.38,38.83,6.95,0.46,6.38,0.67,0.38,,,97.53,1.58,,73.59,1.31,278.02,0.0,0.0,49.35,752.74,
2024-02-06,89.94,155.36,21.61,21.72,43.24,51.14,12.24,1.34,11.1,0.37,0.63,,,80.09,0.72,,59.38,1.25,291.16,0.0,0.0,83.83,754.61,
2024-02-07,107.4,194.4,27.97,25.24,52.95,60.97,7.53,0.25,11.18,2.65,0.58,,,36.01,0.69,,48.42,1.49,283.76,0.0,0.0,68.53,755.45,
2024-02-08,63.83,137.14,31.22,30.36,61.55,65.99,9.87,0.9,11.19,2.71,0.56,,,20.7,0.36,,46.47,2.0,273.87,0.0,0.0,76.52,753.85,
2024-02-09,83.93,151.73,22.05,22.64,44.22,57.43,13.21,0.83,11.16,2.81,0.89,,,8.73,0.74,,32.63,0.94,219.01,0.0,0.0,85.27,753.73,
2024-02-10,136.63,243.42,30.95,27.71,58.44,75.58,7.37,0.66,11.35,2.58,4.14,,,1.92,1.36,,40.18,0.9,224.29,0.0,0.0,79.12,755.76,
2024-02-11,121.4,180.47,13.35,20.58,33.01,60.95,12.96,1.45,10.87,2.59,4.11,,,1.93,1.35,,58.37,0.77,239.88,0.0,0.0,72.73,755.38,
2024-02-12,122.63,194.42,11.51,22.96,33.54,60.74,22.55,1.26,17.85,3.61,4.06,,,5.54,1.47,,58.27,0.69,174.66,0.0,0.0,63.29,754.47,
2024-02-13,154.82,246.03,31.26,22.76,53.37,78.36,14.82,0.66,31.09,5.03,0.8,,,16.91,3.61,,62.08,0.87,211.23,0.0,0.0,55.62,753.56,
2024-02-14,154.13,239.46,26.71,29.83,54.84,65.23,9.9,1.07,29.4,5.49,0.5,,,78.36,2.36,,55.78,1.28,281.79,0.0,0.0,71.94,753.4,
2024-02-15,148.92,264.5,12.34,25.6,36.68,43.94,6.25,1.3,20.77,9.95,0.55,,,103.45,8.93,,50.56,0.99,276.53,0.0,0.0,75.32,754.39,
2024-02-16,103.37,237.28,12.91,26.24,38.42,50.12,16.44,2.57,11.3,9.49,0.67,,,118.64,9.73,,42.84,0.81,226.2,0.0,0.0,81.11,754.45,
2024-02-17,111.95,293.4,25.59,23.3,48.12,58.64,11.23,1.08,11.28,10.02,0.77,,,118.19,29.6,,39.74,0.91,228.81,0.0,0.0,81.36,750.31,
2024-02-18,90.99,232.73,14.88,17.01,31.19,61.2,11.86,2.63,11.36,8.23,0.46,,,70.36,19.36,,38.34,0.85,138.21,0.0,0.0,74.61,747.28,
2024-02-19,66.19,187.4,4.64,12.76,15.48,49.68,15.29,1.91,11.26,6.58,0.31,,,20.66,2.0,,46.38,1.17,120.06,0.0,0.0,70.8,745.24,
