Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2019-01-01 00:00:00,116.80,223.61,122.80,62.36,135.58,20.46,22.25,1.09,28.54,1.76,5.69,NA,NA,1.12,1.43,NA,38.08,0.51,145.75,NA,NA,99.52,763.94,0.15
2019-01-02 00:00:00,99.42,201.11,111.89,64.39,123.16,21.34,18.79,1.18,24.97,1.77,5.65,NA,NA,1.11,1.40,NA,37.36,0.53,147.59,NA,NA,111.43,763.81,0.07
2019-01-03 00:00:00,109.84,171.40,38.85,79.42,72.59,25.99,34.95,0.85,20.01,1.73,5.70,NA,NA,1.11,1.44,NA,35.69,0.61,185.49,NA,NA,113.11,765.04,-0.01
2019-01-04 00:00:00,87.10,153.65,34.62,69.28,59.14,25.58,54.86,0.82,17.15,1.86,5.77,NA,NA,1.10,1.50,NA,37.80,0.70,109.16,NA,NA,94.63,763.85,0.08
2019-01-05 00:00:00,67.49,134.12,3.96,49.68,28.69,23.20,12.92,0.83,32.59,1.81,5.94,NA,NA,1.14,1.42,NA,43.14,1.30,81.79,NA,NA,97.42,762.02,0.20
2019-01-06 00:00:00,109.52,164.11,3.25,50.04,28.07,23.23,11.41,0.79,24.27,1.60,5.38,NA,NA,1.08,1.34,NA,55.77,1.17,137.61,NA,NA,84.65,761.66,-0.22
2019-01-07 00:00:00,56.55,113.12,8.11,60.68,37.88,28.04,25.96,0.75,28.74,1.21,4.85,NA,NA,0.89,1.18,NA,53.71,0.21,87.52,NA,NA,98.14,763.64,0.10
2019-01-08 00:00:00,70.79,141.04,31.85,71.62,62.55,27.23,36.61,0.84,28.06,1.51,7.02,NA,NA,0.93,1.89,NA,48.37,0.22,144.48,NA,NA,113.33,762.69,0.13
2019-01-09 00:00:00,65.21,147.75,19.22,74.51,55.11,27.91,27.78,0.70,30.95,1.22,3.09,NA,NA,0.62,2.02,NA,44.34,0.18,200.14,NA,NA,163.77,762.48,-0.05
2019-01-10 00:00:00,73.50,161.25,23.99,67.89,54.59,27.67,13.67,1.29,35.14,1.47,4.10,NA,NA,0.74,2.50,NA,26.61,0.21,153.63,NA,NA,151.54,761.68,0.19
2019-01-11 00:00:00,66.64,145.80,11.79,59.39,40.28,29.30,13.82,0.93,33.20,1.13,3.33,NA,NA,0.62,2.21,NA,36.39,0.50,71.34,NA,NA,110.72,762.49,0.09
2019-01-12 00:00:00,94.28,160.86,25.14,54.93,47.24,28.73,24.21,0.85,41.76,1.28,3.42,NA,NA,0.64,2.16,NA,42.97,0.86,100.03,NA,NA,109.48,761.89,-0.14
2019-01-13 00:00:00,101.07,154.30,8.14,55.16,32.99,30.41,29.60,0.74,37.63,1.28,3.16,NA,NA,0.65,2.10,NA,44.07,0.96,133.37,NA,NA,98.20,763.30,-0.55
2019-01-14 00:00:00,68.35,125.40,14.84,46.92,36.08,29.80,31.45,0.77,29.96,0.82,2.16,NA,NA,0.33,1.53,NA,34.68,1.06,241.38,NA,NA,124.31,764.06,-0.33
2019-01-15 00:00:00,85.21,152.97,57.70,57.78,111.59,26.54,27.95,1.17,24.63,1.79,5.00,NA,NA,0.76,3.03,NA,19.12,0.66,241.77,NA,NA,108.46,763.02,0.14
