Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2018-01-01 00:00:00,88.43,218.73,12.69,44.79,28.75,,9.21,0.89,38.74,0.0,0.0,,,,,,23.31,,,,,106.8,,0.71
2018-01-02 00:00:00,114.44,267.74,59.36,63.88,76.79,,9.36,0.98,36.41,0.0,0.0,,,,,,26.24,0.09,119.55,,,101.91,751.02,0.74
2018-01-03 00:00:00,137.8,338.03,62.68,69.95,149.78,,12.38,1.32,9.91,0.0,0.42,,,,0.02,,34.68,0.33,83.7,,,82.45,751.95,0.6
2018-01-04 00:00:00,115.22,256.18,62.82,42.02,72.32,,10.09,1.1,27.26,0.0,0.03,,,,,,35.74,0.43,135.08,,,81.35,752.41,0.62
2018-01-05 00:00:00,113.63,262.56,36.27,27.97,43.9,,7.32,0.88,18.92,0.0,0.0,,,,,,39.35,0.55,194.48,,,78.68,753.36,0.68
2018-01-06 00:00:00,119.78,259.84,9.95,18.42,17.97,,7.71,0.73,22.7,0.0,0.0,,,,,,38.94,0.8,200.43,,,79.57,753.24,0.7
2018-01-07 00:00:00,97.51,244.43,27.13,26.5,35.41,,7.17,0.92,55.53,0.0,0.02,,,,,,37.52,0.5,146.38,,,63.16,751.54,0.77
2018-01-08 00:00:00,63.07,232.45,15.61,34.05,30.28,,6.34,1.32,39.89,0.0,0.0,,,,,,33.81,0.64,53.18,,,145.85,752.06,0.86
2018-01-09 00:00:00,102.48,291.86,19.25,43.63,37.28,,7.12,1.1,13.55,0.0,0.05,,,,,,33.35,0.6,50.48,,,109.84,751.37,0.87
2018-01-10 00:00:00,92.05,237.48,8.37,29.06,23.15,,9.4,0.71,37.13,0.0,0.0,,,,,,35.28,0.58,91.86,,,73.01,749.64,0.92
2018-01-11 00:00:00,123.08,346.91,69.71,35.85,70.22,,8.15,1.35,36.73,0.0,0.28,,,,,,34.84,0.38,50.69,,,38.36,748.45,1.15
2018-01-12 00:00:00,175.47,383.63,90.92,39.19,89.16,,7.08,1.08,24.02,0.0,0.11,,,,,,28.79,0.22,132.29,,,70.69,751.22,0.11
2018-01-13 00:00:00,154.73,349.63,61.21,37.89,64.62,,5.75,0.95,36.01,0.0,0.05,,,,,,29.29,0.25,99.16,,,73.02,752.09,-0.31
2018-01-14 00:00:00,137.43,308.77,42.54,33.4,47.33,,7.3,0.85,20.21,0.0,0.04,,,,,,26.43,0.38,130.91,,,78.87,752.15,0.15
2018-01-15 00:00:00,166.01,385.67,95.16,35.83,95.58,,8.53,1.5,24.62,0.0,0.45,,,,0.01,,23.94,0.45,106.04,,,92.16,751.61,1.03
2018-01-16 00:00:00,145.87,317.52,82.66,32.11,78.86,,6.08,0.99,20.02,0.0,0.26,,,,,,24.6,0.36,150.79,,,83.0,753.69,0.41
2018-01-17 00:00:00,120.99,281.05,57.38,26.72,55.57,,7.35,1.04,21.83,0.0,0.04,,,,,,31.62,0.53,178.2,,,79.07,754.25,0.15
2018-01-18 00:00:00,108.57,256.9,25.69,23.86,28.64,,6.35,0.6,27.56,0.0,0.02,,,,,,33.04,0.36,176.8,,,82.02,752.39,0.43
2018-01-19 00:00:00,139.74,280.37,6.18,14.71,8.18,,6.82,0.57,27.68,0.0,0.0,,,,,,33.4,0.96,174.08,,,68.74,751.49,0.38
2018-01-20 00:00:00,103.32,245.8,4.59,6.6,6.07,,11.41,0.69,23.29,0.0,0.0,,,,,,26.19,0.67,146.42,,,84.76,751.62,-0.07
2018-01-21 00:00:00,128.52,308.71,7.85,13.88,24.69,,11.8,1.12,22.34,0.0,0.13,,,,,,25.54,0.38,125.17,,,83.15,753.2,0.15
2018-01-22 00:00:00,121.5,263.52,16.19,31.36,26.91,,7.34,0.56,26.23,0.0,0.0,,,,,,30.5,0.4,131.54,,,71.51,754.79,0.34
2018-01-23 00:00:00,91.99,247.3,14.68,29.8,27.92,,7.14,0.72,16.26,0.0,0.0,,,,,,38.98,1.33,255.94,,,72.22,755.53,0.74
2018-01-24 00:00:00,167.74,357.84,15.62,28.92,26.68,,4.91,1.45,34.52,0.0,0.39,,,,,,42.07,0.63,168.03,,,78.54,752.69,1.15
2018-01-25 00:00:00,133.6,284.67,13.48,27.48,24.66,,5.39,1.1,61.61,0.0,0.14,,,,,,40.18,0.47,139.07,,,82.08,753.38,1.18
2018-01-26 00:00:00,140.74,303.34,11.22,31.55,24.49,,7.09,1.04,69.18,0.0,0.45,,,,,,39.52,0.31,176.69,,,85.07,753.4,1.22
2018-01-27 00:00:00,149.49,325.76,11.67,31.18,26.02,,5.45,1.21,69.2,0.0,0.48,,,,,,39.01,0.21,157.23,,,85.06,753.87,1.32
2018-01-28 00:00:00,136.01,304.07,11.67,31.92,22.42,,7.19,0.82,71.93,0.0,0.27,,,,,,35.07,0.28,148.75,,,84.73,753.45,1.22
2018-01-29 00:00:00,148.89,352.23,10.64,34.06,23.04,,10.29,1.59,41.55,0.0,0.59,,,,0.04,,36.01,0.34,124.8,,,70.48,752.06,1.1
2018-01-30 00:00:00,151.2,381.85,11.22,33.52,20.48,,7.69,0.98,14.84,0.0,1.19,,,,0.11,,39.12,0.54,202.0,,,99.58,751.82,1.22
2018-01-31 00:00:00,110.86,263.37,13.35,25.75,25.47,,11.17,1.36,18.4,0.0,0.12,,,,,,38.86,0.52,121.64,,,104.19,752.86,1.1
2018-02-01 00:00:00,142.14,312.1,19.44,32.95,31.44,,7.59,1.35,21.75,0.0,0.17,,,,,,36.17,0.27,188.15,,,73.86,752.7,0.83
2018-02-02 00:00:00,109.84,276.75,20.71,33.04,31.67,,6.63,1.02,20.71,0.0,0.0,,,,,,27.88,0.92,235.74,,,73.09,754.67,0.51
2018-02-03 00:00:00,103.07,276.64,12.45,21.16,27.52,,6.99,0.78,26.1,0.0,0.07,,,,,,24.04,0.7,111.08,,,82.48,752.9,0.41
2018-02-04 00:00:00,100.02,240.25,37.67,35.78,81.53,,11.4,0.92,43.18,0.0,0.07,,,,,,22.22,0.91,37.98,,,86.85,752.11,0.6
2018-02-05 00:00:00,100.12,253.44,43.48,41.36,70.14,,8.82,0.92,43.74,0.0,0.07,,,,,,21.95,0.94,69.28,,,50.41,751.46,0.5
2018-02-06 00:00:00,88.32,263.13,55.74,63.33,93.14,,5.73,0.82,34.45,0.0,0.27,,,,,,23.5,0.94,72.33,,,58.76,743.23,0.5
2018-02-07 00:00:00,90.51,219.99,39.03,100.27,79.68,,7.63,0.61,15.73,0.0,0.08,,,,,,20.11,0.8,125.43,,,82.34,744.82,0.49
2018-02-08 00:00:00,123.66,290.86,113.38,99.25,160.57,,7.17,1.16,17.26,0.0,0.09,,,,,,26.84,0.33,133.42,,,73.76,753.49,0.54
2018-02-09 00:00:00,118.71,269.8,113.18,111.33,162.26,,4.81,0.95,16.51,0.0,0.0,,,,,,31.91,0.43,145.35,,,89.95,753.91,0.67
2018-02-10 00:00:00,156.62,322.63,86.51,86.58,117.7,,6.61,0.36,18.61,0.0,0.0,,,,,,32.38,0.52,108.47,,,84.33,754.75,0.71
2018-02-11 00:00:00,99.11,235.5,14.08,56.43,42.01,,8.53,0.71,14.57,0.0,0.0,,,,,,36.67,0.77,143.23,,,66.58,755.23,0.55
2018-02-12 00:00:00,113.04,275.62,47.94,66.83,75.61,,7.77,1.01,13.94,0.0,0.0,,,,,,43.55,0.59,232.65,,,69.0,751.45,0.59
2018-02-13 00:00:00,100.02,237.57,30.93,77.59,66.82,,7.59,0.7,19.7,0.0,0.0,,,,,,37.95,0.75,65.62,,,78.07,748.28,0.6
2018-02-14 00:00:00,83.48,206.35,18.7,73.2,54.44,,8.7,0.86,19.21,0.0,0.0,,,,,,35.17,0.68,119.61,,,78.56,747.57,0.98
2018-02-15 00:00:00,97.2,247.1,55.56,82.79,76.22,,8.14,1.24,13.34,0.0,0.0,,,,,,38.53,0.43,99.35,,,83.03,748.99,1.17
2018-02-16 00:00:00,136.19,311.52,109.36,98.31,139.19,,8.4,0.79,35.3,0.01,0.0,,,,,,37.54,0.38,139.16,,,105.24,750.71,1.09
2018-02-17 00:00:00,130.08,333.48,122.99,99.17,149.34,,8.23,1.09,51.79,0.03,0.0,,,,,,38.91,0.57,212.19,,,84.22,754.07,1.23
2018-02-18 00:00:00,104.06,330.92,70.27,82.53,100.68,,10.71,0.97,45.51,0.0,0.0,,,,,,35.25,0.39,115.78,,,75.79,755.93,1.25
2018-02-19 00:00:00,126.78,308.14,62.68,80.98,96.84,,8.05,1.23,52.66,0.0,0.0,,,,0.01,,34.94,0.31,141.02,,,80.84,755.72,1.13
