Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2019-01-01 00:00:00,131.54,234.70,97.63,32.48,95.97,NA,9.60,1.08,52.51,3.31,9.92,NA,NA,1.60,4.73,NA,41.11,0.36,142.39,NA,NA,138.50,757.80,1.35
2019-01-02 00:00:00,158.72,275.40,117.86,39.03,116.82,NA,6.49,1.07,36.86,3.87,9.39,NA,NA,1.26,4.60,NA,45.18,0.39,106.91,NA,NA,154.20,757.42,1.33
2019-01-03 00:00:00,107.34,198.58,50.35,37.93,60.20,NA,8.17,2.11,38.19,0.86,2.24,NA,NA,NA,0.71,NA,44.53,0.60,79.45,NA,NA,148.10,756.59,2.36
2019-01-04 00:00:00,142.74,303.21,109.17,38.74,96.45,NA,14.41,1.01,39.48,4.48,12.45,NA,NA,1.93,5.72,NA,45.53,0.39,159.04,NA,NA,122.43,758.40,0.86
2019-01-05 00:00:00,142.65,264.74,96.73,32.86,93.96,NA,8.57,2.57,45.18,3.06,7.93,NA,NA,1.13,3.97,NA,46.45,0.71,184.11,NA,NA,134.13,760.63,1.40
2019-01-06 00:00:00,157.40,220.49,73.45,54.16,92.35,NA,6.32,2.13,52.52,1.22,1.38,NA,NA,NA,0.21,NA,60.21,1.27,47.72,NA,NA,110.33,757.95,1.67
2019-01-07 00:00:00,94.30,156.30,69.95,49.14,80.38,NA,7.97,2.00,42.10,0.61,2.04,NA,NA,NA,0.43,NA,54.72,0.65,75.21,NA,NA,142.48,756.57,1.98
2019-01-08 00:00:00,66.91,141.82,42.23,41.23,50.08,NA,7.12,1.52,32.78,0.32,1.29,NA,NA,NA,0.42,NA,49.50,0.62,65.54,NA,NA,163.89,758.38,1.73
2019-01-09 00:00:00,81.70,167.99,50.30,38.78,68.59,NA,6.96,2.10,30.85,1.03,3.10,NA,NA,0.41,1.50,NA,48.46,0.56,70.72,NA,NA,178.23,758.28,0.61
2019-01-10 00:00:00,117.22,254.57,101.43,38.15,103.72,NA,10.40,1.82,24.36,3.13,9.59,NA,NA,1.45,4.64,NA,47.16,0.46,148.36,NA,NA,159.12,761.52,1.69
2019-01-11 00:00:00,157.41,321.53,114.72,33.19,106.67,NA,11.66,2.54,22.95,5.47,14.38,NA,NA,2.17,7.13,NA,47.19,0.26,139.52,NA,NA,138.02,760.05,3.11
2019-01-12 00:00:00,89.94,198.34,50.41,39.39,63.75,NA,12.80,1.37,47.25,0.47,2.35,NA,NA,0.17,0.87,NA,47.02,0.54,127.52,NA,NA,144.47,760.76,4.06
2019-01-13 00:00:00,113.29,228.06,45.91,32.85,54.74,NA,12.44,1.29,64.42,0.48,0.77,NA,NA,NA,0.09,NA,51.33,1.01,54.23,NA,NA,150.84,758.97,1.44
2019-01-14 00:00:00,71.60,146.92,39.23,34.16,48.91,NA,11.95,1.00,44.61,0.21,1.29,NA,NA,NA,0.33,NA,50.42,0.90,66.73,NA,NA,159.52,756.69,2.05
2019-01-15 00:00:00,60.95,138.40,46.65,27.15,48.57,NA,12.07,1.14,40.93,1.04,3.16,NA,NA,0.41,1.57,NA,40.68,0.50,89.26,NA,NA,87.24,756.58,2.36
2019-01-16 00:00:00,118.74,249.64,85.35,25.72,78.63,NA,11.91,2.30,44.17,2.19,6.33,NA,NA,0.38,2.97,NA,40.32,0.32,186.74,NA,NA,177.04,759.82,1.44
2019-01-17 00:00:00,111.12,224.83,74.40,29.64,70.41,NA,12.43,0.81,47.73,1.78,5.04,NA,NA,0.50,2.32,NA,41.96,0.45,85.25,NA,NA,172.53,760.45,0.10
2019-01-18 00:00:00,113.53,251.78,91.53,37.40,83.07,NA,13.93,1.04,52.44,3.40,10.24,NA,NA,1.51,4.26,NA,44.03,0.41,113.44,NA,NA,151.80,759.29,2.88
2019-01-19 00:00:00,140.44,280.94,144.24,28.74,126.68,NA,16.60,1.16,35.81,3.98,11.47,NA,NA,1.83,5.67,NA,48.01,0.26,160.09,NA,NA,114.24,757.00,0.39
2019-01-20 00:00:00,136.11,236.54,129.03,33.83,126.76,NA,12.56,0.82,61.78,4.08,13.53,NA,NA,2.27,6.25,NA,46.53,0.37,191.43,NA,NA,166.24,758.32,2.38
2019-01-21 00:00:00,90.08,191.75,67.09,36.43,69.27,NA,9.73,0.73,39.51,0.51,1.30,NA,NA,NA,0.22,NA,54.93,1.40,80.79,NA,NA,104.04,760.82,1.83
2019-01-22 00:00:00,34.55,82.14,52.17,36.69,62.00,NA,8.24,1.14,41.01,0.04,1.20,NA,NA,NA,0.12,NA,59.28,0.68,203.72,NA,NA,170.91,760.56,2.82
2019-01-23 00:00:00,59.11,137.05,44.02,31.53,53.73,NA,9.30,1.13,39.83,0.05,1.16,NA,NA,NA,0.08,NA,54.48,0.67,80.66,NA,NA,189.53,758.97,1.95
2019-01-24 00:00:00,64.06,133.01,44.66,36.10,53.45,NA,9.03,1.17,39.43,0.13,1.11,NA,NA,NA,0.06,NA,55.85,1.13,59.25,NA,NA,161.51,757.00,1.87
2019-01-25 00:00:00,54.24,119.93,37.71,33.63,48.14,NA,8.39,1.03,49.60,0.13,0.93,NA,NA,NA,0.10,NA,52.76,0.91,55.95,NA,NA,191.13,756.58,1.71
2019-01-26 00:00:00,55.54,118.14,37.00,44.22,55.94,NA,9.65,1.10,47.99,0.13,0.95,NA,NA,NA,0.21,NA,46.38,0.66,72.78,NA,NA,179.00,757.10,0.68
2019-01-27 00:00:00,59.06,128.17,41.15,45.82,58.38,NA,9.79,1.60,51.67,0.21,0.99,NA,NA,NA,0.18,NA,46.17,0.65,76.91,NA,NA,166.53,759.96,0.88
2019-01-28 00:00:00,72.29,147.62,57.01,34.98,68.75,NA,7.81,1.41,46.18,0.95,2.95,NA,NA,0.25,1.38,NA,44.97,0.47,85.25,NA,NA,175.86,758.79,3.68
2019-01-29 00:00:00,77.75,181.18,65.12,44.52,74.62,NA,9.85,1.22,43.25,0.81,3.21,NA,NA,0.32,1.74,NA,44.36,0.30,91.05,NA,NA,171.14,759.81,3.16
2019-01-30 00:00:00,102.45,209.35,81.21,36.74,86.93,NA,13.19,1.44,41.05,1.94,6.77,NA,NA,0.84,3.34,NA,41.27,0.36,138.12,NA,NA,180.95,762.76,2.61
2019-01-31 00:00:00,94.14,167.04,52.04,34.99,62.26,NA,13.28,1.00,42.75,0.27,1.46,NA,NA,0.07,0.52,NA,47.14,0.89,149.94,NA,NA,139.07,764.63,1.03
2019-02-01 00:00:00,63.48,116.55,47.98,33.63,57.22,NA,10.53,1.11,44.84,0.08,0.49,NA,NA,NA,0.08,NA,58.78,1.11,51.68,NA,NA,215.70,761.33,2.06
2019-02-02 00:00:00,82.15,166.91,49.31,35.29,50.84,NA,10.31,1.93,39.71,0.42,1.18,NA,NA,NA,0.27,NA,53.19,0.63,74.90,NA,NA,287.46,762.40,2.41
