Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2018-01-01 00:00:00,90.62,140.23,4.29,22.95,27.24,20.53,4.97,0.51,44.36,1.08,NA,NA,NA,0.04,NA,NA,42.51,0.97,119.19,0.00,0.00,125.03,754.05,NA
2018-01-02 00:00:00,61.46,125.52,2.80,25.69,28.48,17.18,5.58,0.53,53.38,0.83,NA,NA,NA,0.03,NA,NA,28.04,1.22,71.26,0.00,0.00,150.32,754.29,NA
2018-01-03 00:00:00,70.89,114.27,6.85,30.91,37.75,18.64,10.22,0.78,41.94,1.38,NA,NA,NA,0.27,0.06,NA,36.48,1.00,147.10,0.00,0.00,131.87,754.49,NA
2018-01-04 00:00:00,77.93,126.59,7.18,28.45,35.63,22.59,29.22,0.80,44.90,1.92,NA,NA,NA,0.43,0.11,NA,43.80,1.06,182.34,0.00,0.00,130.06,754.29,NA
2018-01-05 00:00:00,69.32,119.91,12.36,28.22,40.57,19.26,15.83,0.95,37.50,1.77,NA,NA,NA,0.71,0.18,NA,51.42,0.92,182.04,0.00,0.00,146.48,754.00,NA
2018-01-06 00:00:00,104.71,184.60,12.21,29.70,41.91,23.51,24.39,0.77,42.57,2.05,NA,NA,NA,0.80,0.21,NA,44.64,0.84,188.90,0.00,0.00,134.12,754.09,NA
2018-01-07 00:00:00,151.93,158.53,8.11,33.58,41.69,23.68,23.28,0.80,42.34,1.76,NA,NA,NA,0.38,0.09,NA,41.75,0.88,182.36,0.00,0.00,132.89,755.00,NA
2018-01-08 00:00:00,79.12,131.13,4.44,27.02,29.43,22.73,7.31,0.51,51.60,1.17,NA,NA,NA,0.03,NA,NA,42.94,0.97,73.97,0.00,0.00,139.97,755.37,NA
2018-01-09 00:00:00,68.35,125.24,2.17,16.87,19.04,20.76,5.92,0.42,76.79,0.67,NA,NA,NA,0.01,NA,NA,41.90,1.46,70.39,0.00,0.00,142.05,756.18,NA
2018-01-10 00:00:00,70.10,124.74,2.56,21.47,24.03,21.18,5.92,0.49,66.39,0.69,NA,NA,NA,NA,NA,NA,41.83,1.18,80.07,0.00,0.00,145.00,756.63,NA
2018-01-11 00:00:00,259.61,175.74,11.64,42.31,53.94,19.67,16.45,1.14,51.17,2.09,NA,NA,NA,0.61,0.16,NA,44.30,0.94,170.15,0.00,0.00,132.16,756.40,NA
2018-01-12 00:00:00,117.66,190.36,19.27,32.48,51.75,21.69,6.75,1.26,34.86,2.65,NA,NA,NA,1.07,0.34,NA,45.84,0.82,160.57,0.00,0.00,156.79,755.56,NA
2018-01-13 00:00:00,90.18,169.08,4.35,30.23,34.57,21.72,6.12,1.08,39.51,1.25,NA,NA,NA,0.14,0.02,NA,41.93,0.86,128.10,0.00,0.00,153.11,755.12,NA
2018-01-14 00:00:00,93.91,168.30,9.98,33.85,43.82,18.30,6.48,0.93,37.56,1.85,NA,NA,NA,0.50,0.12,NA,45.26,1.00,157.47,0.00,0.00,141.17,755.14,NA
2018-01-15 00:00:00,82.65,145.18,11.66,30.79,42.44,26.22,3.65,0.93,36.89,1.58,NA,NA,NA,0.42,0.10,NA,41.30,0.98,133.13,0.00,0.00,136.91,755.57,NA
2018-01-16 00:00:00,79.10,141.47,5.78,24.81,30.51,26.73,12.10,0.97,35.55,1.67,NA,NA,NA,0.44,0.11,NA,42.32,0.99,153.80,0.00,0.00,129.18,753.86,NA
2018-01-17 00:00:00,68.55,127.93,7.17,24.59,31.71,23.15,29.24,0.81,34.91,1.42,NA,NA,NA,0.32,0.08,NA,47.36,1.12,205.69,0.66,62.23,138.38,755.09,NA
2018-01-18 00:00:00,78.21,150.10,17.72,34.72,47.31,24.12,27.79,1.17,34.29,1.95,NA,NA,NA,0.74,0.19,NA,54.62,0.73,171.61,0.00,0.00,153.69,758.67,NA
2018-01-19 00:00:00,96.65,169.43,4.28,23.71,27.99,24.87,13.17,0.81,46.73,1.30,NA,NA,NA,0.22,0.05,NA,48.33,1.11,163.38,0.00,0.00,139.23,759.20,NA
2018-01-20 00:00:00,91.22,156.97,3.79,18.99,22.78,27.24,7.13,1.14,41.91,1.07,NA,NA,NA,NA,NA,NA,53.59,1.04,46.21,0.00,0.00,95.07,759.31,NA
2018-01-21 00:00:00,105.87,162.64,10.68,33.24,43.93,36.32,21.81,1.06,44.04,1.66,NA,NA,NA,0.51,0.13,NA,39.47,0.90,175.95,0.00,0.00,167.86,757.64,NA
2018-01-22 00:00:00,74.56,145.64,8.61,22.38,30.99,42.60,16.92,0.93,46.30,1.98,NA,NA,NA,0.55,0.13,NA,43.82,1.21,182.14,0.00,0.00,164.29,756.36,NA
2018-01-23 00:00:00,92.31,140.85,5.00,17.72,22.72,50.03,44.25,0.61,50.86,0.83,NA,NA,NA,0.07,NA,NA,42.82,1.60,261.15,0.00,0.00,152.20,756.20,NA
2018-01-24 00:00:00,102.05,164.17,8.71,29.07,37.78,34.17,19.60,0.84,44.21,1.20,NA,NA,NA,0.15,0.02,NA,45.50,0.83,139.59,0.00,0.00,130.13,758.47,NA
2018-01-25 00:00:00,162.30,156.56,13.84,22.23,36.06,23.69,12.73,1.02,44.79,0.98,NA,NA,NA,0.04,NA,NA,47.79,1.06,141.76,0.00,0.00,117.95,759.23,NA
2018-01-26 00:00:00,178.29,150.18,15.87,26.63,42.50,23.45,20.70,1.04,41.28,1.76,NA,NA,NA,0.53,0.09,NA,42.01,0.80,171.59,0.00,0.00,112.25,762.03,NA
2018-01-27 00:00:00,76.10,123.82,11.59,28.80,36.32,25.58,17.55,0.89,38.58,1.45,NA,NA,NA,0.39,0.07,NA,40.60,0.87,169.98,0.00,0.00,115.90,761.79,NA
2018-01-28 00:00:00,80.32,124.88,9.40,27.89,36.40,17.95,10.14,1.04,45.69,1.45,NA,NA,NA,0.39,0.08,NA,36.78,0.80,153.53,0.00,0.00,110.89,762.16,NA
2018-01-29 00:00:00,103.61,153.93,15.70,32.55,48.26,24.60,12.41,1.24,28.71,1.57,NA,NA,NA,0.06,NA,NA,53.13,0.74,154.99,0.00,0.00,116.51,761.01,NA
2018-01-30 00:00:00,127.97,234.08,51.22,46.48,99.62,22.98,21.01,2.85,32.31,4.64,NA,NA,NA,2.99,0.47,NA,41.07,0.68,200.13,0.00,0.00,64.47,756.80,NA
2018-01-31 00:00:00,98.18,186.86,21.89,27.72,49.19,24.13,24.14,1.12,34.40,2.53,NA,NA,NA,1.12,0.08,NA,43.97,0.84,175.17,0.00,0.00,120.72,756.63,NA
2018-02-01 00:00:00,78.70,147.75,9.69,25.67,35.29,20.85,40.23,0.74,36.74,1.84,NA,NA,NA,0.60,0.10,NA,43.07,0.93,178.29,0.00,0.00,160.92,756.30,NA
2018-02-02 00:00:00,81.63,162.99,10.36,28.59,38.94,19.69,35.84,0.92,35.84,1.69,NA,NA,NA,0.42,0.08,NA,47.25,0.93,209.53,0.00,0.00,132.75,755.26,NA
2018-02-03 00:00:00,81.72,167.70,6.33,16.42,20.26,24.18,12.89,0.55,53.06,1.01,NA,NA,NA,0.03,NA,NA,38.89,1.07,131.58,0.00,0.00,149.96,756.19,NA
2018-02-04 00:00:00,127.33,134.06,4.99,10.36,13.20,23.40,8.09,0.52,66.77,0.46,NA,NA,NA,NA,NA,NA,30.16,1.46,42.27,0.00,0.00,160.85,756.45,NA
2018-02-05 00:00:00,84.10,143.04,5.29,13.73,18.82,18.67,12.01,0.59,54.87,0.60,NA,NA,NA,NA,NA,NA,33.90,1.48,108.57,0.00,0.00,154.56,756.91,NA
