Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,105.66,188.69,17.84,24.31,42.14,32.16,11.51,1.12,34.09,1.53,1.59,NA,NA,1.75,NA,NA,76.72,1.33,248.56,NA,0.00,195.35,729.64,NA
2022-01-02 00:00:00,97.79,180.66,18.71,21.25,39.96,29.32,10.16,1.02,32.24,1.56,1.60,NA,NA,1.78,NA,NA,83.53,1.22,250.41,NA,0.00,182.64,729.62,NA
2022-01-03 00:00:00,102.02,195.49,19.55,24.16,43.71,32.98,9.59,1.08,30.12,1.56,1.59,NA,NA,1.74,NA,NA,82.69,1.28,222.92,NA,0.00,189.20,729.75,NA
2022-01-04 00:00:00,96.99,182.40,20.60,23.56,44.16,33.50,9.07,1.21,27.06,1.55,1.59,NA,NA,1.76,NA,NA,80.04,1.21,224.05,NA,0.00,175.42,729.94,NA
2022-01-05 00:00:00,94.04,180.36,17.79,24.71,42.50,30.10,8.74,0.96,28.96,1.55,1.59,NA,NA,1.73,NA,NA,79.53,1.31,232.78,NA,0.00,147.88,729.78,NA
2022-01-06 00:00:00,66.39,104.43,18.64,20.97,39.62,26.19,8.35,0.99,21.24,1.55,1.58,NA,NA,1.75,NA,NA,92.34,1.28,211.91,NA,0.00,111.33,729.15,NA
2022-01-07 00:00:00,52.23,131.64,20.75,19.87,40.62,31.18,8.75,1.11,24.34,1.48,1.58,NA,NA,1.76,NA,NA,83.13,1.70,227.72,NA,0.00,189.71,729.66,NA
2022-01-08 00:00:00,121.81,203.53,17.28,20.21,37.49,27.01,9.72,0.87,33.86,1.55,1.58,NA,NA,1.75,NA,NA,67.53,1.39,236.22,NA,0.00,190.81,729.76,NA
2022-01-09 00:00:00,23.71,60.19,11.35,13.72,25.07,16.67,8.20,0.62,40.53,1.57,1.59,NA,NA,1.75,NA,NA,61.04,1.23,236.12,NA,0.00,203.13,729.53,NA
2022-01-10 00:00:00,35.40,80.86,14.59,18.22,32.81,24.36,8.81,0.89,36.99,1.56,1.58,NA,NA,1.75,NA,NA,63.89,1.20,224.80,NA,0.00,203.80,729.43,NA
2022-01-11 00:00:00,46.69,90.36,16.34,20.08,36.17,27.56,9.39,0.98,39.92,1.56,1.62,NA,NA,1.79,NA,NA,66.66,1.25,232.54,NA,0.00,184.89,729.29,NA
2022-01-12 00:00:00,53.84,100.93,16.85,22.51,39.36,30.00,8.91,0.99,39.12,1.56,1.59,NA,NA,1.76,NA,NA,59.76,1.23,226.82,NA,0.00,200.94,729.36,NA
2022-01-13 00:00:00,73.08,138.53,17.34,25.92,43.27,33.37,13.82,1.03,35.68,1.54,1.58,NA,NA,1.76,NA,NA,64.44,1.29,243.81,NA,0.00,199.72,729.35,NA
2022-01-14 00:00:00,56.30,101.94,14.99,22.26,37.24,27.12,10.32,0.89,41.26,1.56,1.60,NA,NA,1.75,NA,NA,58.42,1.20,236.08,NA,0.00,206.33,729.46,NA
