Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,1.33,30.77,1.44,4.56,3.44,17.24,2.61,NA,NA,NA,NA,NA,NA,NA,NA,30.84,80.23,2.06,NA,0.00,0.00,112.68,757.94,NA
2022-01-02 00:00:00,2.10,27.65,0.69,2.85,0.95,17.22,3.59,NA,NA,NA,NA,NA,NA,NA,NA,30.44,79.89,1.24,NA,0.00,0.00,140.56,758.10,NA
2022-01-03 00:00:00,1.33,38.21,NA,NA,NA,NA,4.95,NA,NA,NA,NA,NA,NA,NA,NA,30.20,77.68,1.09,NA,0.01,1.00,147.98,757.94,NA
2022-01-04 00:00:00,1.50,49.76,NA,NA,NA,NA,4.48,NA,NA,NA,NA,NA,NA,NA,NA,29.86,74.36,1.20,NA,0.00,0.00,157.41,757.60,NA
2022-01-05 00:00:00,10.02,35.84,NA,NA,NA,NA,6.09,NA,NA,NA,NA,NA,NA,NA,NA,29.70,75.47,0.89,NA,0.00,0.00,140.94,757.56,NA
2022-01-06 00:00:00,13.06,36.66,1.03,5.10,3.05,11.92,8.56,NA,NA,NA,NA,NA,NA,NA,NA,29.82,78.72,1.00,NA,0.00,0.00,150.94,757.73,NA
2022-01-07 00:00:00,11.83,32.93,NA,NA,NA,NA,6.86,NA,NA,NA,NA,NA,NA,NA,NA,30.07,79.55,1.02,NA,0.00,0.00,125.69,757.73,NA
2022-01-08 00:00:00,9.20,23.90,NA,NA,NA,NA,4.38,NA,NA,NA,NA,NA,NA,NA,NA,30.55,77.74,1.12,NA,0.00,0.00,146.94,758.32,NA
2022-01-09 00:00:00,8.58,21.68,NA,NA,NA,NA,4.35,NA,NA,NA,NA,NA,NA,NA,NA,30.30,78.73,0.75,NA,0.00,0.00,140.25,758.27,NA
2022-01-10 00:00:00,13.09,36.76,NA,NA,NA,NA,8.78,NA,NA,NA,NA,NA,NA,NA,NA,30.48,78.96,0.82,NA,0.00,0.00,153.97,758.21,NA
