Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,NA,16.31,3.57,11.71,9.13,NA,1.76,0.26,15.17,1.27,1.24,NA,NA,NA,NA,NA,73.54,5.29,290.04,NA,0.00,233.57,747.82,NA
2022-01-02 00:00:00,NA,15.28,3.56,11.01,8.72,NA,2.91,0.24,14.55,0.92,2.09,NA,NA,NA,NA,NA,78.46,4.67,294.03,NA,0.00,216.45,750.35,NA
2022-01-03 00:00:00,NA,37.00,3.20,11.18,8.52,NA,1.53,0.21,18.02,1.05,1.44,NA,NA,NA,NA,NA,72.20,5.08,295.86,NA,0.00,244.80,745.39,NA
2022-01-04 00:00:00,NA,56.17,3.45,11.89,9.13,NA,2.72,0.20,24.78,1.38,1.34,NA,NA,NA,NA,NA,70.24,4.96,287.90,NA,0.00,220.90,742.41,NA
2022-01-05 00:00:00,NA,53.12,3.09,12.87,9.36,NA,1.72,0.20,27.13,1.36,2.13,NA,NA,NA,NA,NA,66.89,3.83,263.54,NA,0.00,223.97,739.89,NA
2022-01-06 00:00:00,NA,34.35,3.43,11.44,8.84,NA,2.87,0.23,13.65,1.27,1.54,NA,NA,NA,NA,NA,73.81,4.83,293.88,NA,0.00,224.08,737.29,NA
2022-01-07 00:00:00,NA,28.31,3.64,11.57,9.13,NA,2.04,0.19,10.37,1.31,1.94,NA,NA,NA,NA,NA,72.94,4.43,283.92,NA,0.00,229.42,738.11,NA
2022-01-08 00:00:00,NA,24.19,3.52,10.82,8.58,NA,2.67,0.23,12.37,0.93,1.52,NA,NA,NA,NA,NA,71.11,4.74,291.53,NA,0.00,234.52,736.19,NA
2022-01-09 00:00:00,NA,25.86,3.59,10.50,8.51,NA,2.77,0.24,13.13,1.18,1.19,NA,NA,NA,NA,NA,70.99,3.82,279.40,NA,0.00,238.69,733.29,NA
2022-01-10 00:00:00,NA,26.78,4.08,12.11,9.76,NA,2.55,0.23,8.52,1.98,2.18,NA,NA,NA,NA,NA,70.78,3.44,266.47,NA,0.00,217.58,733.62,NA
