Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,122.98,161.66,6.16,35.90,36.03,29.40,2.96,0.93,16.83,0.00,NA,NA,NA,NA,NA,14.20,69.17,0.95,265.08,0.00,0.10,117.37,750.01,NA
2022-01-02 00:00:00,134.19,168.99,7.00,38.89,39.43,32.85,3.00,1.11,16.41,0.00,NA,NA,NA,NA,NA,13.79,75.09,0.92,265.26,0.00,0.10,105.76,748.94,NA
2022-01-03 00:00:00,165.36,202.86,9.90,38.77,42.86,38.61,3.18,1.22,19.52,0.03,NA,NA,NA,NA,0.04,14.72,73.28,1.07,250.73,0.00,0.15,112.95,747.57,NA
2022-01-04 00:00:00,167.96,219.00,17.04,50.73,61.06,44.68,3.24,1.73,13.36,0.31,NA,NA,NA,NA,0.05,17.03,69.76,0.76,193.01,0.00,0.20,113.80,746.99,NA
2022-01-05 00:00:00,155.85,194.99,22.45,50.90,67.79,51.47,3.07,1.45,11.58,0.04,NA,NA,NA,NA,0.19,15.49,80.44,1.20,137.48,0.00,0.11,25.01,746.16,NA
2022-01-06 00:00:00,87.23,97.25,4.71,26.71,26.96,45.91,2.73,0.75,16.34,0.00,NA,NA,NA,NA,NA,14.91,86.34,2.15,107.95,0.00,0.34,47.82,746.08,NA
2022-01-07 00:00:00,47.08,63.73,4.74,21.89,23.16,44.54,2.85,0.59,13.60,3.45,NA,NA,NA,1.56,1.56,16.61,90.10,2.36,118.54,0.00,0.17,44.48,746.28,NA
2022-01-08 00:00:00,29.95,32.38,4.41,18.85,20.35,41.36,2.62,0.34,13.94,0.00,NA,NA,NA,NA,NA,16.78,91.80,2.51,107.11,0.00,0.38,24.86,745.42,NA
2022-01-09 00:00:00,37.50,42.02,4.23,17.09,18.73,36.22,2.54,0.36,12.56,0.00,NA,NA,NA,NA,NA,16.00,91.02,1.68,172.12,0.00,0.20,23.82,744.71,NA
2022-01-10 00:00:00,46.62,51.61,3.47,16.11,17.02,24.25,2.61,0.33,15.91,0.00,NA,NA,NA,NA,NA,13.66,85.10,1.69,288.62,0.00,0.21,72.35,746.75,NA
