Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2019-01-01 00:00:00,325.25,467.55,59.84,88.42,95.72,135.94,11.10,2.48,40.87,11.26,78.95,NA,NA,NA,NA,12.96,54.79,1.10,297.31,0.00,0.00,45.17,742.78,NA
2019-01-02 00:00:00,330.03,422.27,50.65,59.63,72.95,156.02,9.09,2.00,45.84,10.75,31.61,NA,NA,NA,NA,14.22,56.56,0.85,238.34,0.00,0.00,42.26,742.88,NA
2019-01-03 00:00:00,316.78,441.20,54.12,84.18,88.82,147.37,11.44,1.87,39.12,8.76,65.56,NA,NA,NA,NA,13.34,57.62,2.60,259.60,0.00,0.00,42.76,742.99,NA
2019-01-04 00:00:00,262.44,339.15,14.34,60.13,43.69,131.75,7.50,1.32,23.66,6.75,27.72,NA,NA,NA,NA,10.81,65.23,1.68,218.77,0.00,0.00,36.80,742.81,NA
2019-01-05 00:00:00,217.77,289.53,2.61,38.36,22.58,123.47,7.14,1.43,43.30,7.22,18.00,NA,NA,NA,NA,12.84,59.61,2.87,167.13,0.00,0.00,44.94,742.37,NA
2019-01-06 00:00:00,214.29,270.81,12.57,47.78,35.69,127.78,7.37,1.06,35.04,5.88,12.16,NA,NA,NA,NA,12.87,60.90,2.99,126.31,0.00,0.00,27.68,742.22,NA
2019-01-07 00:00:00,185.46,251.99,15.66,62.28,45.92,136.75,6.55,1.09,32.49,5.58,16.98,NA,NA,NA,NA,12.92,61.05,2.92,137.70,0.00,0.00,43.02,742.46,NA
2019-01-08 00:00:00,167.82,256.21,22.15,69.55,55.06,129.94,7.62,0.88,37.08,4.90,43.34,NA,NA,NA,NA,12.30,60.30,2.40,258.21,0.00,0.00,43.48,742.23,NA
2019-01-09 00:00:00,157.28,273.75,27.44,73.68,61.57,76.82,10.14,1.02,30.05,5.02,35.11,NA,NA,NA,NA,12.12,57.22,2.69,301.85,0.00,0.00,49.32,742.00,NA
2019-01-10 00:00:00,186.18,273.09,44.14,86.11,81.75,45.51,9.67,1.27,32.76,6.02,31.86,NA,NA,NA,NA,12.72,54.22,1.46,281.42,0.00,0.00,47.41,742.01,NA
2019-01-11 00:00:00,259.67,348.96,108.72,75.70,109.55,58.63,10.58,1.69,41.07,8.89,29.07,NA,NA,NA,NA,13.39,53.41,0.66,160.83,0.00,0.00,41.29,742.24,NA
2019-01-12 00:00:00,296.68,399.92,80.77,78.52,90.41,48.85,9.60,1.97,41.43,10.86,40.38,NA,NA,NA,NA,14.04,52.75,0.74,198.69,0.00,0.00,42.96,742.11,NA
2019-01-13 00:00:00,285.85,389.80,48.31,66.54,67.91,39.85,8.60,1.70,36.23,8.96,28.79,NA,NA,NA,NA,14.61,56.43,1.31,182.00,0.00,0.00,38.20,742.42,NA
2019-01-14 00:00:00,98.16,209.21,6.02,54.44,33.90,22.33,8.75,0.97,42.76,2.93,15.67,NA,NA,NA,NA,12.18,50.81,4.83,264.66,0.00,0.00,52.33,742.30,NA
2019-01-15 00:00:00,152.82,259.92,21.24,71.13,55.15,22.08,7.65,1.21,26.10,5.59,30.54,NA,NA,NA,NA,10.15,53.69,2.41,322.00,0.00,0.00,37.34,742.14,NA
2019-01-16 00:00:00,255.80,370.29,80.90,68.42,95.84,28.06,10.04,1.84,35.62,9.43,49.49,NA,NA,NA,NA,11.90,54.82,0.75,211.95,0.00,0.00,43.54,742.22,NA
2019-01-17 00:00:00,295.11,396.25,27.42,64.35,53.39,22.82,9.42,2.53,50.81,8.40,24.36,NA,NA,NA,NA,12.51,57.22,1.26,199.93,0.00,0.00,44.00,742.05,NA
2019-01-18 00:00:00,261.24,316.09,15.03,75.20,52.21,17.35,7.16,1.38,5.97,6.33,19.28,NA,NA,NA,NA,8.35,68.08,2.73,196.60,0.00,0.00,7.00,742.00,NA
2019-01-19 00:00:00,238.26,332.35,51.77,75.57,75.02,20.76,11.44,1.90,48.84,8.50,59.68,NA,NA,NA,NA,15.59,53.62,1.22,303.54,0.00,0.00,54.58,742.06,NA
2019-01-20 00:00:00,234.76,326.75,27.73,62.85,49.91,29.54,10.86,1.66,44.39,7.85,20.80,NA,NA,NA,NA,18.09,54.43,0.99,268.02,0.00,0.00,52.55,742.00,NA
2019-01-21 00:00:00,145.22,211.17,2.28,25.90,14.17,16.95,8.27,1.05,60.62,5.15,9.73,NA,NA,NA,NA,16.01,60.35,6.21,178.96,0.25,21.00,30.06,810.98,NA
2019-01-22 00:00:00,51.81,61.00,2.42,17.29,9.67,14.07,28.37,0.78,54.41,1.75,5.49,NA,NA,NA,NA,14.11,67.90,3.93,150.15,0.33,32.00,36.54,890.66,NA
2019-01-23 00:00:00,115.74,150.73,34.09,40.48,47.50,13.15,148.65,0.93,30.16,4.46,13.84,NA,NA,NA,NA,13.63,65.03,1.39,105.00,0.00,0.00,60.80,891.00,NA
2019-01-24 00:00:00,110.44,163.79,14.44,31.05,27.99,16.93,NA,1.26,30.99,4.06,12.70,NA,NA,NA,NA,14.73,61.35,1.99,119.05,0.00,0.00,60.93,891.00,NA
2019-01-25 00:00:00,65.17,97.28,NA,21.30,13.94,16.18,NA,0.39,45.47,1.71,7.95,NA,NA,NA,NA,13.28,60.17,3.13,88.45,0.02,1.50,62.52,891.00,NA
2019-01-26 00:00:00,98.09,149.63,NA,30.88,20.50,13.12,NA,0.46,47.73,2.75,13.51,NA,NA,NA,NA,11.77,56.99,3.85,128.26,0.00,0.00,70.10,891.00,NA
2019-01-27 00:00:00,116.52,185.77,NA,45.96,32.78,11.93,NA,0.55,37.70,2.64,9.79,NA,NA,NA,NA,10.45,54.83,3.50,216.74,0.00,0.00,61.57,891.00,NA
2019-01-28 00:00:00,112.43,184.14,NA,49.68,40.94,11.08,NA,1.13,36.13,3.22,23.88,NA,NA,NA,NA,10.77,52.87,2.92,262.88,0.00,0.00,72.52,862.96,NA
2019-01-29 00:00:00,123.28,202.29,NA,51.03,44.43,8.88,NA,0.85,39.26,3.49,31.75,NA,NA,NA,NA,11.75,51.79,2.55,269.24,0.00,0.00,71.40,742.85,NA
2019-01-30 00:00:00,209.82,321.62,NA,81.66,84.25,15.55,NA,1.07,40.88,6.68,65.62,NA,NA,NA,NA,12.06,54.56,1.13,300.98,0.00,0.00,49.53,742.51,NA
2019-01-31 00:00:00,154.88,210.65,NA,35.99,33.93,13.29,NA,0.72,64.29,4.46,12.22,NA,NA,NA,NA,15.00,51.36,3.36,229.12,0.00,0.00,56.71,742.19,NA
2019-02-01 00:00:00,157.92,194.93,NA,26.72,17.35,10.82,NA,0.81,60.38,4.04,14.66,NA,NA,NA,NA,15.14,56.53,2.56,154.73,0.01,1.00,57.23,742.20,NA
2019-02-02 00:00:00,228.32,292.83,NA,40.67,31.31,10.55,NA,1.61,22.69,4.25,27.92,NA,NA,NA,NA,11.23,69.33,4.34,81.84,0.00,0.00,48.60,742.20,NA
2019-02-03 00:00:00,162.75,219.14,NA,36.44,27.76,10.73,NA,1.36,21.64,4.41,22.29,NA,NA,NA,NA,11.16,72.25,2.78,218.80,0.00,0.00,39.83,742.56,NA
2019-02-04 00:00:00,151.09,191.49,25.71,46.36,55.24,11.04,20.20,2.01,32.69,5.57,33.07,NA,NA,NA,NA,12.01,67.02,0.88,279.84,0.00,0.00,56.49,742.77,NA
2019-02-05 00:00:00,204.69,290.34,35.00,48.28,54.49,15.14,6.10,2.15,56.56,6.44,25.62,NA,NA,NA,NA,16.51,59.21,0.81,205.73,0.00,0.00,59.54,887.66,NA
