Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,240.70,332.46,55.31,16.45,52.57,38.71,10.83,2.60,47.91,NA,NA,NA,NA,NA,NA,12.33,61.53,1.73,105.66,0.00,0.00,44.06,742.14,NA
2022-01-02 00:00:00,203.05,278.06,55.69,14.37,52.91,35.77,6.06,2.85,50.71,NA,NA,NA,NA,NA,NA,13.09,62.03,1.68,90.40,0.00,0.00,43.25,742.00,NA
2022-01-03 00:00:00,169.12,240.89,59.15,14.37,54.07,37.73,6.79,2.68,54.90,NA,NA,NA,NA,NA,NA,14.15,60.43,2.14,49.80,0.00,0.00,45.17,742.00,NA
2022-01-04 00:00:00,192.61,279.69,73.79,11.61,62.27,39.11,9.45,3.50,45.18,NA,NA,NA,NA,NA,NA,17.67,56.97,1.08,119.57,0.00,0.00,39.05,742.00,NA
2022-01-05 00:00:00,195.47,274.88,62.54,14.64,56.32,33.72,5.72,3.26,15.98,NA,NA,NA,NA,NA,NA,13.77,73.86,1.72,178.27,0.12,7.00,9.14,742.00,NA
2022-01-06 00:00:00,66.09,84.18,24.67,29.44,35.70,35.88,5.44,1.56,37.07,NA,NA,NA,NA,NA,NA,17.37,72.95,3.24,236.08,0.02,1.00,37.46,742.00,NA
2022-01-07 00:00:00,59.97,72.97,17.90,33.23,32.24,37.80,6.85,1.16,36.36,NA,NA,NA,NA,NA,NA,18.18,75.33,4.67,252.36,0.00,0.00,28.09,742.00,NA
2022-01-08 00:00:00,56.11,62.04,11.39,36.12,28.47,39.59,6.70,1.27,37.46,NA,NA,NA,NA,NA,NA,17.17,80.36,3.83,225.55,1.42,93.50,12.74,741.95,NA
2022-01-09 00:00:00,39.98,45.32,3.35,39.89,23.95,42.28,6.20,0.95,44.22,NA,NA,NA,NA,NA,NA,16.63,77.89,4.45,169.86,0.19,12.00,30.84,741.78,NA
2022-01-10 00:00:00,70.37,87.93,2.71,40.51,22.92,44.44,6.76,0.95,41.89,NA,NA,NA,NA,NA,NA,14.02,74.75,3.29,70.58,0.00,0.00,40.61,742.00,NA
2022-01-11 00:00:00,102.55,129.44,5.45,38.52,24.93,44.92,7.41,1.31,37.38,NA,NA,NA,NA,NA,NA,11.74,75.97,4.22,75.10,0.02,1.00,47.57,742.00,NA
