Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,51.36,132.38,2.63,9.08,12.59,16.24,14.92,1.06,5.16,0.25,,,,0.42,0.17,13.33,89.03,0.36,170.59,0.01,0.01,22.79,749.98,
2024-01-02,47.4,123.23,2.62,9.04,12.54,15.75,14.87,1.02,5.27,0.24,,,,0.41,0.16,12.27,93.17,0.38,206.18,0.0,0.0,11.3,749.95,
2024-01-03,49.22,122.0,4.78,11.34,17.54,17.33,14.97,1.17,5.5,0.28,,,,0.48,0.19,13.49,95.74,0.43,192.92,0.05,0.05,14.91,749.8,
2024-01-04,47.83,121.68,2.61,9.06,12.54,17.74,14.98,1.17,3.98,0.28,,,,0.47,0.19,15.27,92.81,0.4,214.69,0.0,0.0,13.02,749.93,
2024-01-05,37.02,94.52,2.62,9.01,12.51,16.85,14.98,0.94,3.2,0.23,,,,0.38,0.15,14.65,95.05,0.33,138.5,0.05,0.05,7.44,749.95,
2024-01-06,47.52,118.5,2.62,9.04,12.54,18.9,15.15,1.12,4.0,0.27,,,,0.45,0.18,15.82,90.96,0.36,184.14,0.0,0.0,20.02,750.0,
2024-01-07,44.2,113.77,2.62,9.06,12.56,17.92,15.08,0.94,3.7,0.23,,,,0.37,0.15,15.83,82.74,0.4,184.63,0.0,0.0,33.64,750.0,
2024-01-08,44.33,118.21,2.66,9.15,12.7,17.19,15.14,1.04,3.54,0.25,,,,0.42,0.17,15.09,86.62,0.39,172.57,0.0,0.0,36.63,750.0,
2024-01-09,37.17,95.59,2.62,9.03,12.52,17.07,15.18,1.03,3.07,0.25,,,,0.41,0.17,13.26,92.55,0.51,205.7,0.01,0.01,15.21,750.0,
2024-01-10,39.36,107.11,4.1,10.52,15.88,20.22,15.17,0.9,3.64,0.22,,,,0.36,0.14,13.28,88.94,0.6,213.53,0.0,0.0,26.08,749.87,
2024-01-11,52.69,141.57,2.61,8.98,12.48,19.55,15.96,1.07,3.36,0.26,,,,0.43,0.17,11.73,88.96,0.39,176.07,0.0,0.0,38.19,750.0,
2024-01-12,70.38,179.44,2.61,9.03,12.5,19.48,17.31,1.39,2.98,0.33,,,,0.55,0.22,10.28,92.45,0.33,129.65,0.0,0.0,34.99,750.0,
2024-01-13,85.13,213.34,2.61,9.02,12.5,20.2,17.76,1.85,3.08,0.45,,,,0.74,0.3,11.11,90.08,0.32,144.28,0.0,0.0,34.1,749.89,
2024-01-14,73.69,188.42,2.61,9.02,12.5,21.46,17.78,1.76,3.16,0.42,,,,0.7,0.28,11.03,92.59,0.38,182.51,0.0,0.0,25.49,749.79,
2024-01-15,48.1,122.77,2.64,9.0,12.52,19.73,16.98,1.15,3.16,0.28,,,,0.46,0.18,9.45,92.37,0.48,202.9,0.0,0.0,10.76,749.85,
2024-01-16,40.34,100.42,2.62,9.9,13.35,18.69,17.02,1.04,3.85,0.25,,,,0.42,0.17,10.08,87.12,0.43,120.85,0.0,0.0,30.05,749.13,
2024-01-17,41.14,103.28,6.0,14.71,22.94,17.42,16.99,1.01,3.43,0.24,,,,0.4,0.16,9.49,89.6,0.45,134.26,0.0,0.0,21.91,749.06,
2024-01-18,50.0,126.76,2.59,11.47,14.83,16.88,17.11,1.13,3.72,0.27,,,,0.45,0.18,10.34,85.2,0.33,140.39,0.0,0.0,24.07,749.82,
2024-01-19,41.72,106.33,2.61,11.48,14.87,16.49,17.23,1.0,3.45,0.24,,,,0.4,0.16,9.5,91.66,0.32,127.02,0.0,0.0,9.67,750.0,
2024-01-20,43.05,109.13,6.82,15.51,14.85,15.52,17.03,0.85,4.01,0.2,,,,0.34,0.14,10.43,91.36,0.42,192.01,0.0,0.0,7.48,750.0,
2024-01-21,55.19,162.75,3.92,12.51,16.91,13.53,17.16,0.94,4.23,0.23,,,,0.4,0.16,10.6,91.87,0.43,207.92,0.0,0.0,13.53,750.0,
2024-01-22,67.75,167.95,4.54,13.45,19.36,15.95,17.09,0.97,4.98,0.23,,,,0.39,0.16,11.16,84.01,0.37,133.8,0.01,0.01,28.59,750.0,
2024-01-23,71.23,188.56,4.48,13.45,19.31,17.78,17.48,1.37,3.33,0.33,,,,0.55,0.22,9.98,91.54,0.44,192.0,0.0,0.0,35.39,749.98,
2024-01-24,52.62,146.1,2.6,11.49,14.7,21.39,17.64,1.28,5.51,0.3,,,,0.52,0.21,10.69,88.76,0.38,169.08,0.0,0.0,24.58,750.0,
2024-01-25,90.08,219.4,2.54,11.44,14.75,28.55,19.42,2.12,6.28,0.51,,,,0.85,0.34,12.08,87.48,0.37,169.22,0.0,0.0,37.25,750.0,
2024-01-26,61.65,153.93,2.5,11.34,14.58,29.93,19.13,1.62,3.42,0.39,,,,0.65,0.26,12.77,87.54,0.36,154.16,0.0,0.0,30.84,750.0,
2024-01-27,59.35,159.89,5.97,15.24,15.9,23.34,19.5,1.61,4.39,0.39,,,,0.65,0.26,12.01,88.62,0.38,146.27,0.0,0.0,24.45,750.0,
2024-01-28,51.12,134.32,2.5,11.27,14.5,26.11,19.64,1.39,3.51,0.33,,,,0.55,0.22,14.28,86.17,0.58,78.72,0.0,0.0,33.0,750.0,
2024-01-29,55.97,157.56,2.48,11.24,14.45,25.05,19.16,1.37,3.9,0.33,,,,0.55,0.22,16.0,82.02,0.48,108.35,0.0,0.0,34.81,749.81,
2024-01-30,64.85,196.66,2.47,11.22,14.42,27.36,19.85,1.56,8.07,0.37,,,,0.62,0.25,16.3,82.48,0.25,119.46,0.0,0.0,33.34,749.78,
2024-01-31,55.63,150.38,2.51,11.34,14.59,23.5,19.79,1.49,5.75,0.36,,,,0.6,0.24,17.67,79.5,0.28,113.77,0.0,0.0,38.55,749.41,
2024-02-01,41.2,122.22,2.52,11.32,14.58,23.44,18.91,0.96,7.87,0.23,,,,0.38,0.15,17.64,79.07,0.64,108.12,0.0,0.0,31.95,749.39,
2024-02-02,30.8,101.46,3.47,12.28,16.91,19.4,18.5,0.8,6.7,0.19,,,,0.32,0.13,17.02,77.53,0.51,211.1,0.0,0.0,39.74,749.96,
2024-02-03,34.06,109.93,2.62,11.46,14.86,12.81,17.45,0.75,4.68,0.18,,,,0.3,0.12,18.23,62.87,0.58,207.38,0.0,0.0,43.32,749.92,
2024-02-04,31.49,92.57,2.64,11.45,14.89,12.53,17.56,0.75,3.96,0.18,,,,0.3,0.12,16.68,75.26,0.48,137.81,0.08,0.08,15.04,749.88,
2024-02-05,20.46,50.51,2.64,11.42,14.86,13.76,17.39,0.67,3.94,0.16,,,,0.27,0.11,16.79,95.72,0.42,155.51,0.26,0.26,18.32,749.96,
2024-02-06,32.89,91.95,2.64,11.49,14.92,13.61,17.84,0.87,3.54,0.21,,,,0.35,0.14,15.44,90.68,0.42,196.31,0.0,0.0,27.62,750.0,
2024-02-07,27.54,84.08,2.62,15.17,18.44,13.79,17.76,0.67,7.37,0.16,,,,0.27,0.11,15.97,67.96,0.62,215.53,0.0,0.0,50.4,750.0,
2024-02-08,34.59,86.38,2.63,17.56,20.74,11.87,17.65,0.63,5.78,0.15,,,,0.25,0.1,15.62,66.52,0.74,217.9,0.0,0.0,53.12,749.93,
2024-02-09,41.38,105.24,2.62,17.57,20.76,11.55,18.0,0.77,4.91,0.19,,,,0.31,0.12,15.57,67.02,0.4,167.99,0.0,0.0,53.46,750.0,
2024-02-10,67.44,170.97,2.62,17.57,20.73,12.15,19.18,1.35,4.35,0.32,,,,0.54,0.22,16.27,71.99,0.37,162.16,0.0,0.0,51.78,750.0,
