Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2018-01-01 00:00:00,167.02,NA,7.52,33.86,23.00,NA,8.51,3.42,136.80,1.95,1.20,NA,NA,NA,NA,21.01,72.60,0.54,348.00,0.00,0.00,26.96,750.13,-0.31
2018-01-02 00:00:00,258.73,NA,61.91,39.96,68.17,NA,8.51,1.96,157.81,4.46,2.74,NA,NA,NA,NA,20.16,70.74,0.97,214.87,0.00,0.00,40.17,750.14,-0.36
2018-01-03 00:00:00,213.13,NA,7.68,29.87,17.95,NA,8.63,2.74,95.03,2.19,0.96,NA,NA,NA,NA,18.97,73.20,2.11,4.00,0.00,0.00,47.25,750.43,-0.46
2018-01-04 00:00:00,239.83,NA,22.15,39.13,32.75,NA,8.41,3.35,34.62,3.73,2.02,NA,NA,NA,NA,19.62,68.41,0.81,4.00,0.00,0.00,49.13,750.94,-0.31
2018-01-05 00:00:00,230.24,NA,14.09,36.37,29.12,NA,8.44,3.00,22.70,2.24,0.93,NA,NA,NA,NA,16.50,74.13,0.93,4.00,0.00,0.00,33.40,750.90,-0.32
2018-01-06 00:00:00,210.30,NA,30.16,40.44,41.21,NA,8.42,3.29,34.99,3.12,1.85,NA,NA,NA,NA,14.01,67.02,1.12,4.00,0.00,0.00,78.41,750.70,-0.33
2018-01-07 00:00:00,302.20,NA,7.65,24.95,13.67,NA,8.44,2.74,43.08,5.03,3.35,NA,NA,NA,NA,14.00,66.43,1.18,4.00,0.00,0.00,65.69,751.77,-0.43
2018-01-08 00:00:00,318.72,NA,29.73,37.62,9.34,NA,8.52,3.53,38.91,4.57,3.87,NA,NA,NA,NA,14.48,66.28,0.66,4.00,0.00,0.00,74.47,752.74,-0.31
2018-01-09 00:00:00,255.67,NA,21.81,33.90,33.86,NA,8.41,2.92,40.17,3.14,1.79,NA,NA,NA,NA,13.31,73.97,0.71,4.00,0.00,0.00,43.29,754.12,-0.32
2018-01-10 00:00:00,256.99,NA,21.68,35.73,34.00,NA,8.38,3.79,50.57,3.86,2.58,NA,NA,NA,NA,13.52,72.09,0.83,4.00,0.00,0.00,50.03,753.40,-0.32
