Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,298.76,392.04,7.86,36.12,25.67,58.06,8.99,1.68,24.35,NA,NA,NA,NA,NA,NA,10.32,73.37,0.49,241.63,NA,0.00,20.52,742.00,NA
2022-01-02 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-03 00:00:00,245.96,350.61,2.65,52.83,30.26,63.21,20.18,1.92,85.38,NA,NA,NA,NA,NA,NA,20.93,54.22,0.82,282.94,NA,0.00,45.58,741.00,NA
2022-01-04 00:00:00,263.27,359.80,7.67,50.74,33.28,71.72,17.65,1.90,32.10,NA,NA,NA,NA,NA,NA,17.68,64.98,0.60,216.08,NA,0.00,27.69,741.00,NA
2022-01-05 00:00:00,259.33,323.84,9.73,40.67,29.58,68.53,14.61,2.00,15.64,NA,NA,NA,NA,NA,NA,16.02,76.73,1.14,135.09,NA,0.00,14.23,741.00,NA
2022-01-06 00:00:00,86.43,123.01,9.90,26.92,22.38,46.60,10.20,1.17,30.23,NA,NA,NA,NA,NA,NA,18.01,75.58,1.14,142.53,NA,0.00,30.11,741.01,NA
2022-01-07 00:00:00,86.22,110.64,4.68,23.02,16.07,46.99,7.24,0.89,30.04,NA,NA,NA,NA,NA,NA,18.14,75.76,1.64,138.78,NA,0.00,21.96,741.00,NA
2022-01-08 00:00:00,67.56,84.00,5.17,22.38,16.13,42.60,10.04,0.80,27.58,NA,NA,NA,NA,NA,NA,17.50,81.99,1.98,140.48,NA,0.00,13.61,741.00,NA
2022-01-09 00:00:00,24.88,34.75,3.68,19.37,13.33,35.89,8.83,0.60,44.89,NA,NA,NA,NA,NA,NA,16.74,78.15,2.09,174.32,NA,0.00,26.65,741.00,NA
2022-01-10 00:00:00,52.88,71.23,3.98,20.45,14.14,34.07,10.08,0.72,49.10,NA,NA,NA,NA,NA,NA,15.90,74.48,1.25,260.52,NA,0.00,37.30,741.00,NA
2022-01-11 00:00:00,71.09,95.32,5.70,20.82,15.74,34.02,5.12,0.89,25.98,NA,NA,NA,NA,NA,NA,12.35,79.32,1.59,290.94,NA,0.00,27.70,741.00,NA
2022-01-12 00:00:00,94.94,131.21,3.70,21.78,14.62,33.58,12.58,0.89,35.81,NA,NA,NA,NA,NA,NA,13.51,74.82,0.84,267.04,NA,0.00,33.17,741.00,NA
2022-01-13 00:00:00,132.56,184.82,4.74,26.02,17.73,35.03,11.62,1.07,34.70,NA,NA,NA,NA,NA,NA,13.51,75.99,1.02,240.99,NA,0.00,36.31,741.00,NA
2022-01-14 00:00:00,128.06,189.33,5.14,26.20,18.14,34.67,8.18,1.11,30.64,NA,NA,NA,NA,NA,NA,11.59,78.09,0.99,243.72,NA,0.00,30.29,741.07,NA
2022-01-15 00:00:00,105.28,176.55,3.89,20.78,14.25,33.51,6.09,0.86,34.32,NA,NA,NA,NA,NA,NA,10.22,77.58,1.04,253.99,NA,0.00,21.32,741.30,NA
2022-01-16 00:00:00,123.24,187.09,4.97,21.54,15.50,33.11,6.86,0.96,31.77,NA,NA,NA,NA,NA,NA,10.00,73.31,1.09,210.76,NA,0.00,24.07,741.37,NA
2022-01-17 00:00:00,237.25,374.76,11.48,36.93,29.03,40.57,11.80,1.56,20.33,NA,NA,NA,NA,NA,NA,10.25,73.18,0.41,203.07,NA,0.00,20.29,741.75,NA
2022-01-18 00:00:00,182.73,275.15,7.71,31.19,22.89,40.32,6.20,1.34,17.13,NA,NA,NA,NA,NA,NA,10.63,75.52,1.16,254.33,NA,0.00,37.75,741.11,NA
2022-01-19 00:00:00,167.19,239.51,3.89,21.77,14.78,39.09,7.88,0.98,39.05,NA,NA,NA,NA,NA,NA,11.91,69.75,1.08,228.75,NA,0.00,44.22,741.00,NA
2022-01-20 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2022-01-21 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
