Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,144.92,213.16,39.56,28.28,79.48,43.04,17.35,1.85,26.77,0.00,NA,NA,NA,NA,NA,12.74,74.75,0.69,181.62,0.00,0.22,8.51,749.72,NA
2022-01-02 00:00:00,165.68,225.00,62.74,31.59,114.19,35.51,13.63,2.37,20.46,0.00,NA,NA,NA,NA,NA,12.61,77.57,0.70,185.55,0.00,0.46,8.59,748.97,NA
2022-01-03 00:00:00,158.67,209.93,18.77,28.94,51.58,40.86,13.16,1.86,22.91,0.00,NA,NA,NA,NA,NA,14.00,74.79,0.79,218.73,0.00,0.12,8.67,747.67,NA
2022-01-04 00:00:00,141.66,187.42,10.49,22.62,34.59,53.52,17.98,1.54,44.93,0.00,NA,NA,NA,NA,NA,15.93,73.96,0.55,170.66,0.01,1.39,8.83,747.06,NA
2022-01-05 00:00:00,159.36,189.47,9.83,19.40,30.81,81.16,19.71,1.70,51.75,0.00,NA,NA,NA,NA,NA,14.15,87.74,0.96,115.59,0.02,1.52,9.08,746.27,NA
2022-01-06 00:00:00,80.64,93.31,7.24,12.14,20.78,94.02,23.10,1.07,35.61,0.00,NA,NA,NA,NA,NA,14.82,85.68,1.29,127.32,0.00,0.19,9.46,746.16,NA
2022-01-07 00:00:00,47.43,67.05,6.20,10.21,17.62,70.75,20.09,0.87,44.02,0.00,NA,NA,NA,NA,NA,16.40,89.33,1.69,150.04,0.01,0.65,9.54,746.29,NA
2022-01-08 00:00:00,26.88,33.87,7.46,9.25,18.50,88.14,24.61,0.61,31.57,0.00,NA,NA,NA,NA,NA,16.72,90.65,1.72,141.07,0.03,3.03,10.21,745.39,NA
2022-01-09 00:00:00,37.28,47.07,7.12,9.10,17.89,74.13,25.00,0.65,31.23,0.00,NA,NA,NA,NA,NA,15.56,89.75,1.39,124.76,0.01,1.04,10.58,744.94,NA
2022-01-10 00:00:00,50.19,63.10,5.12,9.05,14.93,38.39,20.88,0.65,35.03,0.00,NA,NA,NA,NA,NA,12.99,84.77,1.14,145.92,0.01,0.51,10.61,746.99,NA
2022-01-11 00:00:00,56.80,73.52,5.66,12.61,19.02,34.40,19.23,0.79,43.95,0.00,NA,NA,NA,NA,NA,12.56,82.10,1.16,171.52,0.00,0.27,10.83,747.05,NA
2022-01-12 00:00:00,59.66,86.65,6.33,11.21,18.69,30.11,17.44,0.69,34.52,0.00,NA,NA,NA,NA,NA,11.15,86.22,0.90,188.26,0.00,0.20,10.89,746.99,NA
2022-01-13 00:00:00,74.35,95.05,8.42,11.97,22.23,30.23,16.67,0.96,32.01,0.00,NA,NA,NA,NA,NA,11.08,83.75,0.74,182.97,0.01,0.52,10.97,746.95,NA
2022-01-14 00:00:00,86.19,108.01,6.09,10.58,17.80,33.58,16.51,1.32,31.59,0.00,NA,NA,NA,NA,NA,9.63,91.93,0.74,86.60,0.00,0.07,11.06,747.48,NA
2022-01-15 00:00:00,68.08,100.55,5.22,10.83,16.84,48.17,20.90,1.11,30.92,0.00,NA,NA,NA,NA,NA,11.00,86.58,1.06,82.29,0.00,0.28,11.09,748.60,NA
2022-01-16 00:00:00,69.05,102.07,5.90,11.08,17.99,48.45,22.29,0.85,30.29,0.00,NA,NA,NA,NA,NA,9.99,85.73,0.88,171.37,0.00,0.31,11.17,749.08,NA
2022-01-17 00:00:00,95.63,131.71,4.86,13.83,19.03,39.38,18.48,1.09,30.10,0.00,NA,NA,NA,NA,NA,9.19,87.63,0.83,198.57,0.00,0.23,11.25,749.60,NA
2022-01-18 00:00:00,87.82,114.30,8.22,11.94,21.93,45.06,20.24,1.35,32.26,0.00,NA,NA,NA,NA,NA,8.06,93.97,0.89,199.97,0.00,0.30,11.31,748.09,NA
2022-01-19 00:00:00,93.99,139.35,7.45,15.68,24.22,41.00,17.47,1.49,35.43,0.00,NA,NA,NA,NA,NA,8.98,91.84,0.75,197.52,0.00,0.20,11.38,746.05,NA
2022-01-20 00:00:00,72.76,130.05,5.17,14.81,20.33,51.34,17.86,1.60,40.59,0.00,NA,NA,NA,NA,NA,10.64,91.89,0.87,110.23,0.00,0.24,11.44,742.77,NA
2022-01-21 00:00:00,80.79,121.21,4.70,11.62,16.82,48.23,16.00,1.59,39.79,0.00,NA,NA,NA,NA,NA,12.87,87.00,0.90,134.59,0.01,1.43,11.63,742.76,NA
2022-01-22 00:00:00,71.65,87.79,3.57,9.86,13.71,35.83,14.65,1.26,33.04,0.00,NA,NA,NA,NA,NA,14.23,86.58,2.14,140.37,0.02,1.67,12.10,739.42,NA
2022-01-23 00:00:00,76.64,104.36,6.27,8.90,16.55,56.38,19.05,0.96,34.25,0.00,NA,NA,NA,NA,NA,13.29,89.23,0.85,127.34,0.10,9.21,14.32,741.12,NA
2022-01-24 00:00:00,58.57,76.68,11.94,9.74,25.08,45.66,18.32,1.01,33.99,0.00,NA,NA,NA,NA,NA,12.35,84.84,0.70,144.14,0.01,1.02,14.68,744.23,NA
2022-01-25 00:00:00,69.44,90.81,6.47,11.38,19.05,32.22,16.69,1.07,35.27,0.00,NA,NA,NA,NA,NA,9.40,91.30,1.07,143.12,0.00,0.00,14.82,745.04,NA
2022-01-26 00:00:00,60.21,110.66,10.53,17.46,30.02,38.81,20.79,1.04,37.29,0.00,NA,NA,NA,NA,NA,10.59,86.84,0.99,194.95,0.00,0.28,14.84,745.66,NA
2022-01-27 00:00:00,55.34,89.04,5.08,12.46,18.11,37.20,21.09,0.80,33.62,0.00,NA,NA,NA,NA,NA,12.43,79.79,1.11,219.80,0.00,0.00,14.89,746.43,NA
2022-01-28 00:00:00,38.27,68.57,5.00,12.49,18.01,35.06,22.07,0.65,28.67,0.00,NA,NA,NA,NA,NA,13.03,67.08,1.20,245.81,0.00,0.22,14.92,746.48,NA
2022-01-29 00:00:00,58.35,106.64,10.35,20.64,32.62,30.60,21.31,0.90,27.25,0.00,NA,NA,NA,NA,NA,14.57,64.56,0.80,226.11,0.00,0.23,14.98,746.42,NA
2022-01-30 00:00:00,44.56,84.09,7.96,17.59,26.63,24.19,15.53,0.86,31.97,0.00,NA,NA,NA,NA,NA,15.98,62.61,1.26,246.32,0.01,0.61,15.09,743.10,NA
