Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,40.75,93.39,4.09,26.11,30.77,8.68,15.45,0.5,4.95,0.1,,,,0.05,0.3,12.99,88.98,0.45,158.93,0.0,0.0,24.97,,
2024-01-02,,144.93,24.88,31.01,65.7,8.87,16.08,1.68,5.36,0.34,,,,0.17,1.01,15.75,83.19,0.3,191.7,0.0,0.0,41.29,,
2024-01-03,,113.84,18.88,30.52,56.52,8.78,16.01,1.45,5.17,0.29,,,,0.15,0.87,16.1,90.32,0.39,197.94,0.0,0.0,20.33,,
2024-01-04,26.02,84.85,14.01,27.21,46.27,8.57,15.99,1.2,5.18,0.24,,,,0.13,0.72,16.61,91.93,0.44,205.5,0.0,0.0,24.64,,
2024-01-05,21.01,68.14,4.3,21.84,27.03,8.56,15.83,0.58,5.12,0.12,,,,0.06,0.35,16.52,92.52,0.4,206.76,0.0,0.0,10.82,,
2024-01-06,17.98,59.91,4.77,25.52,30.8,9.38,16.14,0.44,13.01,0.09,,,,0.05,0.27,18.81,88.14,0.41,217.77,0.0,0.0,23.51,,
2024-01-07,16.88,58.15,2.96,21.6,24.84,8.93,16.25,0.28,16.3,0.05,,,,0.03,0.18,18.23,86.88,0.38,187.86,0.0,0.0,22.77,,
2024-01-08,16.5,60.71,9.11,28.36,40.23,9.44,15.9,0.5,17.95,0.1,,,,0.06,0.31,17.9,85.53,0.32,175.85,0.0,0.0,55.77,,
2024-01-09,18.03,63.53,8.57,29.06,40.1,9.49,15.53,0.49,19.54,0.1,,,,0.05,0.3,18.38,83.77,0.41,182.4,0.0,0.0,58.17,,
2024-01-10,14.16,45.64,1.56,19.52,20.82,8.75,15.4,0.1,15.89,0.02,,,,0.01,0.08,17.3,79.79,0.89,225.23,0.0,0.0,58.65,,
2024-01-11,14.68,49.67,5.51,25.06,31.84,9.21,15.76,0.31,14.03,0.06,,,,0.08,0.34,14.08,84.62,0.47,203.52,0.0,0.0,47.17,,
2024-01-12,20.61,68.7,3.86,26.1,30.42,9.43,15.79,0.46,9.95,0.09,,,,0.05,0.28,12.38,89.48,0.48,220.91,0.0,0.0,36.91,,
2024-01-13,19.54,64.73,2.13,25.67,27.48,9.5,15.94,0.43,16.18,0.09,,,,0.04,0.26,13.18,84.06,0.62,206.85,0.0,0.0,62.08,,
2024-01-14,20.55,66.26,1.97,24.25,25.92,9.31,15.89,0.5,8.17,0.1,,,,0.05,0.3,11.98,90.66,0.55,182.9,0.0,0.0,33.27,,
2024-01-15,23.75,75.09,3.26,22.78,26.38,9.17,15.97,0.49,17.5,0.1,,,,0.05,0.3,12.45,81.55,0.49,223.4,0.0,0.0,45.59,,
2024-01-16,24.07,80.27,1.64,24.38,25.56,9.4,16.13,0.64,9.27,0.13,,,,0.07,0.38,11.32,87.77,0.49,195.66,0.0,0.0,39.64,,
2024-01-17,17.75,63.4,1.17,17.73,18.55,8.72,16.18,0.36,12.4,0.07,,,,0.04,0.22,11.16,87.53,0.61,134.27,0.0,0.0,15.43,,
2024-01-18,16.88,61.37,3.8,22.16,26.58,9.09,16.17,0.67,13.25,0.13,,,,0.07,0.4,11.64,84.26,0.4,235.48,0.0,0.0,13.51,,
2024-01-19,19.04,66.16,2.19,21.8,23.9,9.06,16.61,0.62,18.52,0.12,,,,0.06,0.37,11.89,78.16,0.49,225.48,0.0,0.0,38.05,,
2024-01-20,19.72,68.12,2.51,24.54,26.98,9.25,16.69,0.79,11.48,0.16,,,,0.08,0.47,11.54,84.06,0.49,210.72,0.0,0.0,55.32,,
2024-01-21,19.29,68.57,10.28,22.77,36.6,8.94,16.65,0.91,12.95,0.18,,,,0.09,0.54,12.08,84.04,0.56,209.56,0.0,0.0,44.36,,
2024-01-22,25.75,87.8,12.65,26.55,43.66,9.23,16.95,1.34,8.94,0.27,,,,0.14,0.8,10.82,90.12,0.36,192.65,0.0,0.0,26.67,,
2024-01-23,20.18,64.53,4.76,24.05,29.78,9.07,16.78,1.18,8.78,0.24,,,,0.12,0.71,11.32,89.37,0.51,196.15,0.0,0.0,49.5,,
2024-01-24,19.91,62.17,4.46,15.83,21.55,7.76,16.7,0.84,5.55,0.17,,,,0.09,0.5,10.43,92.88,0.49,218.23,0.0,0.0,24.51,,
2024-01-25,26.48,87.85,13.79,10.06,28.79,6.17,17.19,0.76,10.19,0.15,,,,0.11,0.57,12.33,83.86,0.43,194.93,0.0,0.0,51.99,,
2024-01-26,21.65,72.42,11.38,14.02,26.08,6.23,17.22,0.65,8.74,0.13,,,,0.07,0.39,13.89,83.39,0.4,216.62,0.0,0.0,56.61,,
2024-01-27,23.44,83.02,35.02,13.19,62.9,6.07,18.66,1.24,16.28,0.25,,,,0.19,1.08,15.54,75.25,0.44,193.53,0.0,0.0,76.48,,
2024-01-28,23.63,76.35,5.46,11.41,17.1,6.36,17.33,0.45,16.82,0.09,,,,0.06,0.31,16.18,77.26,0.4,167.01,0.0,0.0,56.32,,
2024-01-29,22.03,71.3,2.66,9.48,8.41,5.93,17.12,0.31,21.19,0.06,,,,0.04,0.22,16.63,81.42,0.46,156.31,0.0,0.0,58.97,,
2024-01-30,25.58,89.87,18.32,16.86,42.52,6.67,17.6,1.1,15.53,0.22,,,,0.11,0.66,16.98,81.01,0.33,165.02,0.0,0.0,50.53,,
2024-01-31,25.3,94.61,29.34,18.33,60.13,6.66,17.91,0.94,17.79,0.19,,,,0.12,0.66,17.78,77.78,0.24,152.14,0.0,0.0,45.61,,
2024-02-01,17.51,60.33,3.88,7.35,12.63,6.17,17.6,0.51,30.66,0.1,,,,0.1,0.56,19.68,71.44,0.55,155.57,0.0,0.0,64.86,,
2024-02-02,17.92,63.9,2.52,9.99,8.04,6.12,17.3,0.88,54.73,0.18,,,,0.09,0.53,20.09,71.82,0.77,229.65,0.0,0.0,64.89,,
2024-02-03,10.43,48.34,2.62,6.23,3.54,5.51,17.29,0.49,20.5,0.1,,,,0.05,0.29,19.46,59.84,1.17,215.59,0.0,0.0,78.7,,
2024-02-04,15.02,61.74,2.63,6.27,9.78,5.96,17.61,0.53,23.7,0.11,,,,0.05,0.32,19.99,58.31,0.59,199.8,0.0,0.0,57.66,,
2024-02-05,25.28,36.88,2.62,6.25,9.76,5.6,17.39,0.6,7.86,0.12,,,,0.06,0.36,18.63,89.34,0.54,191.63,0.0,0.0,32.9,,
2024-02-06,29.59,52.86,2.59,6.33,9.79,5.42,17.37,0.48,10.38,0.1,,,,0.05,0.29,18.91,82.53,0.63,245.46,0.0,0.0,38.46,,
2024-02-07,24.07,66.17,2.6,6.27,9.76,5.39,17.49,0.41,20.3,0.08,,,,0.04,0.25,17.56,69.29,1.0,212.08,0.0,0.0,80.78,,
2024-02-08,21.36,64.71,2.57,6.29,9.73,5.52,17.63,0.38,19.76,0.08,,,,0.04,0.23,16.46,61.76,1.2,214.11,0.0,0.0,81.33,,
2024-02-09,31.23,90.66,2.62,6.29,9.8,6.35,18.22,0.95,22.58,0.19,,,,0.1,0.57,17.16,59.72,0.46,192.83,0.0,0.0,88.63,,
