Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,89.22,191.55,2.45,5.6,4.89,24.51,12.42,1.17,13.55,0.39,0.52,0.07,,0.1,0.2,13.08,88.41,0.81,296.69,0.0,0.0,13.98,,
2024-01-02,159.59,250.06,2.58,5.53,5.03,26.69,13.14,1.77,15.49,0.44,0.63,0.19,,0.26,0.32,13.19,87.83,0.81,297.35,0.0,0.0,15.77,,
2024-01-03,141.12,252.56,2.65,5.5,5.07,27.11,12.86,1.26,14.88,0.45,0.73,0.23,,0.18,0.36,15.0,78.64,0.76,285.66,0.0,0.0,19.4,,
2024-01-04,159.45,308.33,2.58,5.51,5.03,28.33,13.41,1.47,16.69,0.42,0.7,0.26,,0.24,0.39,16.35,75.02,0.71,292.67,0.0,0.0,18.29,,
2024-01-05,182.43,346.6,2.6,5.52,5.05,30.43,13.38,1.41,15.9,0.47,0.83,0.3,,0.24,0.49,16.29,75.25,0.73,279.45,0.0,0.0,18.24,,
2024-01-06,188.38,345.36,2.49,5.61,5.01,29.5,12.84,1.38,15.15,0.44,0.74,0.24,,0.2,0.38,17.19,75.57,0.74,288.04,0.0,0.0,17.0,,
2024-01-07,164.47,320.72,2.39,5.98,4.98,27.84,12.09,1.49,14.11,0.47,0.7,0.14,,0.1,0.26,16.47,84.92,0.78,297.0,0.0,0.0,17.28,,
2024-01-08,126.64,251.56,2.52,5.73,4.98,27.38,12.07,1.24,14.16,0.38,0.54,0.09,,0.12,0.2,16.51,85.84,0.75,286.72,0.0,0.0,16.7,,
2024-01-09,145.36,259.57,2.65,5.77,5.07,28.47,12.3,1.63,17.62,0.42,0.59,0.26,,0.24,0.3,15.94,84.96,0.75,283.98,0.0,0.0,17.52,,
2024-01-10,185.32,316.44,2.42,5.77,4.97,27.8,12.77,1.32,14.48,0.53,0.85,0.21,,0.21,0.38,13.79,87.89,0.71,276.21,0.0,0.0,17.75,,
