Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,103.58,169.38,1.50,31.10,17.49,11.87,1.34,0.00,16.13,0.48,1.29,0.28,NA,0.43,0.78,14.54,77.42,0.72,275.85,0.00,0.00,24.19,NA,NA
2022-01-02 00:00:00,118.47,187.15,1.57,32.22,18.05,6.56,1.38,0.00,21.13,0.49,1.26,0.74,NA,0.64,0.76,13.43,71.49,0.81,301.59,0.00,0.00,29.09,NA,NA
2022-01-03 00:00:00,141.04,227.75,4.83,39.55,24.06,6.84,1.08,0.00,25.14,0.65,1.50,0.45,NA,0.45,1.17,12.16,74.28,0.70,304.03,0.00,0.00,33.68,NA,NA
2022-01-04 00:00:00,197.47,336.98,7.87,60.49,35.46,33.09,5.06,0.00,13.26,0.86,2.90,0.99,NA,0.97,2.27,12.43,75.31,0.66,304.66,0.00,0.00,26.94,NA,NA
2022-01-05 00:00:00,172.37,292.31,3.28,40.84,23.83,17.35,0.91,0.00,18.00,0.68,1.53,0.42,NA,0.40,1.12,11.78,80.63,0.49,259.45,0.00,0.00,28.69,NA,NA
2022-01-06 00:00:00,207.07,350.19,8.93,55.99,37.05,52.69,3.17,0.00,13.17,1.12,3.10,1.25,NA,0.97,2.68,15.03,78.21,0.44,230.17,0.00,0.00,35.03,NA,NA
2022-01-07 00:00:00,125.70,227.96,2.58,33.21,19.71,54.80,4.20,0.00,19.10,0.66,1.83,0.56,NA,0.58,1.49,20.87,68.78,0.54,273.41,0.00,0.00,50.56,NA,NA
2022-01-08 00:00:00,98.92,170.26,4.89,34.29,22.00,46.21,3.64,NA,13.37,0.59,2.11,0.77,NA,0.71,1.80,18.80,75.81,0.45,273.56,0.00,0.00,38.88,NA,NA
2022-01-09 00:00:00,101.32,167.67,2.89,31.47,19.09,43.74,6.00,NA,17.30,0.52,1.48,0.46,NA,0.53,1.05,19.28,76.21,0.46,272.00,0.00,0.00,39.96,NA,NA
2022-01-10 00:00:00,147.24,224.59,3.96,38.90,23.84,51.93,5.38,0.00,18.87,0.63,1.90,0.66,NA,1.00,1.07,22.24,71.84,0.45,268.46,0.00,0.00,44.76,NA,NA
2022-01-11 00:00:00,136.43,239.22,2.64,36.01,21.08,50.44,3.15,0.00,16.15,0.62,1.75,0.49,NA,0.83,0.82,21.35,75.28,0.46,252.92,0.00,0.00,42.41,NA,NA
2022-01-12 00:00:00,107.33,187.92,2.56,33.64,19.37,51.21,2.79,0.00,12.92,0.49,1.56,0.55,NA,0.52,1.25,21.32,71.51,0.46,232.77,0.00,0.00,35.92,NA,NA
2022-01-13 00:00:00,75.12,146.04,2.97,30.03,17.82,40.32,3.57,0.03,18.30,0.48,1.34,0.42,NA,0.66,0.84,18.71,67.01,0.56,262.94,0.00,0.00,62.66,NA,NA
2022-01-14 00:00:00,126.63,219.24,6.64,40.36,26.97,46.13,4.97,0.02,17.98,0.60,1.99,0.66,NA,0.96,1.16,18.24,58.17,0.71,300.62,0.00,0.00,57.24,NA,NA
2022-01-15 00:00:00,102.95,194.48,1.68,29.86,17.16,42.70,4.69,1.54,24.63,0.42,1.25,0.25,NA,0.70,0.79,16.95,55.98,0.74,297.12,0.00,0.00,63.79,NA,NA
2022-01-16 00:00:00,116.41,NA,0.96,22.95,13.27,42.24,3.98,1.00,19.85,0.42,1.08,0.23,NA,0.52,0.59,14.06,63.47,0.73,291.36,0.00,0.00,63.76,NA,NA
2022-01-17 00:00:00,135.41,243.67,2.61,20.88,13.37,39.80,3.30,0.02,19.88,0.49,1.32,0.27,NA,0.55,0.67,9.50,75.06,0.81,280.17,0.00,0.00,30.71,NA,NA
2022-01-18 00:00:00,133.62,222.44,4.46,25.93,17.08,39.07,2.54,1.66,16.70,0.39,1.26,0.28,NA,0.66,0.51,7.83,78.50,0.76,296.39,0.00,0.00,21.32,NA,NA
2022-01-19 00:00:00,123.27,201.00,1.28,36.30,19.69,41.65,2.57,1.71,19.50,0.47,1.09,0.28,NA,0.55,0.50,10.79,70.56,0.75,287.76,0.00,0.00,37.66,NA,NA
2022-01-20 00:00:00,152.67,259.16,1.51,43.30,23.89,47.67,2.75,2.23,15.99,0.77,1.71,0.45,NA,0.54,1.30,10.63,72.54,0.54,274.76,0.00,0.00,26.46,NA,NA
2022-01-21 00:00:00,204.64,320.46,28.73,50.97,50.47,57.49,3.44,1.29,15.42,1.55,6.21,2.18,NA,1.90,5.08,13.55,72.85,0.46,217.81,0.00,0.00,56.71,NA,NA
2022-01-22 00:00:00,176.32,328.36,3.63,56.09,32.75,60.13,2.23,1.48,15.59,1.02,3.16,0.91,NA,1.77,1.27,17.86,65.46,0.43,187.50,0.00,0.00,53.36,NA,NA
2022-01-23 00:00:00,156.00,254.82,0.36,30.05,15.88,58.37,4.20,0.52,21.39,0.58,1.77,0.47,NA,1.46,0.16,18.19,71.05,0.68,105.45,0.00,0.00,30.39,NA,NA
2022-01-24 00:00:00,117.65,243.85,4.47,45.95,27.83,45.93,7.79,1.82,23.35,0.90,2.60,1.20,NA,2.50,0.10,21.28,62.54,0.65,152.07,0.00,0.00,56.11,NA,NA
2022-01-25 00:00:00,138.55,235.29,0.67,36.86,20.14,52.98,7.03,0.53,25.24,0.90,2.60,1.20,NA,2.50,0.10,20.40,69.03,0.54,241.20,0.00,0.10,50.57,NA,NA
2022-01-26 00:00:00,80.29,157.97,0.57,26.38,14.45,39.96,3.02,0.74,35.61,NA,NA,NA,NA,NA,NA,17.38,61.47,0.67,290.69,0.00,0.00,48.47,NA,NA
2022-01-27 00:00:00,109.62,210.83,0.39,22.96,12.52,39.96,3.45,1.64,36.82,0.52,1.47,0.36,NA,1.11,0.69,12.83,58.72,0.73,255.35,0.00,0.00,65.18,NA,NA
2022-01-28 00:00:00,135.04,261.89,0.53,24.62,13.48,41.20,3.59,1.83,25.92,0.59,1.29,0.74,NA,0.84,0.49,11.70,70.24,0.65,296.20,0.00,0.00,40.26,NA,NA
2022-01-29 00:00:00,161.09,260.22,0.63,32.00,17.49,44.58,3.40,1.67,23.23,0.71,2.14,0.40,NA,1.41,0.55,11.29,71.06,0.50,269.59,0.00,0.00,56.42,NA,NA
2022-01-30 00:00:00,193.83,311.35,0.42,28.44,15.47,50.55,4.79,1.12,37.61,0.71,1.23,0.09,NA,0.58,0.04,13.30,71.40,0.41,204.33,0.00,0.00,46.92,NA,NA
