Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,123.22,171.92,1.82,15.24,9.59,24.12,10.06,0.00,26.65,0.25,0.63,1.13,NA,2.01,5.13,NA,NA,NA,NA,0.00,0.00,NA,NA,NA
2022-01-02 00:00:00,160.33,214.01,1.62,22.61,13.19,19.69,11.21,NA,33.08,0.29,0.81,1.01,NA,1.89,4.67,NA,NA,NA,NA,0.00,0.00,NA,NA,NA
2022-01-03 00:00:00,254.43,359.85,0.64,29.95,16.33,7.22,6.50,NA,23.01,0.41,1.01,1.05,NA,2.19,5.25,NA,NA,NA,NA,0.00,0.00,NA,NA,NA
2022-01-04 00:00:00,291.12,407.95,2.76,27.72,16.26,8.58,6.81,NA,21.60,0.51,1.25,0.98,NA,2.20,5.32,NA,NA,NA,NA,0.00,0.00,NA,NA,NA
2022-01-05 00:00:00,278.19,417.30,1.30,23.40,13.19,7.94,12.65,NA,25.66,0.46,1.01,0.91,NA,1.63,5.05,NA,NA,NA,NA,0.00,0.00,NA,NA,NA
2022-01-06 00:00:00,332.19,484.07,1.59,23.21,13.64,7.38,5.89,NA,23.97,0.45,1.01,0.95,NA,2.10,5.08,NA,NA,NA,NA,0.00,0.00,NA,NA,NA
2022-01-07 00:00:00,252.77,331.84,2.02,27.08,16.06,7.16,12.71,NA,21.18,0.42,1.13,0.70,NA,1.58,4.16,NA,NA,0.28,269.93,0.00,0.00,NA,NA,NA
2022-01-08 00:00:00,179.99,180.93,4.68,29.07,19.27,6.58,6.42,6.57,14.64,0.35,1.18,1.14,NA,1.97,5.20,NA,NA,0.54,283.57,0.00,0.00,NA,NA,NA
2022-01-09 00:00:00,179.76,NA,1.94,22.43,13.51,7.87,10.43,5.19,21.06,0.32,0.90,0.72,NA,1.43,4.02,NA,NA,0.47,278.52,0.00,0.00,NA,NA,NA
2022-01-10 00:00:00,263.55,NA,4.60,30.85,20.15,8.85,7.87,0.01,26.39,0.44,1.36,0.84,NA,1.78,4.48,NA,NA,0.52,275.20,0.00,0.00,NA,NA,NA
2022-01-11 00:00:00,258.62,NA,2.77,23.19,14.58,8.35,8.59,3.29,21.97,0.37,0.85,0.71,NA,1.56,4.17,NA,NA,NA,NA,0.00,0.00,NA,NA,NA
2022-01-12 00:00:00,165.93,NA,2.92,23.14,14.68,8.28,8.44,3.25,57.71,0.30,1.21,1.32,NA,2.36,6.08,27.99,75.87,0.62,223.24,0.00,0.00,46.41,NA,NA
