Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,57.82,171.83,23.77,20.89,28.71,27.10,2.16,0.94,0.84,1.59,2.09,0.09,NA,0.28,0.45,15.11,93.12,0.76,276.66,0.00,0.00,35.83,749.29,NA
2022-01-02 00:00:00,70.78,197.26,23.78,20.90,28.72,27.11,3.16,1.09,0.84,1.83,2.45,0.12,NA,0.36,0.69,15.22,82.97,0.65,244.70,0.00,0.00,113.33,750.03,NA
2022-01-03 00:00:00,118.39,354.24,19.57,17.91,25.37,22.92,3.60,1.72,13.28,3.45,2.34,0.26,NA,0.73,1.51,14.61,89.44,0.68,244.95,0.00,0.00,93.62,749.84,NA
2022-01-04 00:00:00,122.44,356.36,8.92,7.98,18.22,9.65,2.71,2.20,20.74,4.47,2.99,0.42,NA,1.08,2.39,13.17,95.77,0.22,178.72,0.00,0.00,71.53,749.62,NA
2022-01-05 00:00:00,131.03,387.74,12.30,17.51,26.91,15.83,2.77,1.95,34.00,3.98,2.22,0.27,NA,0.76,1.57,14.01,98.12,0.35,232.83,0.00,0.00,42.24,749.96,NA
2022-01-06 00:00:00,128.63,404.61,18.40,35.08,34.12,30.95,5.78,1.85,62.30,3.46,2.55,0.31,NA,0.91,1.87,16.36,90.51,0.34,208.47,0.00,0.00,94.79,751.52,NA
2022-01-07 00:00:00,97.84,249.28,15.90,33.93,24.59,45.02,7.10,1.59,48.13,2.92,3.33,0.30,NA,0.75,1.69,18.56,85.75,0.27,196.77,0.00,0.00,142.15,751.99,NA
2022-01-08 00:00:00,54.59,167.06,7.82,16.82,14.88,61.05,7.06,1.19,23.24,2.19,4.20,0.27,NA,0.68,1.57,18.88,85.42,0.28,215.82,0.00,0.00,155.36,752.10,NA
2022-01-09 00:00:00,54.24,193.03,7.78,13.04,12.25,41.33,8.05,1.04,22.40,1.58,2.87,0.17,NA,0.47,0.99,19.40,84.25,0.39,221.55,0.00,0.00,98.16,751.56,NA
2022-01-10 00:00:00,61.16,201.03,14.57,32.43,15.60,26.04,10.86,1.39,23.92,1.76,2.25,0.37,NA,0.95,2.16,19.71,87.02,0.24,191.74,0.00,0.00,125.32,751.82,NA
2022-01-11 00:00:00,88.63,247.20,3.59,18.45,7.06,21.53,6.89,1.51,16.95,3.73,4.98,0.54,NA,1.38,3.10,19.28,91.23,0.24,194.03,0.00,0.00,71.62,751.30,NA
2022-01-12 00:00:00,45.97,145.20,1.59,9.82,3.92,14.03,6.60,0.57,24.04,1.20,2.69,0.15,NA,0.42,0.88,18.68,89.99,0.34,145.37,0.16,14.80,85.25,751.43,NA
2022-01-13 00:00:00,37.48,117.88,3.30,9.24,6.74,5.71,5.51,0.95,22.37,1.53,4.11,0.27,NA,0.65,1.62,17.00,86.91,0.41,192.93,0.00,0.20,172.40,752.27,NA
2022-01-14 00:00:00,65.14,211.51,3.71,13.51,7.70,6.40,6.58,1.26,26.56,2.37,3.97,0.33,NA,0.76,1.88,16.65,84.25,0.19,172.32,0.00,0.00,130.33,751.86,NA
2022-01-15 00:00:00,66.26,197.14,2.86,8.87,5.45,5.04,5.07,0.87,24.27,1.57,3.34,0.17,NA,0.44,0.96,17.20,76.96,0.64,276.37,0.00,0.00,152.94,752.09,NA
2022-01-16 00:00:00,68.03,207.02,2.74,6.81,4.99,4.92,4.89,0.93,13.96,1.56,4.43,0.11,NA,0.34,0.56,15.27,81.60,1.10,284.73,0.00,0.00,158.10,752.13,NA
2022-01-17 00:00:00,78.10,237.56,3.11,6.46,5.83,4.96,3.99,1.20,13.75,2.04,4.26,0.12,NA,0.36,0.60,12.65,89.14,0.81,264.85,0.00,0.00,137.98,751.94,NA
2022-01-18 00:00:00,101.60,309.72,3.84,6.11,7.51,5.37,4.30,1.40,16.63,2.52,3.13,0.14,NA,0.45,0.80,11.91,94.51,0.73,256.45,0.00,0.00,83.56,751.42,NA
2022-01-19 00:00:00,97.53,268.89,3.77,5.26,7.00,4.85,4.62,1.25,17.21,2.16,2.65,0.10,NA,0.35,0.54,12.06,89.51,1.03,274.53,0.00,0.00,85.19,751.43,NA
2022-01-20 00:00:00,112.36,355.93,2.73,13.75,15.04,7.06,5.19,1.88,14.34,3.47,2.90,0.26,NA,0.74,1.46,11.77,92.20,0.40,216.82,0.00,0.40,136.59,751.93,NA
2022-01-21 00:00:00,146.78,451.57,4.25,22.41,24.29,11.44,7.84,2.84,15.23,6.11,4.41,0.69,NA,1.72,3.99,14.48,86.89,0.19,106.85,0.00,0.00,147.23,752.61,NA
2022-01-22 00:00:00,131.76,382.98,3.13,21.18,22.72,10.11,10.18,2.19,18.11,4.90,4.79,0.62,NA,1.55,3.62,16.37,81.71,0.31,102.38,0.00,0.00,121.76,754.16,NA
2022-01-23 00:00:00,79.53,222.18,1.44,16.43,18.83,6.97,14.34,1.13,18.09,2.21,2.87,0.19,NA,0.52,1.08,17.94,91.13,0.86,92.91,0.02,1.60,75.98,754.00,NA
2022-01-24 00:00:00,78.47,231.06,1.40,16.27,18.69,6.93,19.37,1.22,17.95,2.30,2.69,0.23,NA,0.77,1.38,19.01,89.06,0.73,127.07,0.00,0.00,96.63,754.08,NA
2022-01-25 00:00:00,81.95,246.71,1.00,15.10,18.67,6.23,8.17,1.28,13.87,2.15,2.88,0.16,NA,0.49,0.91,17.49,94.20,0.74,267.14,0.00,0.00,55.56,753.93,NA
2022-01-26 00:00:00,61.74,206.52,0.26,17.57,20.97,6.92,8.20,1.12,21.00,1.46,3.54,0.16,NA,0.42,0.91,16.31,76.22,0.69,244.99,0.00,0.00,134.08,754.22,NA
2022-01-27 00:00:00,63.30,222.79,0.12,16.54,20.52,6.22,6.21,1.19,23.45,1.49,3.14,0.11,NA,0.35,0.55,14.30,74.36,0.82,251.83,0.00,0.00,142.13,754.25,NA
2022-01-28 00:00:00,76.88,253.65,0.22,17.25,20.98,6.59,6.85,1.47,19.94,1.81,3.15,0.12,NA,0.41,0.65,14.50,85.55,0.74,213.63,0.00,0.00,143.56,754.25,NA
