Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,101.4,152.17,12.43,6.5,13.47,24.99,10.63,0.93,4.2,0.53,1.18,0.2,,0.18,0.45,13.06,87.3,1.2,192.26,0.0,0.0,72.13,,
2024-01-02,107.4,161.12,14.9,8.78,16.78,31.13,45.7,1.11,4.2,0.73,2.21,0.83,,0.6,1.48,15.52,82.01,1.05,171.53,0.0,0.0,81.35,,
2024-01-03,105.63,158.3,11.71,8.88,14.24,26.42,36.94,0.87,4.27,0.58,1.53,0.3,,0.25,0.72,16.0,83.17,1.46,105.23,0.0,0.0,86.95,,
2024-01-04,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-05,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-06,112.55,168.9,13.3,6.99,14.5,26.88,14.57,0.99,4.09,0.61,1.27,0.22,,0.22,0.59,,,1.09,156.93,0.0,0.0,95.41,,
2024-01-07,101.06,151.59,13.45,7.77,15.0,27.83,17.53,1.0,4.21,0.48,1.04,0.19,,0.18,0.45,,,1.0,184.76,0.0,0.0,76.15,,
2024-01-08,87.72,131.58,11.8,7.67,13.63,25.3,12.4,0.88,4.05,0.39,0.92,0.18,,0.21,0.45,,,1.1,229.16,0.0,0.0,109.92,,
2024-01-09,90.14,135.16,12.1,6.26,13.01,24.12,82.34,0.9,4.16,0.39,0.85,0.14,,0.18,0.39,,,1.07,219.53,0.0,0.0,105.73,,
2024-01-10,74.51,111.86,11.12,4.74,11.47,21.27,3.14,0.83,4.24,0.36,0.83,0.13,,0.15,0.34,,,1.49,283.79,0.0,0.0,100.57,,
2024-01-11,59.95,89.82,11.25,4.8,11.51,21.35,17.87,0.84,4.2,0.36,1.12,0.13,,0.19,0.35,,,1.45,257.78,0.0,0.0,102.42,,
2024-01-12,65.95,98.83,11.28,5.88,12.11,22.46,15.56,0.84,4.24,0.39,0.97,0.14,,0.2,0.38,,,1.37,223.33,0.0,0.0,118.79,,
2024-01-13,94.41,141.66,11.39,5.05,11.73,21.76,17.03,0.85,4.19,0.54,1.41,0.16,,0.23,0.4,,,1.44,187.28,0.0,0.0,79.66,,
2024-01-14,123.18,184.86,11.19,4.95,11.7,21.71,16.92,0.83,4.15,0.59,1.5,0.15,,0.25,0.36,,,1.56,153.88,0.0,0.0,72.29,,
2024-01-15,107.76,161.55,11.19,4.58,11.22,20.83,17.15,0.83,4.13,0.58,1.34,0.16,,0.19,0.39,,,1.33,232.98,0.0,0.0,83.44,,
2024-01-16,95.67,143.56,11.42,4.09,11.1,20.59,17.34,0.85,4.1,0.63,1.27,0.13,,0.17,0.33,,,1.27,152.7,0.0,0.0,75.84,,
