Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,30.56,78.78,16.76,29.55,30.31,7.95,14.75,0.93,24.78,0.24,,,,,,21.07,78.35,0.32,199.68,0.0,0.0,71.45,,
2024-01-02,28.74,66.7,15.62,36.08,32.8,8.67,15.73,0.85,24.42,0.35,,,,,,21.48,77.82,0.23,162.29,0.0,0.0,69.59,,
2024-01-03,45.22,205.46,26.93,39.92,43.88,8.98,13.95,0.98,24.49,0.49,,,,,,21.37,79.93,0.24,180.56,0.0,0.0,67.71,,
2024-01-04,48.7,215.88,30.69,43.35,48.69,8.78,25.09,1.0,23.95,0.51,,,,,,20.76,78.65,0.23,177.51,0.0,0.0,67.36,,
2024-01-05,43.47,196.58,32.8,43.84,50.64,9.33,20.17,1.02,25.98,0.58,,,,,,21.14,76.84,0.32,157.81,0.0,0.0,67.27,,
2024-01-06,43.15,159.88,32.97,46.02,51.92,9.01,23.81,0.95,25.56,0.66,,,,,,21.54,77.05,0.27,157.56,0.0,0.0,62.07,,
2024-01-07,50.02,226.29,35.92,43.57,53.0,9.66,23.31,0.97,22.43,0.52,,,,,,21.81,78.74,0.27,154.5,0.0,0.0,65.07,,
2024-01-08,49.36,179.8,38.63,59.7,63.6,8.65,24.72,1.05,20.29,0.5,,,,,,22.8,78.95,0.23,179.46,0.0,0.0,64.12,,
2024-01-09,49.8,158.61,25.07,50.42,47.88,8.53,20.71,1.22,25.03,0.67,,,,,,22.96,79.63,0.24,182.43,0.0,0.0,65.06,,
2024-01-10,54.5,177.17,30.8,47.73,51.07,8.85,13.09,1.34,24.66,0.8,,,,,,23.73,79.69,0.22,192.35,0.0,0.0,63.82,,
2024-01-11,35.64,138.94,34.41,36.79,48.25,9.69,8.6,0.96,18.33,0.31,,,,,,26.24,76.21,0.3,177.41,0.0,0.0,64.65,,
2024-01-12,26.24,153.5,33.06,36.71,47.13,8.51,12.35,0.68,17.31,0.19,,,,,,27.63,67.56,0.38,204.84,0.0,0.0,68.24,,
2024-01-13,31.8,191.24,39.44,41.46,54.72,8.43,15.93,0.64,18.78,0.2,,,,,,24.49,64.13,0.4,203.24,0.0,0.0,69.17,,
2024-01-14,4.43,180.02,32.09,43.51,49.9,7.81,20.32,0.69,18.49,0.2,,,,,,24.22,65.86,0.39,207.4,0.0,0.0,67.59,,
2024-01-15,10.51,174.59,36.25,42.83,52.88,8.4,15.13,0.68,20.19,0.22,,,,,,23.78,68.07,0.33,204.11,0.0,0.0,67.99,,
2024-01-16,40.18,178.44,28.09,53.64,51.98,7.7,28.69,0.82,22.6,0.45,,,,,,24.4,68.72,0.3,165.37,0.0,0.0,64.2,,
2024-01-17,41.63,139.75,33.31,49.88,54.21,8.33,14.95,1.16,15.49,1.08,,,,,,24.95,84.28,0.26,159.41,0.0,0.0,53.81,,
2024-01-18,33.12,70.4,18.77,35.02,34.77,8.19,4.73,1.29,9.75,1.14,,,,,,24.94,91.87,0.29,181.1,0.14,0.14,70.14,,
2024-01-19,19.5,41.35,13.63,28.79,27.41,7.91,8.16,1.05,13.47,0.82,,,,,,22.96,88.72,0.25,155.34,0.0,0.0,75.51,,
2024-01-20,26.5,58.2,13.28,35.29,30.52,7.74,8.86,1.17,16.14,1.19,,,,,,24.11,87.25,0.31,163.01,0.05,0.05,77.84,,
2024-01-21,20.69,55.76,16.5,43.72,37.51,8.39,8.94,0.77,19.17,0.45,,,,,,22.63,83.68,0.3,178.02,0.04,0.04,97.54,,
2024-01-22,25.94,101.16,13.8,40.18,33.49,7.59,21.03,0.7,24.54,0.48,,,,,,21.83,62.95,0.38,163.75,0.0,0.0,102.83,,
2024-01-23,34.55,159.59,41.84,47.07,59.58,9.94,10.81,0.96,8.83,0.1,,,,,,19.1,82.56,0.21,147.99,0.0,0.0,49.93,,
2024-01-24,26.94,76.29,25.58,31.82,38.57,8.91,14.88,1.17,20.64,0.86,,,,,,21.19,82.68,0.39,179.22,0.0,0.0,95.27,,
2024-01-25,24.3,113.31,17.41,37.6,35.04,8.11,8.64,0.74,18.31,0.2,,,,,,20.15,69.86,0.31,161.07,0.0,0.0,102.49,,
2024-01-26,39.19,244.93,29.84,42.94,47.8,7.82,18.13,0.64,20.13,0.24,,,,,,18.88,67.26,0.3,171.77,0.0,0.0,100.57,,
