Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,71.73,134.88,16.12,30.05,29.98,4.99,6.4,1.19,2.59,10.58,,,,,,16.87,91.19,0.11,138.71,0.0,0.0,0.0,,
2024-01-02,52.03,94.04,8.11,21.4,19.03,4.84,7.1,0.8,4.54,7.45,,,,,,20.35,72.67,0.17,161.28,0.0,0.0,86.99,,
2024-01-03,43.46,76.87,7.79,21.16,18.65,4.84,6.53,0.68,3.29,6.69,,,,,,20.29,71.16,0.18,151.18,0.0,0.0,89.75,,
2024-01-04,44.86,95.3,17.99,25.86,29.29,4.99,6.8,0.78,2.99,7.92,,,,,,20.12,71.56,0.22,128.94,0.0,0.0,81.06,,
2024-01-05,47.75,101.06,22.36,27.13,33.46,5.06,6.5,0.87,3.0,9.47,,,,,,21.07,70.61,0.23,121.97,0.0,0.0,82.47,,
2024-01-06,40.05,93.72,11.76,26.0,24.37,4.92,6.7,0.77,3.42,9.15,,,,,,20.55,71.27,0.56,83.35,0.0,0.0,69.88,,
2024-01-07,48.02,102.06,15.23,24.45,26.34,4.95,7.07,0.9,2.82,9.05,,,,,,21.2,69.32,0.68,64.39,0.0,0.0,81.29,,
2024-01-08,48.28,109.71,13.8,26.12,26.07,4.94,6.28,0.94,2.69,9.77,,,,,,21.06,70.34,0.5,95.36,0.0,0.0,83.04,,
2024-01-09,50.79,111.51,19.6,26.18,30.74,5.02,7.55,0.91,3.09,10.03,,,,,,21.71,67.82,0.4,110.95,0.0,0.0,82.39,,
2024-01-10,55.09,114.93,19.26,26.67,30.73,5.0,7.16,1.11,3.37,11.66,,,,,,22.71,69.95,0.27,179.2,0.0,0.0,63.58,,
2024-01-11,44.29,99.58,14.53,25.51,26.33,4.94,7.61,0.96,3.3,10.4,,,,,,22.96,68.61,0.56,89.91,0.0,0.0,77.76,,
2024-01-12,31.65,82.03,24.37,26.06,34.51,5.07,8.92,0.77,2.58,8.42,,,,,,22.11,65.63,0.4,116.59,0.0,0.0,88.67,,
2024-01-13,28.84,77.16,23.59,25.75,33.72,5.06,7.92,0.71,2.88,7.98,,,,,,22.01,61.59,0.34,182.29,0.0,0.0,90.0,,
2024-01-14,28.24,77.98,17.26,24.66,28.07,4.98,7.99,0.65,2.92,7.41,,,,,,21.96,61.14,0.36,144.95,0.0,0.0,87.15,,
2024-01-15,27.8,75.84,14.29,28.54,27.72,4.96,8.58,0.66,2.58,7.11,,,,,,21.64,50.52,0.6,87.15,0.0,0.0,78.74,,
2024-01-16,34.39,83.37,15.33,28.11,28.33,4.95,7.97,0.77,3.83,9.83,,,,,,21.14,55.57,0.48,123.22,0.0,0.0,87.65,,
2024-01-17,43.45,96.56,11.78,27.18,25.0,4.88,8.04,0.95,3.74,9.4,,,,,,21.62,70.51,0.31,166.91,0.0,0.0,56.31,,
2024-01-18,45.07,91.88,16.93,25.92,28.47,4.96,7.82,1.06,3.45,10.6,,,,,,21.32,80.28,0.53,119.48,0.0,0.0,40.73,,
2024-01-19,45.25,92.02,22.22,28.25,33.93,5.06,7.81,1.04,3.37,10.01,,,,,,19.17,80.39,0.95,63.58,0.0,0.0,40.47,,
2024-01-20,47.14,101.12,28.52,29.11,39.43,5.11,8.1,1.12,3.33,11.38,,,,,,18.28,81.67,0.69,62.26,0.0,0.0,12.02,,
2024-01-21,44.39,84.48,20.85,25.79,31.54,5.0,7.84,0.98,3.38,9.54,,,,,,20.13,83.3,0.52,87.69,0.03,0.02,83.37,,
2024-01-22,37.43,73.89,12.17,23.63,23.46,4.92,7.1,0.78,3.5,7.45,,,,,,20.4,70.63,0.58,69.36,0.0,0.0,90.23,,
2024-01-23,37.06,65.61,17.41,24.3,28.01,4.95,6.13,0.93,3.37,8.83,,,,,,18.18,90.8,0.96,63.54,0.0,0.0,24.47,,
