Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2020-01-01 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2020-01-02 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2020-01-03 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2020-01-04 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2020-01-05 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2020-01-06 00:00:00,93.88,206.76,74.06,11.65,60.27,111.44,70.00,1.81,24.41,NA,NA,NA,NA,NA,NA,NA,62.04,2.42,176.04,0.00,0.00,7.60,NA,NA
2020-01-07 00:00:00,76.49,121.51,17.43,16.36,33.42,75.56,28.29,0.95,43.35,11.95,120.00,1.99,NA,1.23,0.98,NA,66.29,2.95,209.11,0.00,0.00,74.43,NA,NA
2020-01-08 00:00:00,72.92,121.56,15.92,15.93,31.70,49.82,27.44,0.48,32.49,11.97,119.87,2.00,NA,1.26,1.00,NA,69.47,1.90,277.41,0.00,0.00,78.52,NA,NA
2020-01-09 00:00:00,53.80,100.82,15.72,14.35,30.05,44.81,NA,0.71,31.64,11.97,119.68,1.99,NA,1.26,1.00,NA,65.94,2.45,100.39,0.00,0.00,151.69,NA,NA
2020-01-10 00:00:00,59.17,135.69,21.80,18.57,39.33,54.39,NA,0.86,28.53,12.00,119.93,2.00,NA,1.26,1.00,NA,63.24,3.42,115.41,0.00,0.00,182.05,NA,NA
2020-01-11 00:00:00,72.73,151.14,22.93,19.69,42.54,63.53,NA,0.97,31.53,12.02,119.96,2.00,NA,1.26,1.00,NA,61.42,3.43,134.25,0.00,0.00,95.27,NA,NA
2020-01-12 00:00:00,78.97,130.51,12.30,20.32,32.62,76.07,NA,1.05,49.02,12.01,119.87,2.00,NA,1.26,1.00,NA,65.68,3.26,192.84,0.00,0.00,82.97,NA,NA
2020-01-13 00:00:00,81.14,139.27,16.81,16.92,33.61,61.78,NA,1.09,26.05,12.01,120.01,2.00,NA,1.26,1.00,NA,77.62,2.66,243.30,0.00,0.00,78.11,NA,NA
2020-01-14 00:00:00,49.41,87.84,11.29,15.95,27.23,43.70,NA,0.69,39.99,11.98,120.22,2.00,NA,1.26,1.00,NA,65.77,1.48,133.99,0.00,0.00,96.74,NA,NA
2020-01-15 00:00:00,44.13,76.48,15.93,19.60,35.47,42.88,NA,0.87,26.66,11.99,119.70,2.00,NA,1.25,1.00,NA,65.35,1.84,171.30,0.00,0.00,45.87,NA,NA
2020-01-16 00:00:00,28.52,59.74,14.30,16.15,30.38,38.18,16.28,0.68,35.23,11.98,120.06,2.00,NA,1.26,1.00,NA,62.12,2.03,268.27,0.00,0.00,96.95,NA,NA
2020-01-17 00:00:00,62.74,110.92,17.82,21.69,39.38,42.79,33.27,1.02,39.94,11.99,120.04,2.00,NA,1.26,1.00,NA,69.99,1.26,134.67,0.00,0.00,98.35,NA,NA
2020-01-18 00:00:00,83.72,129.60,22.08,22.37,42.39,49.70,52.14,1.11,36.57,12.00,119.95,2.00,NA,1.26,1.00,NA,67.61,1.80,98.67,0.00,0.00,125.68,NA,NA
2020-01-19 00:00:00,66.19,108.18,18.74,18.92,37.05,47.15,55.93,1.00,34.15,11.98,119.61,2.00,NA,1.26,1.00,NA,65.76,2.35,103.38,0.00,0.00,157.66,NA,NA
2020-01-20 00:00:00,59.78,117.68,22.77,16.87,37.65,44.59,72.11,1.18,36.22,12.03,120.13,2.00,NA,1.26,1.00,NA,67.09,2.57,108.50,0.00,0.00,125.90,NA,NA
2020-01-21 00:00:00,89.56,151.71,35.02,19.65,46.46,55.62,41.55,1.34,37.75,12.02,119.82,2.00,NA,1.26,1.00,NA,68.35,2.01,171.88,0.00,0.00,82.41,NA,NA
2020-01-22 00:00:00,80.20,125.73,18.44,20.99,39.13,45.48,39.91,1.06,38.31,11.98,120.08,2.00,NA,1.26,1.00,NA,65.27,1.47,77.08,0.00,0.00,83.51,NA,NA
2020-01-23 00:00:00,57.97,106.91,14.44,15.74,30.18,40.90,48.37,0.88,36.61,11.97,120.04,2.00,NA,1.26,1.00,NA,69.75,2.53,103.51,0.00,0.00,112.23,NA,NA
2020-01-24 00:00:00,66.57,129.13,24.47,17.46,39.30,46.17,54.18,0.99,42.03,11.99,119.76,2.00,NA,1.26,1.00,NA,64.92,2.34,121.36,0.00,0.00,118.51,NA,NA
2020-01-25 00:00:00,69.34,131.36,24.57,21.98,44.81,50.27,52.32,1.19,31.58,11.97,119.91,2.00,NA,1.26,1.00,NA,62.90,1.82,86.90,0.00,0.00,86.85,NA,NA
2020-01-26 00:00:00,63.53,125.51,20.28,17.74,37.92,49.08,40.27,1.08,34.77,11.98,120.07,2.00,NA,1.26,1.00,NA,61.31,1.99,92.01,0.00,0.00,110.39,NA,NA
2020-01-27 00:00:00,72.11,128.63,22.35,17.25,36.15,47.05,33.40,1.13,39.77,12.02,120.03,2.00,NA,1.26,1.00,NA,61.10,2.35,217.62,0.00,0.00,82.60,NA,NA
2020-01-28 00:00:00,59.78,126.16,22.55,12.57,33.90,43.54,22.64,0.98,25.69,11.98,119.69,2.00,NA,1.26,1.01,NA,70.42,2.74,260.22,0.00,0.00,57.61,NA,NA
2020-01-29 00:00:00,46.04,109.90,19.86,10.77,30.05,39.82,17.55,0.93,20.83,12.03,120.11,2.00,NA,1.26,1.00,NA,76.56,1.50,194.84,0.00,0.00,73.58,NA,NA
2020-01-30 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2020-01-31 00:00:00,48.61,103.18,9.72,17.64,27.36,46.84,25.63,0.80,70.75,12.00,120.54,2.00,NA,1.25,1.00,NA,51.82,1.63,84.24,0.00,0.00,166.43,NA,NA
2020-02-01 00:00:00,52.86,106.55,12.43,17.08,29.49,44.48,37.29,0.93,45.28,12.01,120.23,2.00,NA,1.26,1.00,NA,58.57,2.47,103.59,0.00,0.00,167.51,NA,NA
2020-02-02 00:00:00,63.33,140.95,29.68,14.71,44.02,49.13,93.02,1.19,24.84,11.97,120.04,2.00,NA,1.26,1.00,NA,63.01,3.53,121.93,0.00,0.00,148.73,NA,NA
2020-02-03 00:00:00,64.45,127.07,9.40,17.02,26.42,39.83,34.62,0.70,87.77,12.01,120.45,2.00,NA,1.26,1.00,NA,56.80,1.62,162.93,0.00,0.00,146.06,NA,NA
2020-02-04 00:00:00,63.30,113.18,16.19,17.37,33.06,41.27,32.22,0.88,45.80,11.99,120.06,2.00,NA,1.26,1.00,NA,55.79,1.52,115.37,0.00,0.00,128.82,NA,NA
2020-02-05 00:00:00,62.49,125.22,22.70,17.28,38.37,46.02,49.65,1.16,51.26,12.03,119.88,2.00,NA,1.26,1.00,NA,51.38,2.03,164.89,0.00,0.00,177.85,NA,NA
2020-02-06 00:00:00,59.31,112.99,13.84,18.81,32.54,39.67,36.65,1.05,36.42,12.01,119.99,2.00,NA,1.25,1.00,NA,58.79,1.44,103.80,0.00,0.00,58.36,NA,NA
2020-02-07 00:00:00,58.31,101.38,12.42,17.34,29.76,37.71,32.42,0.92,45.17,12.01,120.00,2.00,NA,1.26,1.00,NA,56.41,1.65,78.62,0.00,0.00,157.13,NA,NA
2020-02-08 00:00:00,56.32,111.27,10.49,16.53,27.01,44.35,62.15,0.94,56.00,11.99,120.15,1.99,NA,1.26,1.00,NA,54.69,2.88,109.26,0.00,0.00,215.62,NA,NA
2020-02-09 00:00:00,63.15,136.34,20.43,16.91,37.29,50.96,70.58,1.07,44.99,11.98,119.72,2.00,NA,1.26,1.00,NA,54.95,3.42,123.40,0.00,0.00,184.60,NA,NA
2020-02-10 00:00:00,71.98,146.59,21.00,18.72,38.15,56.18,66.29,1.16,49.28,12.02,120.09,2.00,NA,1.26,1.00,NA,59.10,2.85,112.07,0.00,0.00,78.55,NA,NA
2020-02-11 00:00:00,77.79,143.67,21.98,15.18,36.71,49.71,81.14,1.17,28.89,11.99,119.69,2.00,NA,1.26,1.00,NA,62.26,2.95,123.42,0.00,0.00,75.36,NA,NA
2020-02-12 00:00:00,77.01,146.39,21.72,16.35,37.45,57.29,79.10,1.27,35.61,12.01,119.93,2.00,NA,1.26,1.00,NA,59.81,2.50,108.92,0.00,0.00,70.04,NA,NA
2020-02-13 00:00:00,76.87,148.46,33.78,12.55,40.54,62.12,46.21,1.26,41.36,12.01,120.05,2.00,NA,1.26,1.00,NA,54.57,2.01,111.24,0.00,0.00,70.40,NA,NA
2020-02-14 00:00:00,68.07,123.11,28.50,13.89,35.50,60.52,32.74,1.12,42.99,12.02,119.91,2.00,NA,1.26,1.00,NA,55.77,1.63,126.73,0.00,0.00,72.39,NA,NA
2020-02-15 00:00:00,59.42,119.55,24.09,16.70,37.44,46.47,28.85,1.35,41.65,11.99,120.28,2.00,NA,1.26,1.00,NA,47.86,2.20,209.63,0.00,0.00,83.91,NA,NA
2020-02-16 00:00:00,75.41,143.63,15.44,17.91,32.95,47.83,55.32,1.24,46.86,11.98,119.70,2.00,NA,1.26,1.00,NA,55.66,2.66,135.40,0.00,0.00,89.13,NA,NA
2020-02-17 00:00:00,59.08,132.40,15.67,18.33,33.95,66.97,62.83,1.28,45.63,11.98,120.04,2.00,NA,1.26,1.00,NA,47.68,2.82,124.96,0.00,0.00,103.58,NA,NA
2020-02-18 00:00:00,61.13,127.88,17.20,18.52,35.29,61.10,79.43,1.24,49.80,11.97,119.95,2.00,NA,1.26,1.00,NA,45.78,2.36,125.48,0.00,0.00,113.29,NA,NA
