Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,45.15,61.51,2.97,15.39,18.36,14.43,37.72,0.29,12.54,NA,NA,NA,NA,NA,NA,18.67,69.23,0.44,0.35,0.00,0.00,NA,NA,NA
2022-01-02 00:00:00,56.28,80.11,2.98,15.42,18.40,14.48,51.84,0.88,10.84,NA,NA,NA,NA,NA,NA,19.64,78.44,0.39,0.40,0.00,0.00,NA,NA,NA
2022-01-03 00:00:00,53.70,73.92,2.98,15.37,18.36,14.56,53.20,0.85,12.09,NA,NA,NA,NA,NA,NA,20.25,77.22,0.46,0.38,0.00,0.00,NA,NA,NA
2022-01-04 00:00:00,59.52,80.73,2.99,15.54,18.52,14.46,53.50,0.80,9.63,NA,NA,NA,NA,NA,NA,20.64,77.23,0.31,0.47,0.00,0.00,NA,NA,NA
2022-01-05 00:00:00,84.74,118.73,2.98,15.39,18.37,14.53,83.64,0.78,13.18,NA,NA,NA,NA,NA,NA,21.19,79.63,0.46,0.34,0.00,0.00,NA,NA,NA
2022-01-06 00:00:00,44.45,57.00,2.96,15.14,18.10,14.46,75.67,0.56,6.64,NA,NA,NA,NA,NA,NA,17.55,94.99,0.18,0.41,0.03,3.00,NA,NA,NA
2022-01-07 00:00:00,31.28,45.52,2.98,15.41,18.39,14.41,105.27,0.50,8.63,NA,NA,NA,NA,NA,NA,18.60,81.33,0.38,0.35,0.00,0.00,NA,NA,NA
2022-01-08 00:00:00,31.10,49.10,2.98,15.35,18.33,14.46,67.04,0.38,9.98,NA,NA,NA,NA,NA,NA,17.59,71.41,0.47,0.33,0.00,0.00,NA,NA,NA
2022-01-09 00:00:00,29.27,40.79,2.98,15.47,18.45,14.42,79.62,0.33,10.37,NA,NA,NA,NA,NA,NA,14.48,67.85,0.44,0.34,0.00,0.00,NA,NA,NA
2022-01-10 00:00:00,36.19,50.03,2.97,15.28,18.25,14.41,73.34,0.39,9.46,NA,NA,NA,NA,NA,NA,13.94,68.68,0.45,0.34,0.00,0.00,NA,NA,NA
2022-01-11 00:00:00,35.84,50.18,2.97,15.26,18.23,14.49,81.96,0.43,10.32,NA,NA,NA,NA,NA,NA,14.13,65.94,0.53,0.33,0.00,0.00,NA,NA,NA
2022-01-12 00:00:00,41.02,55.78,3.00,15.95,18.95,14.54,84.46,0.19,10.49,NA,NA,NA,NA,NA,NA,13.69,66.80,0.52,0.34,0.00,0.00,NA,NA,NA
2022-01-13 00:00:00,44.27,61.70,2.98,15.38,18.36,14.36,74.26,0.06,10.38,NA,NA,NA,NA,NA,NA,13.73,63.16,0.61,0.34,0.00,0.00,NA,NA,NA
2022-01-14 00:00:00,88.84,109.12,2.97,15.21,18.18,14.42,51.31,0.11,13.27,NA,NA,NA,NA,NA,NA,13.40,63.37,0.46,0.34,0.00,0.00,NA,NA,NA
2022-01-15 00:00:00,40.11,56.12,3.00,15.47,18.47,14.45,78.30,0.15,9.49,NA,NA,NA,NA,NA,NA,13.99,64.97,0.44,0.34,0.00,0.00,NA,NA,NA
