Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2020-01-01 00:00:00,115.76,200.68,35.42,90.05,123.33,92.82,12.49,2.16,6.74,3.13,NA,NA,NA,NA,NA,NA,NA,0.41,51.16,NA,0.00,NA,NA,NA
2020-01-02 00:00:00,107.35,201.56,24.04,59.91,82.35,61.38,13.11,1.35,0.30,3.31,NA,NA,NA,NA,NA,NA,NA,0.34,125.39,NA,0.00,NA,NA,NA
2020-01-03 00:00:00,117.54,248.19,14.72,36.65,50.56,37.90,10.74,1.70,2.43,2.51,NA,NA,NA,NA,NA,NA,NA,0.34,107.38,NA,0.00,NA,NA,NA
2020-01-04 00:00:00,123.55,249.82,20.81,50.83,69.83,51.91,11.55,1.24,8.60,2.17,NA,NA,NA,NA,NA,NA,NA,0.33,144.74,NA,0.00,NA,NA,NA
2020-01-05 00:00:00,55.70,139.20,24.62,61.32,84.43,62.52,7.61,0.87,9.36,1.19,NA,NA,NA,NA,NA,NA,NA,0.43,76.94,NA,0.00,NA,NA,NA
2020-01-06 00:00:00,64.49,165.15,24.87,63.33,86.54,63.02,10.17,0.90,10.53,1.51,NA,NA,NA,NA,NA,NA,NA,0.39,105.96,NA,0.00,NA,NA,NA
2020-01-07 00:00:00,82.34,165.02,39.93,99.54,136.96,86.82,30.85,0.83,10.23,1.73,NA,NA,NA,NA,NA,NA,NA,0.43,176.07,NA,0.00,NA,NA,NA
2020-01-08 00:00:00,86.38,151.05,NA,NA,NA,NA,28.39,0.77,4.05,1.09,NA,NA,NA,NA,NA,NA,NA,0.48,306.25,NA,0.00,NA,NA,NA
2020-01-09 00:00:00,63.64,133.18,8.12,1.35,9.45,0.49,27.47,0.50,3.17,0.75,NA,NA,NA,NA,NA,NA,NA,0.46,122.48,NA,0.00,NA,NA,NA
2020-01-10 00:00:00,54.96,149.19,10.23,29.24,39.37,10.14,11.25,0.84,11.65,0.71,NA,NA,NA,NA,NA,NA,NA,0.54,40.28,NA,0.00,NA,NA,NA
2020-01-11 00:00:00,56.00,136.04,8.76,88.56,98.39,9.48,10.65,1.54,11.98,1.24,NA,NA,NA,NA,NA,NA,NA,0.46,61.88,NA,0.00,NA,NA,NA
