Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,42.60,116.41,16.74,4.92,19.80,2.00,12.54,0.49,2.88,NA,2.97,NA,NA,NA,NA,NA,71.44,0.34,159.94,0.00,0.00,80.21,NA,NA
2022-01-02 00:00:00,23.35,123.69,16.16,4.91,19.34,1.98,13.21,0.60,11.40,NA,3.00,NA,NA,NA,NA,NA,77.34,0.33,168.32,0.02,2.00,82.11,NA,NA
2022-01-03 00:00:00,25.85,120.38,16.81,4.91,19.85,2.00,12.80,0.70,6.00,NA,2.97,NA,NA,NA,NA,NA,79.80,0.25,165.96,0.07,7.00,43.63,NA,NA
2022-01-04 00:00:00,26.93,204.29,15.48,4.86,13.75,1.86,14.73,0.73,7.55,NA,2.32,NA,NA,NA,NA,NA,99.93,0.37,227.42,0.15,12.00,33.50,NA,NA
2022-01-05 00:00:00,24.69,130.86,15.63,4.91,18.49,1.93,12.96,0.63,6.77,NA,2.86,NA,NA,NA,NA,NA,NA,0.43,234.35,0.27,26.00,30.17,NA,NA
2022-01-06 00:00:00,26.25,125.81,16.99,4.92,20.01,2.00,13.16,0.56,2.84,NA,2.92,NA,NA,NA,NA,NA,94.73,0.30,206.53,0.04,4.00,63.28,NA,NA
2022-01-07 00:00:00,23.00,133.29,16.44,4.84,12.78,1.57,12.81,0.60,10.52,NA,2.76,NA,NA,NA,NA,NA,98.50,0.35,211.17,0.15,14.50,34.78,NA,NA
2022-01-08 00:00:00,20.32,168.03,16.03,4.88,11.72,1.90,14.67,0.37,8.51,NA,2.10,NA,NA,NA,NA,NA,NA,0.47,196.86,0.31,24.50,27.27,NA,NA
2022-01-09 00:00:00,20.82,118.30,17.41,4.93,20.34,2.00,13.13,NA,0.23,NA,2.38,NA,NA,NA,NA,NA,94.70,0.21,107.50,0.37,13.00,39.93,NA,NA
2022-01-10 00:00:00,22.33,193.29,17.38,4.93,20.32,2.02,12.83,0.00,5.74,NA,3.01,NA,NA,NA,NA,NA,86.07,0.30,86.52,0.27,26.00,79.47,NA,NA
