Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2019-01-01 00:00:00,NA,482.40,7.08,7.74,NA,6.64,52.78,NA,16.58,NA,NA,NA,NA,NA,NA,NA,63.18,NA,NA,NA,NA,183.44,1006.05,-1.69
2019-01-02 00:00:00,NA,395.56,7.78,8.01,NA,6.70,68.70,NA,17.56,NA,NA,NA,NA,NA,NA,NA,64.38,NA,NA,NA,NA,181.86,1006.22,-1.67
2019-01-03 00:00:00,NA,500.95,7.81,7.90,NA,6.69,93.82,NA,27.69,NA,NA,NA,NA,NA,NA,NA,60.84,NA,NA,NA,NA,180.12,1006.32,-1.70
2019-01-04 00:00:00,NA,537.61,7.57,7.71,NA,6.70,71.38,NA,26.69,NA,NA,NA,NA,NA,NA,NA,59.39,NA,NA,NA,NA,162.92,1006.55,-1.70
2019-01-05 00:00:00,NA,590.46,8.07,7.99,NA,6.73,75.72,NA,57.51,NA,NA,NA,NA,NA,NA,NA,66.09,NA,NA,NA,NA,168.74,1006.78,-1.75
2019-01-06 00:00:00,NA,494.29,7.65,7.80,NA,6.66,82.64,NA,27.25,NA,NA,NA,NA,NA,NA,NA,65.38,NA,NA,NA,NA,177.42,1006.89,-1.84
2019-01-07 00:00:00,NA,520.94,7.80,7.73,NA,6.74,83.89,NA,8.81,NA,NA,NA,NA,NA,NA,NA,65.97,NA,NA,NA,NA,165.97,1007.19,-1.79
2019-01-08 00:00:00,NA,330.51,9.78,12.05,NA,6.15,67.38,NA,14.89,NA,NA,NA,NA,NA,NA,NA,72.01,NA,NA,NA,NA,152.25,1007.11,-1.88
2019-01-09 00:00:00,200.08,275.90,9.87,10.90,NA,6.27,64.34,0.00,103.35,0.00,NA,NA,NA,NA,NA,NA,67.90,NA,NA,NA,NA,189.39,1006.92,-2.24
2019-01-10 00:00:00,135.32,212.67,10.47,11.01,NA,6.31,60.59,NA,29.35,NA,NA,NA,NA,NA,NA,NA,63.07,NA,NA,NA,NA,162.27,1006.63,-2.70
2019-01-11 00:00:00,152.84,238.36,10.60,11.18,NA,6.36,85.00,NA,12.85,NA,NA,NA,NA,NA,NA,NA,65.15,NA,NA,NA,NA,169.72,1006.67,-2.66
2019-01-12 00:00:00,165.58,260.78,10.88,11.48,NA,6.41,77.06,NA,12.44,NA,NA,NA,NA,NA,NA,NA,64.38,NA,NA,NA,NA,154.35,1006.85,-2.68
2019-01-13 00:00:00,181.03,302.57,10.69,11.68,NA,6.33,83.54,NA,19.52,NA,NA,NA,NA,NA,NA,NA,68.27,NA,NA,NA,NA,149.85,1007.41,-2.69
2019-01-14 00:00:00,154.89,269.26,9.86,10.79,NA,6.27,101.93,NA,56.38,NA,NA,NA,NA,NA,NA,NA,64.31,NA,NA,NA,NA,140.70,1008.14,-2.77
2019-01-15 00:00:00,96.46,156.16,9.74,10.81,NA,6.25,50.91,NA,115.74,NA,NA,NA,NA,NA,NA,NA,52.87,NA,NA,NA,NA,187.19,1006.95,-2.72
2019-01-16 00:00:00,106.59,178.66,10.04,10.61,NA,6.36,59.36,NA,50.29,NA,NA,NA,NA,NA,NA,NA,50.21,NA,NA,NA,NA,176.53,1006.30,-2.68
2019-01-17 00:00:00,120.53,200.74,9.99,10.68,NA,6.36,75.60,NA,39.69,NA,NA,NA,NA,NA,NA,NA,59.05,NA,NA,NA,NA,174.52,1006.45,-2.66
2019-01-18 00:00:00,114.96,189.94,9.91,10.48,NA,6.34,55.16,NA,34.07,NA,NA,NA,NA,NA,NA,NA,59.07,NA,NA,NA,NA,156.79,1006.61,-2.68
2019-01-19 00:00:00,115.23,204.83,9.96,10.39,NA,6.25,73.24,NA,90.47,NA,NA,NA,NA,NA,NA,NA,58.81,NA,NA,NA,NA,160.26,1006.82,-2.67
2019-01-20 00:00:00,126.53,222.13,9.78,10.63,NA,6.32,79.44,NA,40.76,NA,NA,NA,NA,NA,NA,NA,58.65,NA,NA,NA,NA,159.98,1007.36,-2.74
2019-01-21 00:00:00,112.21,212.69,10.16,10.56,NA,6.34,62.86,NA,54.33,0.00,NA,NA,NA,NA,NA,NA,53.46,NA,NA,NA,NA,187.52,1007.69,-2.53
2019-01-22 00:00:00,159.74,282.46,9.91,10.75,NA,6.34,97.76,0.00,33.03,0.00,NA,NA,NA,NA,NA,NA,58.33,NA,NA,NA,NA,167.23,1008.40,-2.73
2019-01-23 00:00:00,129.21,226.83,9.71,10.21,NA,6.37,112.32,NA,31.16,NA,NA,NA,NA,NA,NA,NA,56.56,NA,NA,NA,NA,167.50,1009.40,-2.89
2019-01-24 00:00:00,120.41,216.45,9.56,10.32,NA,6.30,84.80,0.00,40.46,0.00,NA,NA,NA,NA,NA,NA,63.35,NA,NA,NA,NA,142.37,1009.27,-2.77
2019-01-25 00:00:00,101.82,191.49,9.48,10.21,NA,6.36,105.73,0.00,29.79,0.00,NA,NA,NA,NA,NA,NA,57.89,NA,NA,NA,NA,145.71,1009.45,-2.83
2019-01-26 00:00:00,104.39,178.73,9.49,10.25,NA,6.35,69.23,NA,16.74,NA,NA,NA,NA,NA,NA,NA,80.83,NA,NA,NA,NA,52.77,1008.27,-2.78
2019-01-27 00:00:00,73.35,112.77,9.72,10.02,NA,6.32,42.80,NA,34.67,NA,NA,NA,NA,NA,NA,NA,66.67,NA,NA,NA,NA,155.97,1008.05,-2.78
2019-01-28 00:00:00,72.32,120.51,9.49,10.07,NA,6.30,44.42,NA,38.09,NA,NA,NA,NA,NA,NA,NA,62.18,NA,NA,NA,NA,109.99,1007.91,-2.76
2019-01-29 00:00:00,57.94,107.32,9.68,10.11,NA,6.29,39.07,NA,46.66,NA,NA,NA,NA,NA,NA,NA,43.65,NA,NA,NA,NA,201.20,1007.12,-2.70
2019-01-30 00:00:00,77.98,153.02,10.37,10.45,NA,6.40,66.61,NA,27.57,0.00,NA,NA,NA,NA,NA,NA,45.12,NA,NA,NA,NA,206.87,1006.45,-2.58
2019-01-31 00:00:00,128.17,235.17,10.10,10.33,NA,6.33,86.99,NA,28.77,NA,NA,NA,NA,NA,NA,NA,47.61,NA,NA,NA,NA,182.01,1006.80,-2.51
2019-02-01 00:00:00,115.35,210.55,10.34,10.30,NA,6.40,78.68,0.00,11.28,0.00,NA,NA,NA,NA,NA,NA,51.78,NA,NA,NA,NA,184.70,1007.88,-2.50
2019-02-02 00:00:00,90.08,181.96,9.53,10.28,NA,6.33,85.87,NA,14.40,NA,NA,NA,NA,NA,NA,NA,50.55,NA,NA,NA,NA,181.24,1007.99,-2.63
2019-02-03 00:00:00,100.72,204.64,9.76,10.05,NA,6.40,96.49,0.00,14.56,0.00,NA,NA,NA,NA,NA,NA,47.61,NA,NA,NA,NA,183.62,1008.54,-2.63
2019-02-04 00:00:00,94.44,174.71,9.50,9.92,NA,6.34,91.45,NA,16.29,NA,NA,NA,NA,NA,NA,NA,51.56,NA,NA,NA,NA,197.14,1008.37,-2.66
2019-02-05 00:00:00,99.04,172.50,9.10,10.01,NA,6.31,91.62,NA,18.25,NA,NA,NA,NA,NA,NA,NA,55.78,NA,NA,NA,NA,165.07,1008.53,-2.71
2019-02-06 00:00:00,97.94,193.73,9.61,10.12,NA,6.33,87.33,NA,15.02,NA,NA,NA,NA,NA,NA,NA,54.18,NA,NA,NA,NA,167.65,1009.16,-2.69
2019-02-07 00:00:00,120.08,240.24,9.53,10.27,NA,6.29,140.60,NA,15.25,NA,NA,NA,NA,NA,NA,NA,56.47,NA,NA,NA,NA,160.01,1010.10,-2.80
2019-02-08 00:00:00,120.88,211.06,9.58,10.60,NA,6.27,119.19,NA,18.45,NA,NA,NA,NA,NA,NA,NA,77.57,NA,NA,NA,NA,48.86,1008.81,-2.74
2019-02-09 00:00:00,63.63,117.77,9.24,10.24,NA,6.26,NA,NA,23.71,NA,NA,NA,NA,NA,NA,NA,61.42,NA,NA,NA,NA,166.73,1008.14,-2.40
2019-02-10 00:00:00,70.49,135.41,9.41,10.12,NA,6.27,NA,NA,15.70,NA,NA,NA,NA,NA,NA,NA,51.64,NA,NA,NA,NA,275.26,1007.15,-2.36
