Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2018-01-01 00:00:00,,375.3,15.11,12.56,,7.7,,0.32,1.77,,,,,,,,99.4,0.49,247.63,,,8.3,,-2.4
2018-01-02 00:00:00,,132.67,9.57,11.72,,6.89,65.51,0.41,24.95,0.0,,,,,,,48.99,0.51,229.83,,,9.27,,-3.31
2018-01-03 00:00:00,,108.46,8.37,9.8,,6.92,37.07,0.34,24.18,,,,,,,,61.43,0.66,223.86,,,126.06,,-3.13
2018-01-04 00:00:00,,163.5,,,,,51.22,0.33,27.51,,,,,,,,62.95,0.55,222.03,,,155.17,,-2.87
2018-01-05 00:00:00,,287.09,,,,,26.98,0.34,6.8,,,,,,,,91.11,0.53,219.23,,,130.16,,-2.28
2018-01-06 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-07 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-08 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-09 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-10 00:00:00,,172.07,8.41,10.85,,6.8,82.16,0.39,37.54,,,,,,,,38.5,,,,,,,-2.39
2018-01-11 00:00:00,,186.59,9.09,11.13,,6.86,54.12,0.29,47.7,,,,,,,,61.68,,,,,,,-2.22
2018-01-12 00:00:00,,264.52,9.71,12.79,,6.88,53.21,0.31,19.27,,,,,,,,81.23,,,,,,,-2.2
2018-01-13 00:00:00,,188.3,8.93,11.07,,7.02,,0.35,28.55,,,,,,,,65.91,,,,,,,-2.28
2018-01-14 00:00:00,,153.9,8.47,10.36,,6.87,,0.3,27.37,,,,,,,,62.16,,,,,,,-2.24
2018-01-15 00:00:00,,157.5,8.31,10.65,,6.87,58.91,0.33,30.2,,,,,,,,58.42,,,,,,,-2.16
2018-01-16 00:00:00,,203.75,9.57,11.79,,6.9,55.15,0.37,41.61,,,,,,,,61.69,,,,,,,-2.2
2018-01-17 00:00:00,,244.0,11.12,12.07,,6.95,57.59,0.3,26.63,,,,,,,,63.71,,,,,,,-2.18
2018-01-18 00:00:00,,162.88,9.81,11.56,,7.0,58.03,0.34,23.97,,,,,,,,63.11,,,,,,,-2.09
2018-01-19 00:00:00,,198.47,10.53,11.81,,6.98,59.36,0.31,23.34,,,,,,,,62.41,,,,,,,-2.12
2018-01-20 00:00:00,,130.83,9.75,10.92,,7.09,57.23,0.37,27.1,,,,,,,,55.0,,,,,,,-2.32
2018-01-21 00:00:00,,147.47,8.74,10.2,,7.0,58.18,0.34,24.61,,,,,,,,56.16,,,,,,,-2.21
2018-01-22 00:00:00,,248.59,12.21,13.35,,6.88,75.38,0.33,24.47,,,,,,,,59.82,,,,,,,-2.15
2018-01-23 00:00:00,,167.63,10.49,12.02,,7.08,70.07,0.33,18.72,,,,,,,,57.69,,,,,,,-2.11
2018-01-24 00:00:00,,216.71,9.87,12.12,,7.04,92.81,0.34,17.22,,,,,,,,63.99,,,,,,,-2.24
2018-01-25 00:00:00,,93.29,8.78,10.08,,7.06,46.91,0.29,18.11,,,,,,,,58.32,,,,,,,-2.26
2018-01-26 00:00:00,,122.33,9.16,10.44,,7.01,50.55,0.31,20.2,,,,,,,,55.25,,,,,,,-2.23
2018-01-27 00:00:00,,129.64,8.89,10.11,,6.94,45.8,0.36,17.95,,,,,,,,53.99,,,,,,,-2.26
2018-01-28 00:00:00,,86.95,10.08,11.28,,6.91,66.27,0.32,16.78,,,,,,,,45.47,,,,,,,-2.21
