Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,23.7,55.87,2.79,4.97,7.65,2.21,9.2,0.8,32.1,0.5,0.1,0.0,,0.5,0.1,34.11,52.11,5.44,255.42,0.0,0.0,104.09,,
2024-01-02,23.54,55.34,2.76,5.01,7.52,2.18,8.49,1.0,32.24,0.5,0.1,0.0,,0.5,0.1,34.24,52.24,5.52,255.91,0.0,0.0,120.3,,
2024-01-03,24.02,56.42,2.82,5.05,7.62,2.19,5.71,0.66,31.65,0.5,0.1,0.0,,0.5,0.1,33.65,51.65,4.91,252.53,0.01,0.01,45.34,,
2024-01-04,23.9,56.13,2.8,5.0,7.55,2.21,2.94,0.88,31.48,0.5,0.1,0.0,,0.5,0.1,33.48,51.48,4.99,253.03,0.22,0.21,42.81,,
2024-01-05,23.61,55.49,2.77,5.02,7.45,2.21,1.61,1.02,32.1,0.5,0.1,0.0,,0.5,0.1,34.1,52.1,4.5,250.18,2.63,2.33,107.26,,
2024-01-06,23.61,55.49,2.77,4.98,7.49,2.22,5.21,0.81,32.04,0.5,0.1,0.0,,0.5,0.1,34.04,52.04,5.22,254.28,0.03,0.02,104.37,,
2024-01-07,24.03,56.42,2.82,5.0,7.52,2.2,7.7,0.81,31.93,0.5,0.1,0.0,,0.5,0.1,33.93,51.93,5.14,254.3,0.18,0.14,83.59,,
2024-01-08,24.07,56.51,2.82,5.0,7.68,2.21,4.57,1.02,31.34,0.5,0.1,0.0,,0.5,0.1,33.34,51.34,4.68,251.43,0.0,0.0,52.39,,
2024-01-09,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-10,,,,,,,,,,,,,,,,,,,,,0.0,,,
2024-01-11,28.23,62.55,2.8,5.05,7.63,2.2,6.9,0.86,31.9,0.5,0.1,0.0,,0.5,0.1,33.91,51.91,5.63,256.56,0.0,0.0,98.82,,
2024-01-12,28.51,62.92,2.8,4.97,7.6,2.21,4.31,0.68,32.16,0.5,0.1,0.0,,0.5,0.1,34.16,52.16,5.47,255.87,0.0,0.0,123.82,,
2024-01-13,28.27,62.42,2.78,4.97,7.54,2.22,4.18,0.65,31.98,0.5,0.1,0.0,,0.5,0.1,33.98,51.98,5.75,257.31,0.0,0.0,90.84,,
