Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,105.78,200.98,9.10,48.32,33.10,30.89,14.34,1.64,23.38,NA,NA,NA,NA,NA,NA,13.83,75.09,0.48,132.36,0.00,0.00,119.45,725.42,NA
2022-01-02 00:00:00,123.61,241.43,27.64,46.92,47.42,35.56,13.62,2.04,24.85,NA,NA,NA,NA,NA,NA,14.56,73.64,0.47,126.31,0.00,0.00,130.66,723.88,NA
2022-01-03 00:00:00,124.67,254.94,39.94,47.59,57.78,31.75,13.92,2.34,34.88,NA,NA,NA,NA,NA,NA,14.64,64.99,0.45,163.59,0.00,0.00,123.06,722.71,NA
2022-01-04 00:00:00,120.75,226.09,38.84,50.99,58.70,31.17,12.42,2.35,31.88,NA,NA,NA,NA,NA,NA,15.39,61.89,0.46,163.56,0.00,0.00,122.97,722.14,NA
2022-01-05 00:00:00,92.98,213.51,22.51,54.61,47.35,33.29,13.30,2.09,30.17,NA,NA,NA,NA,NA,NA,17.12,63.39,0.58,176.32,0.00,0.00,125.95,720.86,NA
2022-01-06 00:00:00,77.44,138.78,1.44,24.44,14.14,31.46,15.81,0.86,55.93,NA,NA,NA,NA,NA,NA,18.35,66.18,1.35,152.42,0.00,0.00,118.30,719.81,NA
2022-01-07 00:00:00,126.92,206.06,2.69,29.64,17.95,30.88,18.23,0.74,53.31,NA,NA,NA,NA,NA,NA,17.54,68.47,0.79,126.75,0.00,0.00,119.02,720.56,NA
2022-01-08 00:00:00,75.79,135.33,2.17,27.66,16.48,25.89,8.21,0.62,49.75,NA,NA,NA,NA,NA,NA,18.32,72.06,1.03,172.57,0.02,2.30,122.84,720.08,NA
2022-01-09 00:00:00,44.79,58.12,2.66,18.71,12.12,25.39,13.83,1.27,26.30,NA,NA,NA,NA,NA,NA,16.16,87.98,0.45,146.95,0.10,9.30,54.25,718.86,NA
2022-01-10 00:00:00,43.44,98.21,6.33,27.84,19.95,25.19,14.61,0.74,20.93,NA,NA,NA,NA,NA,NA,16.34,82.30,0.63,164.77,0.00,0.00,103.71,720.17,NA
2022-01-11 00:00:00,49.58,112.95,6.57,29.97,21.23,22.00,12.08,0.96,20.50,NA,NA,NA,NA,NA,NA,14.29,85.22,0.50,111.02,0.00,0.00,75.39,720.62,NA
2022-01-12 00:00:00,55.55,122.82,5.09,32.50,21.44,21.55,8.65,0.76,23.74,NA,NA,NA,NA,NA,NA,14.70,77.25,0.57,106.74,0.00,0.00,123.48,720.43,NA
2022-01-13 00:00:00,68.22,129.03,4.26,30.17,19.52,21.84,6.60,0.70,32.97,NA,NA,NA,NA,NA,NA,14.51,72.89,0.67,107.55,0.00,0.00,128.01,720.39,NA
2022-01-14 00:00:00,102.67,169.56,4.22,32.11,20.51,25.21,6.65,0.70,28.45,NA,NA,NA,NA,NA,NA,13.71,78.83,0.59,96.72,0.00,0.00,114.37,720.03,NA
2022-01-15 00:00:00,145.04,236.02,6.81,37.80,25.59,30.14,6.98,0.94,24.55,NA,NA,NA,NA,NA,NA,12.52,84.39,0.83,112.08,0.00,0.00,87.33,721.99,NA
2022-01-16 00:00:00,88.40,147.05,3.67,39.38,23.44,25.79,7.44,1.02,29.07,NA,NA,NA,NA,NA,NA,13.36,79.69,0.63,110.86,0.00,0.00,121.60,723.36,NA
2022-01-17 00:00:00,84.44,162.00,18.99,45.99,36.31,25.14,6.42,1.45,23.93,NA,NA,NA,NA,NA,NA,12.13,80.65,0.39,112.75,0.00,0.00,119.97,724.01,NA
2022-01-18 00:00:00,63.34,128.34,11.05,42.65,31.67,23.02,8.37,1.13,24.94,NA,NA,NA,NA,NA,NA,13.32,69.99,0.54,155.91,0.00,0.00,134.90,721.82,NA
