Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2021-01-01 00:00:00,153.86,232.26,5.14,35.61,23.11,33.76,10.23,1.16,11.82,NA,NA,NA,NA,NA,NA,17.18,64.21,0.38,114.24,0.00,0.00,234.75,728.81,NA
2021-01-02 00:00:00,138.14,217.57,7.42,42.23,28.50,33.53,9.38,1.54,11.04,NA,NA,NA,NA,NA,NA,18.69,67.18,0.44,111.96,0.00,0.00,233.02,728.06,NA
2021-01-03 00:00:00,133.01,218.15,7.56,38.61,26.69,43.20,10.39,1.00,12.94,NA,NA,NA,NA,NA,NA,19.55,66.02,0.40,128.67,0.00,0.00,216.14,725.94,NA
2021-01-04 00:00:00,132.44,214.04,5.35,41.85,26.61,33.40,11.76,1.16,12.05,NA,NA,NA,NA,NA,NA,20.56,62.51,0.56,108.68,0.00,0.00,231.51,727.02,NA
2021-01-05 00:00:00,158.53,248.88,6.52,42.01,27.64,30.91,7.59,1.23,6.94,NA,NA,NA,NA,NA,NA,19.99,69.04,0.40,122.67,0.00,0.00,134.31,727.27,NA
2021-01-06 00:00:00,153.19,274.25,11.31,36.19,28.45,25.42,12.38,1.43,11.38,NA,NA,NA,NA,NA,NA,21.19,65.34,0.35,182.73,0.00,0.00,212.20,725.85,NA
2021-01-07 00:00:00,116.25,217.07,7.74,35.41,25.13,30.83,13.54,1.35,11.70,NA,NA,NA,NA,NA,NA,20.36,63.82,0.36,141.20,0.00,0.00,234.75,725.16,NA
2021-01-08 00:00:00,91.96,151.93,4.91,28.29,19.04,31.23,10.00,0.95,10.70,NA,NA,NA,NA,NA,NA,19.50,67.15,0.52,98.45,0.00,0.00,210.84,725.01,NA
2021-01-09 00:00:00,83.90,147.62,5.84,30.00,20.71,29.64,5.43,0.87,9.15,NA,NA,NA,NA,NA,NA,20.69,62.86,0.41,107.07,0.00,0.00,200.83,725.43,NA
2021-01-10 00:00:00,91.26,141.74,4.70,24.59,16.91,25.05,8.23,0.70,13.10,NA,NA,NA,NA,NA,NA,20.40,68.10,0.37,172.48,0.00,0.00,236.24,726.05,NA
2021-01-11 00:00:00,95.38,147.81,4.86,22.68,16.01,21.05,9.21,0.66,10.36,NA,NA,NA,NA,NA,NA,17.75,74.28,0.46,192.49,0.00,0.00,242.10,727.34,NA
2021-01-12 00:00:00,66.01,128.74,4.83,27.79,18.70,32.95,8.84,0.60,11.62,NA,NA,NA,NA,NA,NA,15.29,56.83,0.44,168.67,0.00,0.00,262.15,728.33,NA
2021-01-13 00:00:00,85.65,232.89,8.43,48.41,32.60,33.79,16.88,1.04,18.46,NA,NA,NA,NA,NA,NA,14.94,50.04,0.40,203.14,0.01,0.50,259.74,727.68,NA
2021-01-14 00:00:00,91.86,236.49,18.94,52.52,43.33,19.84,24.34,1.22,35.92,NA,NA,NA,NA,NA,NA,14.66,49.89,0.36,205.06,0.00,0.00,262.23,727.39,NA
2021-01-15 00:00:00,146.06,289.77,31.07,56.94,55.55,28.02,25.31,1.80,28.41,NA,NA,NA,NA,NA,NA,14.22,55.62,0.35,192.34,0.00,0.00,255.46,725.93,NA
2021-01-16 00:00:00,148.35,276.98,33.16,63.40,60.68,32.64,15.97,1.90,28.24,NA,NA,NA,NA,NA,NA,15.14,57.45,0.32,184.71,0.00,0.00,256.02,724.71,NA
2021-01-17 00:00:00,108.23,188.54,11.55,40.85,31.12,29.03,14.31,1.05,45.52,NA,NA,NA,NA,NA,NA,16.03,56.76,0.39,132.46,0.00,0.00,252.11,726.43,NA
2021-01-18 00:00:00,149.00,228.76,6.61,51.63,32.84,34.92,14.41,1.17,41.52,NA,NA,NA,NA,NA,NA,14.20,65.51,0.34,116.77,0.00,0.00,229.88,726.65,NA
2021-01-19 00:00:00,115.90,232.50,8.95,46.00,31.75,30.91,12.91,1.12,44.04,NA,NA,NA,NA,NA,NA,NA,63.24,0.68,223.88,0.00,0.00,232.40,724.24,NA
2021-01-20 00:00:00,113.23,245.98,10.07,55.39,37.64,25.22,8.41,1.22,35.67,NA,NA,NA,NA,NA,NA,NA,57.93,0.35,244.22,0.00,0.00,251.83,726.02,NA
2021-01-21 00:00:00,120.45,272.87,28.06,60.48,54.97,17.95,20.89,1.32,25.78,NA,NA,NA,NA,NA,NA,20.66,55.17,0.44,249.93,0.00,0.00,251.65,725.96,NA
2021-01-22 00:00:00,103.94,267.46,22.33,59.11,49.58,20.91,18.55,1.30,35.62,NA,NA,NA,NA,NA,NA,17.69,53.60,0.34,174.10,0.00,0.00,249.04,726.33,NA
2021-01-23 00:00:00,84.76,228.17,12.35,56.27,39.96,31.92,10.09,1.19,37.90,NA,NA,NA,NA,NA,NA,18.78,55.55,0.34,153.79,0.00,0.00,257.85,724.83,NA
2021-01-24 00:00:00,71.55,193.92,6.11,44.36,28.57,33.66,9.62,1.05,45.40,NA,NA,NA,NA,NA,NA,21.87,50.47,0.36,162.86,0.00,0.00,303.33,725.72,NA
2021-01-25 00:00:00,154.86,269.06,6.01,53.13,33.14,43.66,9.22,1.37,37.15,NA,NA,NA,NA,NA,NA,16.56,67.84,0.38,107.02,0.00,0.00,244.29,727.99,NA
2021-01-26 00:00:00,139.40,226.84,7.32,53.58,34.45,46.75,7.99,1.22,30.18,NA,NA,NA,NA,NA,NA,13.89,76.83,0.34,109.28,0.00,0.00,202.39,728.14,NA
2021-01-27 00:00:00,96.43,175.10,5.43,45.69,28.71,36.50,4.80,0.88,46.67,NA,NA,NA,NA,NA,NA,13.55,69.32,0.35,122.07,0.00,0.00,234.64,728.38,NA
2021-01-28 00:00:00,118.01,215.34,6.83,52.56,33.51,34.97,8.99,0.98,42.44,NA,NA,NA,NA,NA,NA,13.94,64.90,0.35,103.74,0.00,0.00,233.01,728.31,NA
2021-01-29 00:00:00,104.20,196.31,4.47,35.93,22.75,26.57,11.36,0.79,58.23,NA,NA,NA,NA,NA,NA,14.65,53.85,0.38,179.75,0.00,0.00,269.14,729.23,NA
2021-01-30 00:00:00,108.73,239.27,15.38,42.85,35.29,21.11,15.00,1.07,40.77,NA,NA,NA,NA,NA,NA,13.69,51.44,0.39,196.94,0.00,0.00,269.05,729.02,NA
2021-01-31 00:00:00,125.06,267.05,15.90,39.47,33.92,20.23,22.91,1.50,35.69,NA,NA,NA,NA,NA,NA,15.08,48.87,0.35,184.55,0.00,0.00,266.71,729.40,NA
2021-02-01 00:00:00,121.54,242.43,25.45,42.56,43.34,21.79,10.94,1.51,30.60,NA,NA,NA,NA,NA,NA,16.08,50.70,0.36,191.12,0.00,0.00,263.08,730.90,NA
2021-02-02 00:00:00,116.98,267.10,21.39,45.74,41.72,21.91,18.12,1.58,31.86,NA,NA,NA,NA,NA,NA,17.55,49.96,0.34,178.81,0.00,0.00,260.61,730.08,NA
2021-02-03 00:00:00,97.10,236.58,16.93,32.11,30.85,22.77,11.61,1.44,35.41,NA,NA,NA,NA,NA,NA,19.17,48.98,0.35,171.83,0.00,0.00,254.93,728.77,NA
2021-02-04 00:00:00,90.44,217.32,10.66,35.01,27.28,21.79,16.59,1.35,28.87,NA,NA,NA,NA,NA,NA,20.42,45.82,0.47,203.21,0.00,0.00,254.34,727.62,NA
2021-02-05 00:00:00,82.06,211.00,6.74,29.71,21.29,27.28,11.82,0.95,36.87,NA,NA,NA,NA,NA,NA,19.96,51.60,0.51,162.55,0.00,0.00,239.76,726.81,NA
2021-02-06 00:00:00,84.76,182.89,5.31,26.52,18.43,30.38,12.19,0.86,34.72,NA,NA,NA,NA,NA,NA,17.96,57.22,0.45,142.32,0.00,0.00,258.79,728.50,NA
2021-02-07 00:00:00,69.06,NA,8.29,32.13,23.83,20.66,21.02,0.98,34.76,NA,NA,NA,NA,NA,NA,16.54,52.93,0.37,196.06,0.00,0.00,272.22,729.73,NA
2021-02-08 00:00:00,94.33,NA,11.57,44.32,29.80,22.25,13.06,1.28,31.52,NA,NA,NA,NA,NA,NA,16.90,54.44,0.35,214.40,0.00,0.00,266.36,729.54,NA
