Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2019-01-01 00:00:00,6.31,257.95,NA,NA,NA,NA,43.30,2.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-02 00:00:00,7.08,188.44,NA,NA,NA,NA,42.70,2.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-03 00:00:00,9.56,322.67,NA,NA,NA,NA,44.36,2.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-04 00:00:00,5.25,172.06,NA,NA,NA,NA,43.10,2.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-05 00:00:00,10.63,100.29,NA,NA,NA,NA,43.39,1.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-06 00:00:00,7.96,118.40,NA,NA,NA,NA,45.02,2.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-07 00:00:00,7.67,139.87,NA,NA,NA,NA,44.06,2.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-08 00:00:00,5.16,101.65,NA,NA,NA,NA,44.92,2.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-09 00:00:00,4.99,151.76,NA,NA,NA,NA,45.02,2.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-10 00:00:00,5.19,129.87,NA,NA,NA,NA,44.84,2.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-11 00:00:00,8.20,128.33,NA,NA,NA,NA,44.90,2.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-12 00:00:00,9.43,222.51,NA,NA,NA,NA,47.49,2.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-13 00:00:00,9.88,524.72,NA,NA,NA,NA,47.66,2.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-14 00:00:00,6.68,160.23,NA,NA,NA,NA,47.66,2.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-15 00:00:00,9.36,86.11,NA,NA,NA,NA,47.50,2.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-16 00:00:00,6.16,158.10,NA,NA,NA,NA,48.09,2.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-17 00:00:00,7.29,192.23,NA,NA,NA,NA,48.93,2.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-18 00:00:00,11.44,250.85,NA,NA,NA,NA,49.79,2.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-19 00:00:00,11.31,291.86,NA,NA,NA,NA,49.20,2.90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-20 00:00:00,5.57,189.53,NA,NA,NA,NA,49.21,2.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-21 00:00:00,7.68,159.80,NA,NA,NA,NA,49.75,2.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-22 00:00:00,3.80,115.47,NA,NA,NA,NA,51.52,2.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-23 00:00:00,4.60,103.14,NA,NA,NA,NA,52.10,2.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-24 00:00:00,7.01,86.62,NA,NA,NA,NA,49.26,2.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-25 00:00:00,4.23,62.57,NA,NA,NA,NA,48.36,2.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-26 00:00:00,2.71,27.25,NA,NA,NA,NA,46.32,1.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-27 00:00:00,3.27,54.07,NA,NA,NA,NA,46.65,1.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-28 00:00:00,4.55,81.29,NA,NA,NA,NA,47.16,1.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-29 00:00:00,7.80,109.84,NA,NA,NA,NA,48.20,2.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-30 00:00:00,16.14,126.38,NA,NA,NA,NA,47.97,2.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-01-31 00:00:00,5.55,116.70,NA,NA,NA,NA,49.23,2.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-02-01 00:00:00,8.21,68.95,NA,NA,NA,NA,50.29,2.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-02-02 00:00:00,6.09,105.10,NA,NA,NA,NA,51.51,2.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-02-03 00:00:00,8.51,111.04,NA,NA,NA,NA,50.50,2.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-02-04 00:00:00,8.56,113.47,NA,NA,0.00,NA,50.58,2.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-02-05 00:00:00,7.41,100.00,NA,NA,NA,NA,50.76,2.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-02-06 00:00:00,5.19,86.67,NA,NA,NA,NA,53.58,2.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-02-07 00:00:00,4.48,86.05,NA,NA,NA,NA,54.41,2.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-02-08 00:00:00,2.71,73.10,NA,NA,NA,NA,52.83,2.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-02-09 00:00:00,1.87,67.85,NA,NA,NA,NA,51.08,1.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-02-10 00:00:00,2.29,81.60,NA,NA,NA,NA,49.49,2.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-02-11 00:00:00,15.09,96.31,NA,NA,NA,NA,50.67,2.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-02-12 00:00:00,36.23,82.52,NA,NA,NA,NA,51.53,2.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-02-13 00:00:00,28.27,92.03,NA,NA,NA,NA,53.29,2.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-02-14 00:00:00,2.86,104.40,NA,NA,NA,NA,54.28,2.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-02-15 00:00:00,1.80,36.33,NA,NA,NA,NA,55.64,2.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-02-16 00:00:00,2.28,58.70,NA,NA,NA,NA,55.59,2.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-02-17 00:00:00,2.63,77.45,NA,NA,NA,NA,55.53,2.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-02-18 00:00:00,4.06,170.78,NA,NA,NA,NA,56.06,2.60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-02-19 00:00:00,1.88,87.96,NA,NA,NA,NA,57.21,2.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-02-20 00:00:00,3.85,84.84,NA,NA,NA,NA,52.83,2.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-02-21 00:00:00,21.68,115.58,NA,NA,NA,NA,55.68,2.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-02-22 00:00:00,23.33,116.91,NA,NA,NA,NA,57.65,2.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-02-23 00:00:00,17.81,94.84,NA,NA,NA,NA,57.90,2.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-02-24 00:00:00,19.55,105.97,NA,NA,NA,NA,59.87,2.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-02-25 00:00:00,14.13,93.57,NA,NA,41.84,NA,59.86,2.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-02-26 00:00:00,1.71,82.51,NA,NA,NA,NA,60.86,2.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-02-27 00:00:00,9.42,99.57,NA,NA,NA,NA,58.70,1.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-02-28 00:00:00,1.59,66.38,NA,NA,NA,NA,58.48,2.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-03-01 00:00:00,2.62,126.02,NA,NA,NA,NA,58.78,2.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-03-02 00:00:00,1.97,99.66,NA,NA,NA,NA,58.18,2.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-03-03 00:00:00,2.36,72.79,NA,NA,NA,NA,54.30,2.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-03-04 00:00:00,2.49,107.27,NA,NA,NA,NA,44.91,2.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-03-05 00:00:00,2.74,128.05,NA,NA,NA,NA,45.68,2.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-03-06 00:00:00,1.13,101.62,NA,NA,NA,NA,45.06,2.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-03-07 00:00:00,1.05,115.83,NA,NA,NA,NA,45.04,2.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-03-08 00:00:00,1.37,114.22,NA,NA,NA,NA,44.90,2.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-03-09 00:00:00,1.04,148.17,NA,NA,NA,NA,46.20,2.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-03-10 00:00:00,1.07,106.90,NA,NA,NA,NA,45.21,2.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-03-11 00:00:00,1.07,78.45,NA,NA,NA,NA,45.43,2.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-03-12 00:00:00,1.39,138.61,NA,NA,NA,NA,45.81,2.30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-03-13 00:00:00,1.03,105.39,NA,NA,NA,NA,44.93,2.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-03-14 00:00:00,22.65,128.64,NA,NA,NA,NA,46.24,2.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2019-03-15 00:00:00,25.04,102.90,NA,NA,NA,NA,48.73,2.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
