Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,111.65,191.36,NA,35.24,NA,52.12,60.17,1.05,19.04,0.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-01-02 00:00:00,118.57,196.19,NA,34.09,NA,48.61,43.58,0.99,21.50,0.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-01-03 00:00:00,159.76,281.18,NA,35.22,NA,48.35,46.58,0.98,29.51,0.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-01-04 00:00:00,204.89,313.65,NA,37.35,NA,52.05,57.92,2.00,26.36,0.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-01-05 00:00:00,128.69,300.32,NA,34.95,NA,47.29,67.19,1.25,31.12,0.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-01-06 00:00:00,154.82,283.03,NA,34.98,NA,46.08,58.14,0.94,39.91,0.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-01-07 00:00:00,127.52,258.92,NA,32.74,NA,48.03,53.35,1.26,24.58,0.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-01-08 00:00:00,92.59,178.35,NA,29.87,NA,47.13,32.50,0.86,48.07,0.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-01-09 00:00:00,76.18,147.96,NA,29.91,NA,46.59,34.21,0.91,20.77,0.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-01-10 00:00:00,65.01,123.44,NA,25.28,NA,47.59,45.05,0.65,26.73,0.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-01-11 00:00:00,91.58,132.19,NA,22.26,NA,49.56,37.49,1.01,15.85,0.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-01-12 00:00:00,79.81,125.97,NA,23.61,NA,47.45,28.39,0.60,32.34,0.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-01-13 00:00:00,81.75,175.02,NA,35.81,NA,64.83,54.91,0.77,30.09,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-01-14 00:00:00,111.77,223.89,NA,34.85,NA,53.28,53.02,0.95,40.85,0.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-01-15 00:00:00,114.06,171.78,NA,32.70,NA,52.20,48.08,1.03,58.30,0.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-01-16 00:00:00,155.19,241.78,NA,30.26,NA,57.89,36.30,0.83,43.72,0.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-01-17 00:00:00,138.66,238.16,NA,33.86,NA,59.52,52.43,0.64,21.41,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-01-18 00:00:00,130.07,242.90,NA,33.23,NA,67.06,38.73,1.04,32.93,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-01-19 00:00:00,109.28,247.20,NA,35.30,NA,68.12,62.11,1.10,25.64,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-01-20 00:00:00,129.86,285.99,NA,35.06,NA,65.26,45.86,1.19,32.75,0.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-01-21 00:00:00,158.09,304.82,NA,38.99,NA,59.69,55.24,0.98,31.67,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-01-22 00:00:00,129.38,255.60,NA,34.28,NA,54.73,40.97,0.92,34.89,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-01-23 00:00:00,110.37,191.45,NA,30.37,NA,54.09,54.19,1.01,34.85,0.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-01-24 00:00:00,108.77,180.42,NA,30.70,NA,59.42,48.21,0.68,26.80,0.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-01-25 00:00:00,94.44,245.27,NA,31.82,NA,65.08,38.59,0.64,50.11,0.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-01-26 00:00:00,54.34,135.65,NA,31.32,NA,64.85,30.59,0.55,53.41,0.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-01-27 00:00:00,57.25,142.58,NA,33.76,NA,64.63,34.48,0.57,53.99,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-01-28 00:00:00,63.12,168.36,NA,45.10,NA,52.49,34.19,0.67,37.88,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-01-29 00:00:00,76.73,207.51,NA,52.68,NA,54.78,42.05,0.85,40.35,0.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-01-30 00:00:00,69.98,201.20,NA,56.55,NA,56.84,33.20,0.86,40.59,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-01-31 00:00:00,80.52,199.25,NA,59.45,NA,54.86,27.78,0.82,42.63,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-02-01 00:00:00,88.88,279.72,NA,62.05,NA,54.71,30.17,1.01,33.76,0.40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
