Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2019-01-01 00:00:00,120.19,188.17,21.40,22.91,43.17,60.41,14.33,2.81,8.17,14.94,NA,NA,NA,NA,NA,14.47,NA,0.48,119.32,NA,NA,NA,NA,NA
2019-01-02 00:00:00,138.44,213.99,20.09,24.57,44.50,47.96,16.28,2.93,8.05,15.52,NA,NA,NA,NA,NA,15.26,NA,0.50,128.65,NA,NA,NA,NA,NA
2019-01-03 00:00:00,145.50,215.05,18.07,28.67,42.16,50.66,15.79,3.00,8.89,16.62,NA,NA,NA,NA,NA,16.00,NA,0.50,126.27,NA,NA,NA,NA,NA
2019-01-04 00:00:00,111.79,199.02,24.95,25.55,44.37,52.12,15.06,2.84,7.21,12.52,NA,NA,NA,NA,NA,15.65,NA,0.55,117.35,NA,NA,NA,NA,NA
2019-01-05 00:00:00,112.48,184.67,23.24,28.81,47.30,65.70,15.71,2.90,6.69,12.17,NA,NA,NA,NA,NA,15.74,NA,0.51,112.37,NA,NA,NA,NA,NA
2019-01-06 00:00:00,111.94,169.04,19.56,28.64,42.83,85.71,16.05,2.99,7.29,13.64,NA,NA,NA,NA,NA,16.08,NA,0.49,117.91,NA,NA,NA,NA,NA
2019-01-07 00:00:00,116.17,177.10,16.74,27.87,38.65,59.44,15.34,3.03,7.47,10.56,NA,NA,NA,NA,NA,16.46,NA,0.50,117.82,NA,NA,NA,NA,NA
2019-01-08 00:00:00,121.59,171.89,14.32,23.64,34.44,44.68,15.07,3.01,8.26,10.30,NA,NA,NA,NA,NA,16.72,NA,0.39,164.59,NA,NA,NA,NA,NA
2019-01-09 00:00:00,115.41,165.62,13.41,24.17,32.57,41.88,14.87,3.04,7.13,12.46,NA,NA,NA,NA,NA,15.59,NA,0.51,108.78,NA,NA,NA,NA,NA
2019-01-10 00:00:00,110.35,173.89,19.55,25.17,39.03,53.48,14.83,2.89,7.42,3.99,NA,NA,NA,NA,NA,15.72,NA,0.48,124.86,NA,NA,NA,NA,NA
2019-01-11 00:00:00,130.80,201.86,19.79,27.09,42.90,48.21,15.69,3.00,7.83,0.11,NA,NA,NA,NA,NA,15.80,NA,0.49,125.69,NA,NA,NA,NA,NA
2019-01-12 00:00:00,146.29,224.38,21.77,32.58,48.83,42.07,17.82,3.19,7.73,0.00,NA,NA,NA,NA,NA,16.72,NA,0.47,122.63,NA,NA,NA,NA,NA
2019-01-13 00:00:00,156.50,224.13,19.00,27.60,42.77,51.42,17.63,3.19,9.48,0.00,NA,NA,NA,NA,NA,17.67,NA,0.46,142.51,NA,NA,NA,NA,NA
2019-01-14 00:00:00,156.21,226.77,19.04,26.59,39.62,35.22,16.54,3.32,7.93,0.00,NA,NA,NA,NA,NA,18.58,NA,0.42,133.52,NA,NA,NA,NA,NA
2019-01-15 00:00:00,98.10,159.65,15.92,26.78,37.66,38.27,15.81,2.96,8.79,0.00,NA,NA,NA,NA,NA,17.12,NA,0.49,157.20,NA,NA,NA,NA,NA
2019-01-16 00:00:00,97.39,167.07,21.90,30.46,45.61,38.28,18.07,2.99,8.80,0.00,NA,NA,NA,NA,NA,15.43,NA,0.58,122.15,NA,NA,NA,NA,NA
2019-01-17 00:00:00,133.78,224.10,21.35,29.12,47.10,43.83,17.90,3.16,10.10,0.00,NA,NA,NA,NA,NA,15.91,NA,0.50,143.68,NA,NA,NA,NA,NA
2019-01-18 00:00:00,131.06,216.03,21.21,31.27,46.35,59.41,16.59,3.23,8.07,0.00,NA,NA,NA,NA,NA,16.62,NA,0.53,131.68,NA,NA,NA,NA,NA
2019-01-19 00:00:00,100.41,174.07,20.16,28.85,42.98,56.31,16.31,3.15,8.11,0.00,NA,NA,NA,NA,NA,16.69,NA,0.51,128.67,NA,NA,NA,NA,NA
2019-01-20 00:00:00,110.48,184.62,21.89,24.72,43.31,44.82,16.04,3.20,7.57,0.00,NA,NA,NA,NA,NA,17.10,NA,0.47,133.47,NA,NA,NA,NA,NA
2019-01-21 00:00:00,119.30,197.89,21.47,28.23,45.47,42.09,16.94,3.29,7.21,0.00,NA,NA,NA,NA,NA,17.88,NA,0.48,135.03,NA,NA,NA,NA,NA
2019-01-22 00:00:00,115.89,191.02,26.83,30.50,49.69,44.25,17.19,3.40,8.98,0.00,NA,NA,NA,NA,NA,18.49,NA,0.45,148.90,NA,NA,NA,NA,NA
2019-01-23 00:00:00,113.30,191.22,31.00,24.89,51.18,80.91,17.08,3.25,9.27,0.00,NA,NA,NA,NA,NA,19.28,NA,0.45,141.35,NA,NA,NA,NA,NA
2019-01-24 00:00:00,128.41,205.64,37.08,25.89,53.54,64.77,16.70,3.05,6.33,0.00,NA,NA,NA,NA,NA,19.61,NA,0.45,139.72,NA,NA,NA,NA,NA
2019-01-25 00:00:00,74.69,124.78,20.46,22.79,36.34,46.67,15.62,3.16,6.86,0.00,NA,NA,NA,NA,NA,19.53,NA,0.56,117.01,NA,NA,NA,NA,NA
2019-01-26 00:00:00,55.19,73.75,11.22,18.03,25.93,42.05,14.54,3.01,6.98,0.00,NA,NA,NA,NA,NA,16.29,NA,0.73,91.51,NA,NA,NA,NA,NA
2019-01-27 00:00:00,76.99,108.20,14.90,17.85,29.12,42.62,14.70,2.93,6.11,0.00,NA,NA,NA,NA,NA,17.30,NA,0.53,142.93,NA,NA,NA,NA,NA
2019-01-28 00:00:00,90.79,142.37,28.08,15.40,41.26,44.36,14.54,3.19,5.19,0.00,NA,NA,NA,NA,NA,17.21,NA,0.52,132.09,NA,NA,NA,NA,NA
2019-01-29 00:00:00,61.81,105.54,15.12,24.11,33.39,39.80,14.81,3.05,6.54,0.00,NA,NA,NA,NA,NA,16.76,NA,0.64,120.83,NA,NA,NA,NA,NA
