Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2021-01-01 00:00:00,68.60,108.69,11.01,20.38,31.31,23.42,23.48,0.65,21.03,NA,NA,NA,NA,NA,NA,NA,NA,1.00,126.55,NA,0.00,149.63,NA,NA
2021-01-02 00:00:00,79.68,134.77,10.79,17.78,29.08,22.38,23.89,0.87,20.81,NA,NA,NA,NA,NA,NA,NA,NA,0.94,144.37,NA,0.00,108.09,NA,NA
2021-01-03 00:00:00,52.12,81.23,12.89,23.17,35.91,25.79,26.53,0.55,20.91,NA,NA,NA,NA,NA,NA,NA,NA,0.86,119.15,NA,0.00,85.91,NA,NA
2021-01-04 00:00:00,31.53,73.17,11.52,24.37,35.89,24.64,21.98,0.71,21.90,NA,NA,NA,NA,NA,NA,NA,NA,0.86,119.95,NA,0.00,99.39,NA,NA
2021-01-05 00:00:00,21.98,49.66,12.96,26.57,39.65,25.83,30.27,0.46,17.16,NA,NA,NA,NA,NA,NA,NA,NA,1.05,93.11,NA,0.00,66.95,NA,NA
2021-01-06 00:00:00,31.22,57.23,10.78,20.13,30.91,22.05,31.13,0.40,9.50,NA,NA,NA,NA,NA,NA,NA,NA,0.99,212.27,NA,0.00,77.91,NA,NA
2021-01-07 00:00:00,34.70,62.79,10.63,20.30,30.82,26.65,33.82,0.40,9.56,NA,NA,NA,NA,NA,NA,NA,NA,1.23,251.93,NA,0.00,86.17,NA,NA
2021-01-08 00:00:00,37.66,61.24,11.73,25.50,36.91,33.65,34.50,0.33,10.99,NA,NA,NA,NA,NA,NA,NA,NA,1.02,198.36,NA,0.00,153.91,NA,NA
2021-01-09 00:00:00,37.69,73.47,11.66,25.94,37.73,29.95,33.99,0.28,11.14,NA,NA,NA,NA,NA,NA,NA,NA,1.51,295.44,NA,0.00,142.26,NA,NA
2021-01-10 00:00:00,38.95,78.06,11.59,32.67,44.26,33.28,34.89,0.18,12.17,NA,NA,NA,NA,NA,NA,NA,NA,1.38,273.76,NA,0.00,146.98,NA,NA
2021-01-11 00:00:00,33.30,70.34,11.15,23.43,34.41,26.25,27.38,0.29,11.79,NA,NA,NA,NA,NA,NA,NA,NA,1.33,284.40,NA,0.00,163.92,NA,NA
2021-01-12 00:00:00,37.31,81.68,10.09,21.22,31.02,20.93,33.68,0.50,17.15,NA,NA,NA,NA,NA,NA,NA,NA,1.20,254.65,NA,0.00,187.15,NA,NA
2021-01-13 00:00:00,62.18,122.76,9.80,23.18,33.19,22.40,31.60,0.58,25.42,NA,NA,NA,NA,NA,NA,NA,NA,0.95,163.77,NA,0.00,160.68,NA,NA
2021-01-14 00:00:00,59.21,117.02,10.40,25.91,36.31,24.04,23.70,0.56,26.40,NA,NA,NA,NA,NA,NA,NA,NA,1.14,126.37,NA,0.00,186.79,NA,NA
