Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,139.46,262.06,13.03,23.15,36.18,25.90,19.56,0.70,25.54,6.18,NA,NA,NA,NA,NA,NA,43.17,0.63,234.95,0.00,0.00,842.32,NA,NA
2022-01-02 00:00:00,155.91,295.13,13.03,23.15,36.18,25.90,17.83,0.73,23.94,6.68,NA,NA,NA,NA,NA,NA,43.20,0.72,261.69,0.00,0.00,839.96,NA,NA
2022-01-03 00:00:00,104.56,214.88,13.02,23.15,36.17,25.90,34.70,0.83,25.26,6.96,NA,NA,NA,NA,NA,NA,43.21,0.67,251.26,0.00,0.00,849.21,NA,NA
2022-01-04 00:00:00,54.31,117.95,12.99,23.15,36.13,25.90,17.56,0.55,26.74,6.60,NA,NA,NA,NA,NA,NA,43.24,0.64,256.32,0.00,0.00,790.49,NA,NA
2022-01-05 00:00:00,32.78,71.49,13.05,23.15,36.20,25.90,5.96,0.44,27.44,5.79,NA,NA,NA,NA,NA,NA,43.10,1.40,153.17,0.12,10.90,335.33,NA,NA
2022-01-06 00:00:00,19.98,43.24,12.97,23.12,36.09,25.91,6.57,0.30,28.14,5.97,NA,NA,NA,NA,NA,NA,43.12,1.44,153.58,0.01,1.10,347.65,NA,NA
2022-01-07 00:00:00,30.76,63.59,13.03,23.15,36.17,25.90,8.65,0.29,30.70,6.22,NA,NA,NA,NA,NA,NA,56.03,2.37,127.18,0.02,1.30,324.17,NA,NA
2022-01-08 00:00:00,22.90,52.83,12.97,23.15,36.12,25.90,4.12,0.25,32.35,5.45,NA,NA,NA,NA,NA,NA,67.01,3.39,122.22,0.20,13.10,357.14,NA,NA
2022-01-09 00:00:00,33.11,82.36,12.80,23.13,35.93,25.91,6.36,0.24,31.71,5.16,NA,NA,NA,NA,NA,NA,61.59,0.64,255.25,0.00,0.10,323.68,NA,NA
2022-01-10 00:00:00,92.02,218.20,12.96,23.15,36.11,25.90,4.89,0.41,35.50,5.83,NA,NA,NA,NA,NA,NA,58.57,0.69,233.60,0.00,0.00,352.98,NA,NA
2022-01-11 00:00:00,76.08,191.47,12.80,23.13,35.93,25.88,5.73,0.44,36.20,6.06,NA,NA,NA,NA,NA,NA,56.34,0.98,295.30,0.00,0.00,364.45,NA,NA
2022-01-12 00:00:00,106.50,233.35,12.98,22.90,35.68,25.84,7.96,0.52,33.49,6.17,NA,NA,NA,0.36,NA,NA,57.16,0.60,217.93,0.00,0.10,399.19,NA,NA
2022-01-13 00:00:00,74.78,118.08,13.02,23.15,36.17,25.90,6.68,0.53,37.38,6.23,NA,NA,NA,0.72,NA,NA,56.12,0.48,207.23,0.00,0.00,421.82,NA,NA
2022-01-14 00:00:00,56.69,100.04,13.02,23.15,36.17,25.90,5.21,0.42,37.99,5.51,NA,NA,NA,0.71,NA,NA,54.65,0.90,292.17,0.00,0.00,373.16,NA,NA
2022-01-15 00:00:00,46.81,83.58,13.02,23.15,36.17,25.90,6.87,0.42,32.12,4.93,NA,NA,NA,0.70,NA,NA,54.76,0.87,267.49,0.00,0.00,346.99,NA,NA
2022-01-16 00:00:00,70.08,118.76,13.02,23.15,36.17,25.90,3.75,0.54,27.17,5.36,NA,NA,NA,0.71,NA,NA,54.27,0.74,218.66,0.00,0.00,349.54,NA,NA
2022-01-17 00:00:00,60.90,113.59,13.02,23.15,36.17,25.90,8.77,0.49,26.83,5.78,NA,NA,NA,0.70,NA,NA,55.30,0.52,153.28,0.00,0.00,344.94,NA,NA
2022-01-18 00:00:00,77.23,145.58,13.03,23.15,36.18,25.90,11.94,0.50,31.09,4.83,NA,NA,NA,0.69,NA,NA,53.83,1.21,299.77,0.00,0.00,371.89,NA,NA
2022-01-19 00:00:00,57.84,102.66,12.87,23.13,36.01,25.91,12.96,0.32,29.32,1.30,NA,NA,NA,0.73,NA,NA,54.95,0.58,233.36,0.00,0.10,341.79,NA,NA
2022-01-20 00:00:00,85.48,181.70,12.67,23.20,35.87,25.91,7.46,0.54,29.88,0.12,NA,NA,NA,1.04,NA,NA,54.23,0.33,196.07,0.00,0.00,345.98,NA,NA
2022-01-21 00:00:00,62.26,110.53,12.81,23.93,36.74,26.04,7.72,0.61,32.06,5.06,NA,NA,NA,0.70,NA,NA,53.39,0.37,162.23,0.00,0.00,374.65,NA,NA
2022-01-22 00:00:00,34.10,59.02,12.90,23.84,36.73,26.04,6.39,0.71,31.25,5.12,NA,NA,NA,0.67,NA,NA,54.75,2.85,134.43,0.08,5.20,328.43,NA,NA
2022-01-23 00:00:00,18.53,22.49,12.81,23.76,36.57,26.03,4.16,0.26,33.41,5.14,NA,NA,NA,0.71,NA,NA,54.97,2.07,143.03,0.20,13.10,333.45,NA,NA
2022-01-24 00:00:00,40.20,75.09,12.81,23.94,36.75,26.03,6.34,0.31,22.89,5.16,NA,NA,NA,0.68,NA,NA,53.32,0.51,219.79,0.00,0.00,354.88,NA,NA
2022-01-25 00:00:00,47.31,90.52,12.73,23.93,36.66,26.02,7.98,0.38,31.60,4.58,NA,NA,NA,0.69,NA,NA,52.41,1.06,317.25,0.00,0.00,351.75,NA,NA
2022-01-26 00:00:00,77.10,146.05,12.69,23.96,36.65,26.00,7.73,0.42,38.62,5.07,NA,NA,NA,0.71,NA,NA,51.92,1.15,315.80,0.00,0.00,384.05,NA,NA
2022-01-27 00:00:00,50.82,121.42,11.52,23.89,35.33,26.06,17.37,0.55,37.34,4.63,NA,NA,NA,0.71,NA,NA,51.60,1.48,320.52,0.00,0.00,440.44,NA,NA
