Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2021-01-01 00:00:00,78.85,166.24,0.82,14.86,8.53,12.29,6.58,0.66,55.54,0.27,1.09,0.50,NA,NA,NA,26.54,74.40,0.54,87.53,0.00,0.00,95.01,712.06,0.00
2021-01-02 00:00:00,80.08,154.87,0.84,17.41,9.94,10.89,6.49,0.63,52.93,0.25,1.10,0.53,NA,NA,NA,26.22,70.70,0.48,96.38,0.00,0.00,106.21,712.46,0.00
2021-01-03 00:00:00,79.31,160.90,0.95,17.91,10.28,10.54,6.07,0.67,49.67,0.25,1.15,0.56,NA,NA,NA,25.88,73.65,0.50,94.18,0.00,0.00,97.84,712.68,0.00
2021-01-04 00:00:00,65.25,126.56,1.17,16.93,9.95,8.55,6.70,0.51,48.60,0.18,0.83,0.46,NA,NA,NA,26.57,66.52,0.58,98.67,0.00,0.00,111.83,712.29,0.01
2021-01-05 00:00:00,44.99,91.27,1.27,14.77,8.88,7.84,5.92,0.45,33.06,0.32,1.04,0.60,NA,NA,NA,27.28,71.66,0.52,105.29,0.00,0.00,104.03,711.56,0.00
2021-01-06 00:00:00,50.12,85.78,1.03,15.44,9.05,9.87,7.78,0.52,23.15,0.32,0.95,0.48,NA,NA,NA,27.25,78.34,0.47,95.92,0.00,0.00,50.53,712.10,0.00
2021-01-07 00:00:00,58.13,106.10,4.33,24.30,16.44,12.42,12.97,0.55,21.78,0.60,3.56,0.45,NA,NA,NA,27.12,77.27,0.42,123.31,0.01,1.00,65.87,711.75,0.00
2021-01-08 00:00:00,53.99,106.41,0.87,17.37,9.93,10.78,10.47,0.44,33.71,0.28,1.26,0.42,NA,NA,NA,28.42,71.18,0.62,92.35,0.00,0.00,101.46,710.97,0.00
2021-01-09 00:00:00,31.71,73.18,0.76,16.57,9.43,8.96,8.46,0.40,31.66,0.15,0.79,0.30,NA,NA,NA,28.36,66.00,0.61,88.99,0.00,0.00,113.24,710.89,0.00
2021-01-10 00:00:00,42.98,92.88,1.41,19.68,11.59,9.30,10.51,0.43,30.41,0.22,1.25,0.43,NA,NA,NA,28.12,63.79,0.55,88.35,0.00,0.00,108.31,711.12,0.00
2021-01-11 00:00:00,65.83,147.00,9.96,30.26,24.20,10.19,12.00,0.77,24.31,0.37,2.43,0.53,NA,NA,NA,26.73,66.71,0.39,133.05,0.00,0.00,83.24,712.41,0.00
2021-01-12 00:00:00,66.74,154.86,15.64,29.99,28.67,11.82,12.11,0.79,22.78,0.71,4.93,0.91,NA,NA,NA,27.38,69.58,0.49,108.40,0.00,0.00,97.34,711.75,0.00
2021-01-13 00:00:00,71.20,137.55,2.91,18.06,11.95,11.30,9.63,0.54,29.76,0.30,2.03,0.60,NA,NA,NA,27.53,67.27,0.49,73.75,0.00,0.00,105.46,711.55,0.00
2021-01-14 00:00:00,65.48,122.16,3.58,17.15,11.94,11.51,10.93,0.52,25.03,0.39,1.74,0.46,NA,NA,NA,27.30,68.27,0.51,149.24,0.00,0.00,109.24,711.69,0.00
2021-01-15 00:00:00,78.65,134.35,5.40,16.39,13.07,12.08,10.91,0.63,32.52,0.37,1.84,0.47,NA,NA,NA,27.27,70.73,0.44,131.82,0.00,0.00,107.33,711.74,0.00
2021-01-16 00:00:00,70.83,129.71,1.43,15.49,9.38,11.41,10.36,0.56,31.54,0.37,1.40,0.41,NA,NA,NA,27.39,69.77,0.47,78.46,0.00,0.00,103.89,711.89,0.00
