Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,133.27,419.25,NA,NA,NA,NA,20.87,2.23,46.17,1.56,5.08,0.60,NA,NA,NA,11.01,64.38,0.92,126.25,0.00,0.00,88.30,745.18,-0.18
2022-01-02 00:00:00,155.30,684.34,NA,NA,NA,NA,14.37,2.86,42.40,1.67,6.14,0.87,NA,NA,NA,10.75,69.70,0.89,130.84,0.00,0.00,83.22,745.17,-0.19
2022-01-03 00:00:00,144.21,688.27,NA,NA,NA,NA,20.69,2.78,42.43,1.52,4.42,0.53,NA,NA,NA,11.56,68.05,1.03,79.11,0.00,0.00,84.52,745.23,-0.20
2022-01-04 00:00:00,152.28,316.66,NA,NA,NA,NA,14.99,2.90,44.79,1.50,4.80,0.39,NA,NA,NA,13.99,65.88,0.66,47.88,0.00,0.00,87.05,745.36,-0.22
2022-01-05 00:00:00,148.89,301.30,NA,NA,NA,NA,9.89,4.08,24.22,1.74,5.55,0.54,NA,NA,NA,12.58,73.86,1.42,163.32,0.00,0.00,29.67,745.04,-0.17
2022-01-06 00:00:00,80.39,146.46,NA,NA,NA,NA,11.90,3.32,37.41,1.13,1.98,0.25,NA,NA,NA,11.44,81.86,2.52,225.85,0.29,28.00,46.17,745.00,-0.21
2022-01-07 00:00:00,43.24,72.25,NA,NA,NA,NA,11.17,2.65,31.74,1.06,1.94,0.24,NA,NA,NA,13.28,84.65,2.19,241.62,0.00,0.00,45.23,745.08,-0.24
2022-01-08 00:00:00,35.01,73.71,3.00,100.94,63.15,NA,10.40,1.33,29.24,1.06,1.99,0.24,NA,NA,NA,13.63,86.23,2.82,185.66,0.67,64.00,30.19,745.00,-0.22
2022-01-09 00:00:00,37.73,106.39,100.96,68.01,31.92,NA,12.14,0.26,21.73,1.12,2.18,0.27,NA,NA,NA,12.77,84.93,2.05,155.00,0.00,0.00,28.69,745.00,-0.15
2022-01-10 00:00:00,68.06,133.83,19.17,56.12,26.63,NA,10.26,0.85,33.95,1.20,3.58,0.33,NA,NA,NA,10.77,77.14,2.49,303.78,0.00,0.00,69.06,745.00,-0.09
2022-01-11 00:00:00,49.41,143.76,4.61,25.51,17.32,NA,11.20,0.87,40.97,1.23,3.32,0.35,NA,NA,NA,10.00,74.69,2.11,291.92,0.00,0.00,98.27,745.00,-0.12
2022-01-12 00:00:00,48.89,151.16,8.78,12.69,12.23,NA,8.99,0.80,36.62,1.16,2.69,0.27,NA,NA,NA,8.01,79.66,1.95,292.76,0.00,0.00,90.78,745.00,-0.12
2022-01-13 00:00:00,77.51,224.02,20.26,16.37,24.99,NA,11.43,0.81,37.31,1.61,5.70,0.63,NA,NA,NA,10.58,74.56,0.73,257.15,0.00,0.00,98.19,745.00,-0.21
2022-01-14 00:00:00,93.86,248.34,14.56,11.49,17.89,NA,8.87,0.98,30.18,1.45,3.92,0.37,NA,NA,NA,10.17,83.39,0.95,206.83,0.00,0.00,81.39,744.95,-0.14
2022-01-15 00:00:00,69.29,205.09,4.04,6.64,6.62,NA,9.00,0.98,45.99,1.24,2.76,0.29,NA,NA,NA,10.46,78.38,1.29,169.23,0.00,0.00,44.68,745.00,-0.15
