Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,87.71,115.23,0.4,3.48,3.88,,0.92,1.75,2.27,,,,,,,11.95,89.53,1.0,209.26,,,78.12,804.94,
2024-01-02,82.88,106.9,0.29,3.11,3.36,,0.9,1.61,1.96,,,,,,,11.75,87.73,0.87,192.39,,,80.61,810.0,
2024-01-03,60.37,84.53,0.34,2.0,2.34,,0.87,1.4,2.82,,,,,,,11.78,80.6,0.89,191.25,,,91.89,801.44,
2024-01-04,66.1,100.73,0.23,2.45,2.68,,0.81,1.36,3.66,,,,,,,11.84,79.73,0.83,199.38,,,88.19,800.7,
2024-01-05,80.79,120.1,0.44,2.78,3.23,,0.86,1.43,4.25,,,,,,,11.79,79.61,0.94,193.41,,,87.46,800.4,
2024-01-06,93.3,137.03,0.45,3.49,3.94,,0.9,1.56,3.5,,,,,,,11.58,81.7,0.89,192.64,,,82.42,800.44,
2024-01-07,101.18,140.24,0.36,3.39,3.75,,0.96,1.65,2.92,,,,,,,12.24,83.81,0.77,199.5,,,81.37,800.93,
2024-01-08,89.1,133.76,0.3,2.8,3.1,,0.88,1.63,3.36,,,,,,,12.52,83.22,0.73,189.76,,,85.61,801.55,
2024-01-09,100.86,151.31,0.48,4.13,4.61,,0.91,1.7,3.28,,,,,,,11.7,83.16,1.21,213.61,,,88.92,802.14,
2024-01-10,137.89,209.04,0.43,4.62,5.05,,0.94,1.73,3.25,,,,,,,10.65,85.39,1.83,265.0,,,84.68,809.49,
2024-01-11,120.14,174.54,0.28,3.86,4.13,,1.04,1.86,3.15,,,,,,,10.52,88.23,0.95,209.81,,,67.84,802.52,
2024-01-12,125.86,153.04,0.44,4.4,4.84,,1.04,2.11,1.08,,,,,,,8.35,94.88,1.24,160.65,,,61.87,803.99,
2024-01-13,123.51,168.79,0.44,5.02,5.46,,1.09,2.09,3.26,,,,,,,10.84,85.3,0.89,203.06,,,61.03,801.67,
2024-01-14,118.38,174.47,0.34,3.82,4.16,,1.0,1.98,2.99,,,,,,,11.38,78.99,0.73,202.4,,,78.96,800.58,
2024-01-15,128.42,174.14,0.23,3.43,3.66,,0.93,2.02,5.11,,,,,,,11.65,79.54,0.73,185.81,,,80.87,800.35,
2024-01-16,86.68,120.08,0.27,2.96,3.23,,0.88,1.77,4.12,,,,,,,11.56,77.96,0.86,176.34,,,86.25,800.34,
2024-01-17,67.15,101.31,0.26,2.84,3.11,,0.89,1.02,3.54,,,,,,,11.97,77.97,0.82,188.37,,,84.83,800.32,
2024-01-18,103.98,149.59,0.24,3.23,3.46,,0.91,1.46,2.9,,,,,,,12.1,80.66,0.9,202.26,,,85.3,800.33,
2024-01-19,154.62,178.96,0.59,2.81,3.4,,0.84,1.34,5.62,,,,,,,9.27,94.04,1.26,179.63,,,35.0,800.39,
2024-01-20,96.44,127.92,0.2,2.59,2.78,,0.78,0.81,5.67,,,,,,,10.44,84.5,0.86,187.92,,,67.82,800.31,
2024-01-21,131.48,180.05,0.24,4.28,4.52,,0.86,0.97,5.37,,,,,,,10.17,86.76,1.31,248.97,,,83.04,807.55,
2024-01-22,125.87,156.27,0.14,3.15,3.3,,0.89,0.97,4.42,,,,,,,8.48,91.11,1.08,162.7,,,58.21,800.43,
