Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2021-01-01 00:00:00,76.17,224.11,NA,NA,NA,NA,18.46,0.97,28.39,2.67,2.64,0.11,NA,0.50,0.79,18.23,64.36,0.36,199.54,0.00,0.00,NA,NA,0.05
2021-01-02 00:00:00,56.30,224.31,NA,NA,NA,NA,18.63,0.58,33.74,3.96,2.39,0.14,NA,0.64,0.85,18.45,64.57,0.35,202.79,0.00,0.00,NA,NA,0.05
2021-01-03 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2021-01-04 00:00:00,84.86,188.04,NA,NA,NA,NA,12.03,1.19,28.01,3.43,1.79,0.14,NA,0.60,1.11,22.19,59.61,0.58,103.83,0.00,0.00,NA,NA,-0.01
2021-01-05 00:00:00,93.57,191.45,NA,NA,NA,NA,16.95,1.02,28.37,2.89,3.27,0.13,NA,0.76,1.08,21.26,70.87,0.49,94.05,0.00,0.00,NA,NA,0.01
2021-01-06 00:00:00,136.39,278.23,83.69,78.39,137.54,10.17,17.78,1.94,27.09,7.02,4.85,0.28,NA,1.33,2.00,22.07,72.22,0.40,102.93,0.00,0.00,NA,NA,0.03
2021-01-07 00:00:00,155.73,297.36,39.35,90.49,128.74,5.64,30.70,1.33,25.56,6.68,3.87,0.25,NA,1.12,1.92,23.98,66.32,0.22,165.63,0.00,0.00,23.02,NA,0.07
2021-01-08 00:00:00,115.30,223.82,47.13,69.22,113.52,24.68,23.24,0.99,27.70,6.75,3.68,0.19,NA,0.89,1.44,23.44,64.88,0.55,123.60,0.00,0.00,157.07,NA,-0.01
2021-01-09 00:00:00,84.70,167.88,8.12,52.04,60.18,36.85,16.69,0.75,38.84,2.43,2.75,0.08,NA,0.32,0.60,23.24,62.56,0.65,101.78,0.00,0.00,148.57,NA,-0.02
2021-01-10 00:00:00,101.22,188.44,21.43,58.13,79.05,35.43,21.63,0.84,25.85,3.89,2.98,0.10,NA,0.44,0.76,24.20,67.04,0.23,222.81,0.00,0.00,147.57,NA,0.07
2021-01-11 00:00:00,98.75,185.92,14.93,52.09,67.04,33.96,20.56,0.56,30.08,NA,NA,NA,NA,NA,NA,23.77,73.71,0.44,159.35,0.00,0.00,122.36,NA,0.03
2021-01-12 00:00:00,76.62,158.42,3.64,40.84,43.04,34.55,14.10,0.45,46.60,1.39,1.89,0.04,NA,0.18,0.24,21.50,71.22,0.98,78.87,0.00,0.00,152.08,NA,-0.10
2021-01-13 00:00:00,93.66,179.48,2.40,35.92,38.23,35.36,13.18,0.50,51.90,1.33,1.67,0.03,NA,0.14,0.18,18.62,71.43,1.24,76.09,0.00,0.00,138.42,NA,-0.16
2021-01-14 00:00:00,107.45,196.61,2.44,36.97,37.82,32.50,11.62,0.58,49.22,1.58,1.66,0.03,NA,0.14,0.17,19.11,65.12,0.99,77.58,0.00,0.00,138.40,NA,-0.09
2021-01-15 00:00:00,112.56,212.81,3.59,45.31,48.92,32.75,14.09,0.70,50.82,2.09,2.23,0.04,NA,0.23,0.30,18.39,63.84,0.82,78.61,0.00,0.00,137.04,NA,-0.05
2021-01-16 00:00:00,136.88,252.24,2.81,43.84,45.99,36.64,10.95,0.72,43.00,2.36,1.75,0.04,NA,0.20,0.26,17.45,76.87,0.87,109.16,0.00,0.00,131.92,NA,-0.06
2021-01-17 00:00:00,149.45,272.44,2.69,40.31,43.01,33.53,12.47,0.72,43.87,1.92,1.58,0.03,NA,0.17,0.20,17.50,78.19,0.85,107.99,0.00,0.00,130.87,NA,-0.05
2021-01-18 00:00:00,157.72,304.97,28.39,50.09,78.51,31.98,15.65,1.32,33.24,3.61,2.30,0.12,NA,0.67,0.83,15.89,82.84,0.40,142.68,0.00,0.00,139.94,NA,0.03
2021-01-19 00:00:00,181.57,320.57,45.03,59.62,99.27,31.37,18.66,1.06,29.88,6.88,3.38,0.24,NA,1.38,1.71,NA,82.76,0.36,139.97,0.00,0.00,119.02,NA,0.08
2021-01-20 00:00:00,102.97,184.42,9.69,52.15,60.69,31.47,22.20,0.75,24.84,2.23,2.59,0.07,NA,0.41,0.54,NA,84.66,0.38,197.38,0.00,0.00,103.72,NA,0.09
2021-01-21 00:00:00,107.24,194.02,7.05,50.20,57.04,31.04,17.20,0.66,38.34,2.07,2.31,0.06,NA,0.32,0.47,22.20,62.20,0.66,115.12,0.00,0.00,167.60,NA,-0.02
2021-01-22 00:00:00,102.17,197.63,4.16,50.09,54.28,30.71,14.95,0.64,41.54,2.01,2.27,0.05,NA,0.27,0.38,19.69,63.95,0.60,118.97,0.00,0.00,152.89,NA,-0.01
2021-01-23 00:00:00,114.46,236.17,6.91,47.39,54.33,31.70,14.46,0.80,28.19,2.53,2.13,0.05,NA,0.22,0.36,17.43,83.27,0.47,156.39,0.00,0.00,143.69,NA,0.03
2021-01-24 00:00:00,3.92,234.41,3.11,47.31,50.44,30.68,14.25,0.74,47.61,2.66,1.98,0.05,NA,0.19,0.33,20.54,70.54,0.80,88.19,0.00,0.00,172.92,NA,-0.04
2021-01-25 00:00:00,71.19,206.41,3.16,44.62,47.81,35.83,17.84,0.71,34.17,2.22,1.72,0.03,NA,0.17,0.25,20.55,77.21,0.83,84.07,0.00,0.00,116.21,NA,-0.07
2021-01-26 00:00:00,108.33,190.64,14.07,38.87,52.95,31.82,15.98,0.85,22.36,2.04,1.62,0.04,NA,0.25,0.32,17.63,86.63,0.63,125.36,0.00,0.00,135.57,NA,-0.01
2021-01-27 00:00:00,106.88,183.63,7.36,47.40,54.11,29.44,18.35,0.62,31.75,1.61,1.51,0.04,NA,0.25,0.32,17.68,68.80,0.57,177.63,0.00,0.00,159.88,NA,0.01
2021-01-28 00:00:00,95.50,171.47,8.60,45.03,54.30,28.92,17.16,0.68,36.04,1.35,1.40,0.03,NA,0.23,0.28,17.16,68.66,0.79,135.47,0.00,0.00,180.03,NA,-0.05
2021-01-29 00:00:00,114.52,209.56,30.12,47.85,76.32,30.48,21.68,0.76,25.11,2.23,1.79,0.07,NA,0.37,0.49,18.13,71.14,0.42,198.49,0.00,0.00,162.62,NA,0.03
2021-01-30 00:00:00,119.00,231.22,20.86,50.42,70.23,30.75,21.34,0.79,27.11,2.45,2.28,0.07,NA,0.50,0.59,17.54,67.34,0.43,149.56,0.00,0.00,139.93,NA,0.03
2021-01-31 00:00:00,121.79,222.49,6.70,51.63,57.02,28.69,20.10,0.57,41.39,1.53,1.63,0.04,NA,0.24,0.35,16.99,61.63,0.64,152.55,0.00,0.00,159.41,NA,-0.02
2021-02-01 00:00:00,112.53,200.56,14.19,54.08,64.33,33.89,18.92,0.72,35.70,1.69,1.96,0.04,NA,0.20,0.31,16.74,64.13,0.35,199.19,0.00,0.00,171.08,NA,0.05
2021-02-02 00:00:00,123.12,235.89,54.46,50.79,92.76,29.93,17.63,0.95,32.36,3.34,2.89,0.10,NA,0.54,0.78,17.45,61.76,0.34,137.79,0.00,0.00,168.93,NA,0.04
2021-02-03 00:00:00,145.11,269.39,61.24,53.79,102.24,31.29,26.72,0.97,27.57,3.85,2.84,0.13,NA,0.74,1.00,17.65,62.30,0.35,177.00,0.00,0.00,154.42,NA,0.05
2021-02-04 00:00:00,131.79,257.56,100.32,51.15,122.63,32.26,27.04,1.18,26.98,3.84,2.86,0.16,NA,0.94,1.15,18.85,62.07,0.38,154.97,0.00,0.00,165.36,NA,0.05
2021-02-05 00:00:00,120.31,235.90,75.50,48.50,112.70,32.82,22.17,0.93,26.85,4.41,2.27,0.17,NA,1.18,1.27,20.17,60.99,0.35,114.49,0.00,0.00,166.85,NA,0.05
2021-02-06 00:00:00,114.19,225.39,56.77,46.84,96.82,35.23,27.40,0.74,29.52,4.30,2.88,0.18,NA,1.21,1.23,20.84,60.47,0.60,171.42,0.00,0.00,150.30,NA,-0.01
2021-02-07 00:00:00,53.31,96.77,20.57,44.59,65.19,32.86,18.70,0.59,30.19,1.07,1.49,0.05,NA,0.23,0.38,19.85,65.69,0.51,179.26,0.02,2.20,163.52,NA,0.02
2021-02-08 00:00:00,66.42,NA,33.37,64.55,86.36,34.41,22.97,0.79,25.08,1.81,1.87,0.06,NA,0.27,0.51,19.51,62.56,0.38,198.06,0.00,0.00,191.22,NA,0.04
2021-02-09 00:00:00,106.28,150.97,49.17,56.70,94.86,35.83,18.11,0.88,30.57,4.36,3.28,0.18,NA,1.06,1.32,19.81,60.52,0.52,122.33,0.00,0.00,196.21,NA,0.00
2021-02-10 00:00:00,138.08,268.87,94.89,61.43,141.27,37.74,22.16,1.37,31.72,5.52,3.59,0.21,NA,1.08,1.54,20.71,62.31,0.43,115.77,0.00,0.00,168.93,NA,0.01
2021-02-11 00:00:00,100.17,230.54,47.67,69.42,117.86,40.32,35.33,0.84,26.29,3.44,2.59,0.13,NA,0.72,1.07,22.07,64.95,0.24,182.51,0.00,0.00,163.92,NA,0.07
2021-02-12 00:00:00,97.97,194.14,40.36,57.92,98.27,38.11,20.99,0.83,30.48,3.16,2.75,0.11,NA,0.63,0.89,22.28,64.53,0.47,125.42,0.00,0.00,173.24,NA,0.01
2021-02-13 00:00:00,136.12,253.01,66.35,64.46,128.28,39.52,33.86,0.97,27.55,6.19,3.35,0.20,NA,1.18,1.49,22.47,76.05,0.47,108.01,0.00,0.00,140.66,NA,0.02
2021-02-14 00:00:00,89.20,169.85,24.00,54.09,78.47,35.57,21.35,0.55,29.52,1.96,2.30,0.07,NA,0.33,0.55,23.57,76.02,0.48,158.39,0.00,0.00,155.34,NA,0.06
2021-02-15 00:00:00,66.05,137.85,21.39,52.18,73.57,35.48,16.91,0.60,25.07,1.35,2.13,0.05,NA,0.24,0.40,23.74,72.87,0.47,153.60,0.00,0.00,168.86,NA,0.05
2021-02-16 00:00:00,109.65,205.11,35.17,57.99,93.07,33.58,27.60,0.83,27.03,3.28,2.56,0.10,NA,0.47,0.75,24.41,68.90,0.28,172.66,0.00,0.00,168.13,NA,0.06
2021-02-17 00:00:00,126.09,241.57,37.16,60.77,98.36,35.02,27.53,0.84,17.29,3.29,2.50,0.08,NA,0.38,0.62,22.35,75.96,0.31,227.00,0.00,0.00,113.28,NA,0.06
2021-02-18 00:00:00,103.65,203.43,44.37,53.07,97.44,37.31,17.91,0.81,29.97,2.53,2.39,0.07,NA,0.35,0.55,22.95,64.66,0.58,122.77,0.00,0.00,173.45,NA,-0.00
2021-02-19 00:00:00,108.97,215.32,103.37,45.82,149.18,40.07,16.36,0.70,25.12,2.99,2.94,0.10,NA,0.59,0.79,24.04,61.91,0.47,132.73,0.00,0.00,144.62,NA,0.02
2021-02-20 00:00:00,110.98,211.62,9.53,6.71,16.23,3.95,20.80,0.64,23.89,2.23,1.86,0.06,NA,0.33,0.43,22.98,63.51,0.64,137.08,0.00,0.00,100.76,NA,-0.02
2021-02-21 00:00:00,113.67,234.25,9.51,6.71,16.22,3.94,26.68,1.00,24.07,3.81,2.36,0.14,NA,0.71,1.03,23.07,57.17,0.46,144.89,0.00,0.00,172.17,NA,0.01
