Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01,81.43,85.3,7.11,20.28,18.68,,10.43,,,,,,,,,,,,,,,,,
2024-01-02,68.91,116.2,8.29,15.83,18.46,,10.32,0.4,,,,,,,,,,,,,,,,
2024-01-03,81.65,139.85,12.21,17.65,17.91,,10.33,0.34,,,,,,,,,,,,,,,,
2024-01-04,82.87,150.4,11.41,22.09,21.44,,10.16,0.39,,,,,,,,,,,,,,,,
2024-01-05,73.36,139.33,7.65,29.49,16.14,,10.1,0.37,,,,,,,,,,,,,,,,
2024-01-06,93.18,166.31,6.85,14.55,18.32,,9.93,0.4,,,,,,,,,,,,,,,,
2024-01-07,101.1,167.58,6.54,14.12,18.23,,10.51,0.38,,,,,,,,,,,,,,,,
2024-01-08,110.96,210.95,14.72,32.15,14.8,,10.48,0.41,,,,,,,,,,,,,,,,
2024-01-09,55.28,114.62,4.8,23.54,16.15,,10.05,0.39,,,,,,,,,,,,,,,,
2024-01-10,96.0,176.24,6.43,24.96,24.31,,10.87,0.4,,,,,,,,,,,,,,,,
2024-01-11,96.29,164.87,5.65,18.69,19.9,,,0.37,,,,,,,,,,,,,,,,
2024-01-12,50.93,111.98,8.16,22.16,21.16,,10.31,0.39,,,,,,,,,,,,,,,,
2024-01-13,42.55,97.78,5.01,14.29,17.48,,10.59,0.39,,,,,,,,,,,,,,,,
2024-01-14,50.74,103.87,5.92,34.79,14.42,,10.15,0.39,,,,,,,,,,,,,,,,
2024-01-15,59.43,119.6,,,,,10.4,0.38,,,,,,,,,,,,,,,,
2024-01-16,74.24,136.5,,,,,10.17,0.39,,,,,,,,,,,,,,,,
2024-01-17,108.37,183.41,,,,,10.09,0.38,,,,,,,,,,,,,,,,
2024-01-18,65.38,114.02,7.75,14.78,19.57,,10.73,0.39,,,,,,,,,,,,,,,,
2024-01-19,57.76,97.05,6.43,15.97,17.67,,9.81,0.41,,,,,,,,,,,,,,,,
2024-01-20,98.88,169.38,7.28,12.87,18.79,,10.75,0.4,,,,,,,,,,,,,,,,
2024-01-21,96.6,167.33,6.06,19.07,17.11,,10.31,0.42,,,,,,,,,,,,,,,,
2024-01-22,60.61,127.42,6.63,21.3,18.04,,10.35,,,,,,,,,,,,,,,,,
2024-01-23,70.77,114.58,5.36,17.85,17.8,,10.33,,,,,,,,,,,,,,,,,
2024-01-24,80.47,126.97,7.06,18.35,19.11,,10.44,,,,,,,,,,,,,,,,,
2024-01-25,82.94,142.48,9.38,19.39,17.42,,10.48,0.38,,,,,,,,,,,,,,,,
2024-01-26,56.5,110.12,7.18,25.87,22.61,,10.55,0.4,,,,,,,,,,,,,,,,
2024-01-27,57.06,108.15,6.51,13.99,18.99,,10.32,0.42,,,,,,,,,,,,,,,,
2024-01-28,73.94,134.45,6.45,13.05,18.77,,10.42,0.4,,,,,,,,,,,,,,,,
2024-01-29,106.09,181.56,13.55,13.31,18.95,,10.81,0.4,,,,,,,,,,,,,,,,
