Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2019-01-01 00:00:00,110.95,312.56,9.56,6.51,12.98,5.95,25.21,3.74,9.60,NA,NA,NA,NA,0.03,NA,NA,67.99,2.45,139.94,NA,0.00,NA,NA,NA
2019-01-02 00:00:00,163.61,381.64,8.34,6.14,13.40,5.99,36.45,4.73,10.95,NA,NA,NA,NA,0.03,NA,NA,72.43,2.62,152.78,NA,0.00,NA,NA,NA
2019-01-03 00:00:00,141.49,385.65,9.15,5.89,13.78,6.03,33.14,4.20,10.62,NA,NA,NA,NA,1.69,1.67,NA,72.01,2.59,147.07,NA,0.00,NA,NA,NA
2019-01-04 00:00:00,149.55,380.90,9.87,5.10,14.88,6.15,31.96,4.08,8.50,NA,NA,NA,NA,0.03,NA,NA,78.01,3.05,149.18,NA,0.00,NA,NA,NA
2019-01-05 00:00:00,141.90,368.07,10.96,5.10,15.49,6.23,32.50,4.11,7.91,0.00,NA,NA,NA,0.03,NA,NA,71.76,2.98,150.55,NA,0.00,NA,NA,NA
2019-01-06 00:00:00,150.20,384.60,11.64,5.66,15.85,6.27,33.86,4.15,6.77,0.00,NA,NA,NA,0.03,NA,NA,72.97,2.89,146.45,NA,0.00,NA,NA,NA
2019-01-07 00:00:00,136.63,403.06,13.35,6.21,16.80,6.36,34.74,4.25,6.68,0.00,NA,NA,NA,0.03,NA,NA,71.72,2.72,128.13,NA,0.00,NA,NA,NA
2019-01-08 00:00:00,94.37,241.36,14.61,6.33,17.49,6.43,22.22,3.30,7.06,0.00,NA,NA,NA,0.02,NA,NA,70.86,2.73,135.32,NA,0.00,NA,NA,NA
2019-01-09 00:00:00,105.79,276.87,14.37,6.06,17.37,6.41,22.40,3.54,6.16,0.00,NA,NA,NA,0.02,NA,NA,70.30,2.46,155.03,NA,0.00,NA,NA,NA
2019-01-10 00:00:00,117.34,352.90,12.66,5.81,15.48,6.22,28.38,3.44,5.94,0.00,NA,NA,NA,0.02,NA,NA,69.71,2.80,159.64,NA,0.00,NA,NA,NA
2019-01-11 00:00:00,117.86,279.87,9.14,5.76,13.94,6.07,NA,2.66,6.15,0.00,NA,NA,NA,0.02,NA,NA,72.18,2.87,143.03,NA,0.00,NA,NA,NA
2019-01-12 00:00:00,124.97,306.17,9.07,5.41,14.38,6.09,NA,2.91,6.76,0.00,NA,NA,NA,0.02,NA,NA,72.32,2.81,156.75,NA,0.00,NA,NA,NA
2019-01-13 00:00:00,149.87,337.49,9.64,5.20,14.72,6.13,NA,3.45,8.91,0.00,NA,NA,NA,0.02,NA,NA,73.61,2.76,134.51,NA,0.00,NA,NA,NA
2019-01-14 00:00:00,129.20,400.26,10.21,5.09,14.73,6.12,NA,3.34,8.90,0.00,NA,NA,NA,0.02,NA,NA,74.54,2.70,136.50,NA,0.00,NA,NA,NA
2019-01-15 00:00:00,102.37,382.57,10.62,5.23,15.27,6.17,21.71,2.24,6.15,0.00,NA,NA,NA,0.02,NA,NA,70.21,2.51,143.77,NA,0.00,NA,NA,NA
2019-01-16 00:00:00,115.37,387.27,11.06,5.98,9.27,5.96,30.85,1.77,16.99,0.00,NA,NA,NA,0.02,NA,NA,68.93,3.00,144.04,NA,0.00,NA,NA,NA
2019-01-17 00:00:00,128.10,331.73,26.35,6.52,21.05,6.68,39.74,1.74,35.39,0.42,NA,NA,NA,1.51,1.49,NA,70.79,2.51,128.28,NA,0.00,NA,NA,NA
2019-01-18 00:00:00,99.76,470.62,19.99,0.90,20.56,6.79,27.86,2.08,10.94,0.00,NA,NA,NA,0.03,NA,NA,57.84,2.77,140.46,NA,0.00,NA,NA,NA
2019-01-19 00:00:00,102.82,373.79,20.33,0.49,20.76,6.81,30.27,2.24,12.62,0.00,NA,NA,NA,0.02,NA,NA,64.58,2.60,135.23,NA,0.00,NA,NA,NA
2019-01-20 00:00:00,112.23,443.77,22.31,0.13,21.83,6.92,30.52,2.43,12.83,0.00,NA,NA,NA,0.02,NA,NA,65.74,2.87,138.68,NA,0.00,NA,NA,NA
2019-01-21 00:00:00,98.27,410.05,23.64,0.03,22.59,6.98,31.03,2.32,10.45,0.00,NA,NA,NA,0.03,NA,NA,61.62,2.72,150.36,NA,0.00,NA,NA,NA
2019-01-22 00:00:00,80.30,285.43,24.08,0.08,22.80,7.02,28.74,1.80,6.40,0.00,NA,NA,NA,0.02,NA,NA,71.92,2.58,200.85,NA,0.00,NA,NA,NA
2019-01-23 00:00:00,66.30,241.87,25.30,0.24,23.52,7.08,21.73,1.70,5.80,0.00,NA,NA,NA,0.02,NA,NA,63.15,2.62,197.18,NA,0.00,NA,NA,NA
2019-01-24 00:00:00,67.94,205.74,29.75,0.17,29.32,7.61,20.30,1.57,3.59,0.00,NA,NA,NA,1.07,1.05,NA,74.18,2.59,191.02,NA,0.00,NA,NA,NA
2019-01-25 00:00:00,47.70,187.48,25.00,NA,23.32,7.07,16.07,1.25,3.07,0.00,NA,NA,NA,0.01,NA,NA,67.72,2.63,201.12,NA,0.00,NA,NA,NA
2019-01-26 00:00:00,58.96,219.03,25.15,NA,23.39,7.08,13.87,1.61,5.76,0.00,NA,NA,NA,0.01,NA,NA,72.63,2.61,175.80,NA,0.00,NA,NA,NA
2019-01-27 00:00:00,56.15,210.10,25.66,NA,23.69,7.10,16.48,2.03,2.77,0.00,NA,NA,NA,0.02,NA,NA,79.69,2.62,120.52,NA,0.00,NA,NA,NA
